Protein	lme	hclust	IHS
ABI1	ABI1	0.134475151156426	0.961766065714616	0.359629861196333
ABL1	ABL1	0.0849400305697182	0.961815281951398	0.285826204976685
ABL2	ABL2	0.0607232583627239	0.962106286152896	0.24170690636898
ABLIM3	ABLIM3	0.0927605222200968	0.961976074811844	0.29871960609037
ABR	ABR	0.235346137007564	0.961692295267413	0.475742122037899
ABT1	ABT1	0.0384913802894113	0.961639502066639	0.192392390118131
ABTB1	ABTB1	0.0594305109964483	0.961942683506348	0.239099864554702
ACAD8	ACAD8	0.041039384892085	0.961604109420115	0.198654577496474
ACAP1	ACAP1	0.216139707826058	0.961530738012873	0.45587824337193
ACAP2	ACAP2	0.169765602863722	0.961836676420959	0.40408759351042
ACAP3	ACAP3	0.0150759435680783	0.961800572381376	0.12041615818887
ACE	ACE	0.167859625711265	0.961808517460128	0.401806940889233
ACE2	ACE2	0.0388718129620928	0.962041151808364	0.193381187593135
ACHE	ACHE	0.0243174755552883	0.961645607621578	0.152920873513684
ACIN1	ACIN1	0.048178463657802	0.961961232710459	0.215280780122972
ACKR1	ACKR1	0.162688942412254	0.96165317525844	0.395538036161102
ACKR2	ACKR2	0.0495342580493928	0.961513645749414	0.218238092565354
ACKR3	ACKR3	0.135185210448394	0.961911897261507	0.360605410752682
ACKR4	ACKR4	0.0165207134107041	0.96150474365293	0.12603469487773
ACLY	ACLY	0.0350340268259985	0.961799715482552	0.183563931733479
ACOT11	ACOT11	0.0377181663833911	0.962077019777632	0.190493519852014
ACOX1	ACOX1	0.0264442630650429	0.961571727697102	0.159461768844855
ACPP	ACPP	0.0353961272288452	0.96181219428036	0.184511318891288
ACSL1	ACSL1	0.112989942475508	0.961738586119069	0.329646458379383
ACSL6	ACSL6	0.0162027420531699	0.961729562230198	0.124830509178341
ACTB	ACTB	0.0231101374910785	0.961687255882574	0.149079591852353
ACTG1	ACTG1	0.034220871813481	0.961658896370788	0.18140784387947
ACTL6A	ACTL6A	0.0602444751295238	0.961536724390434	0.240680857732108
ACTL6B	ACTL6B	0.0284481576494334	0.961854747932093	0.1654176396429
ACTN1	ACTN1	0.0504828008219604	0.961673608184351	0.220336055192305
ACTN2	ACTN2	0.0185716670681189	0.961675406132681	0.133640994722032
ACTR5	ACTR5	0.0331102786177832	0.961786771230192	0.178451752488816
ACVR1	ACVR1	0.0929673644173581	0.961857072173715	0.29903397289637
ACVR1B	ACVR1B	0.128861035257309	0.961917955539897	0.352070651408869
ACVR1C	ACVR1C	0.0378612196611544	0.961887964881644	0.190835666288576
ACVR2A	ACVR2A	0.0918351933081317	0.962191954590716	0.297259287742818
ACVR2B	ACVR2B	0.0403562914068172	0.961839361628673	0.197018449807204
ACVRL1	ACVRL1	0.291062856723735	0.961673031194411	0.52906266140564
ADA	ADA	0.0619639864347593	0.96183441603656	0.244129258196911
ADAM10	ADAM10	0.130241107960746	0.961646068662484	0.353900903430179
ADAM11	ADAM11	0.0356283528649179	0.961591192814969	0.185094328193516
ADAM12	ADAM12	0.128678790138245	0.961771781185531	0.351794868058161
ADAM15	ADAM15	0.0502520114247843	0.961384655575004	0.219798800487099
ADAM17	ADAM17	0.168456910943208	0.961618705004232	0.402481448703193
ADAM20	ADAM20	0.214680569167004	0.961376603707062	0.454300425343927
ADAM21	ADAM21	0.0668319129160865	0.96205237298596	0.25356616574794
ADAM22	ADAM22	0.0227168249589512	0.961629559335145	0.14780111763708
ADAM23	ADAM23	0.0165103348074701	0.961603870930781	0.126001594677315
ADAM28	ADAM28	0.252859939329408	0.961487672391573	0.493073741449397
ADAM8	ADAM8	0.0229177978348573	0.961688155618525	0.148457989783784
ADAM9	ADAM9	0.0725852653621947	0.961566333628588	0.264188469638218
ADAMTS1	ADAMTS1	0.0599533427024102	0.961669012476959	0.240115122121285
ADAMTS20	ADAMTS20	0.0477796043803702	0.961996245240499	0.214391697630745
ADAP1	ADAP1	0.112962191295662	0.961570751947103	0.329577212843609
ADAP2	ADAP2	0.0960263766422134	0.961813463405136	0.303906995471465
ADCY1	ADCY1	0.02254760584959	0.961672808672315	0.147252909805584
ADCY10	ADCY10	0.0676494860344575	0.961604327159596	0.255053011158184
ADCY2	ADCY2	0.299067470403022	0.961523093051606	0.536246472410806
ADCY3	ADCY3	0.239142940654833	0.961875259154258	0.479609922767741
ADCY4	ADCY4	0.0989338220597182	0.962082720020795	0.308516645627537
ADCY5	ADCY5	0.0276260791288559	0.961761466400755	0.163002142237063
ADCY6	ADCY6	0.0264749248043974	0.961856014664067	0.159577773079112
ADCY7	ADCY7	0.042288305299397	0.961897190176467	0.201685403648391
ADCY9	ADCY9	0.0155378228081187	0.961620007838962	0.122235352049002
ADCYAP1	ADCYAP1	0.0467692785446494	0.961650893641462	0.212074794606593
ADCYAP1R1	ADCYAP1R1	0.0150672157041469	0.961741080170095	0.120377573934941
ADD1	ADD1	0.0989344770325272	0.962030651454372	0.308509318158949
ADD2	ADD2	0.204696661707608	0.96144049514301	0.443625585134902
ADD3	ADD3	0.0410959374864606	0.961968564945721	0.198829072343432
ADH1A	ADH1A	0.0198427610257841	0.962017273835172	0.138163232690132
ADI1	ADI1	0.0559154249695268	0.961734001061445	0.23189602277097
ADIPOR1	ADIPOR1	0.0637777923560085	0.961613005015174	0.247648045743743
ADIPOR2	ADIPOR2	0.0220088236033633	0.961617004370137	0.145478723609939
ADM	ADM	0.0366912469821167	0.96177808878732	0.187853233663101
ADM2	ADM2	0.0585058324270206	0.961892263481124	0.23722627927798
ADNP	ADNP	0.0833026965523012	0.961448403142351	0.28300396565713
ADNP2	ADNP2	0.129104467170708	0.961583604584117	0.352341792738133
ADORA1	ADORA1	0.0166259951996934	0.961595158526976	0.126441593195111
ADORA2A	ADORA2A	0.112865001800971	0.961961438319527	0.329502320884691
ADORA2B	ADORA2B	0.122339489855584	0.962193142270442	0.343095057043827
ADORA3	ADORA3	0.0404704783614285	0.962036252649214	0.197317174482481
ADRA1A	ADRA1A	0.0252527437448042	0.961735144658909	0.155841108692295
ADRA1B	ADRA1B	0.0185804379819445	0.96183579696629	0.133683695244956
ADRA1D	ADRA1D	0.080888704214776	0.961410621789143	0.278867817101303
ADRA2A	ADRA2A	0.0363334436840428	0.962011024774116	0.186957678077309
ADRA2B	ADRA2B	0.0469832862954954	0.961538220378587	0.212546995961148
ADRA2C	ADRA2C	0.0122421459077688	0.961885919911199	0.108515196070326
ADRB1	ADRB1	0.0282318209879438	0.961695482117605	0.164773828917272
ADRB2	ADRB2	0.0695963289089517	0.961698347858595	0.25870963362187
ADRM1	ADRM1	0.0272941489181095	0.961701000755876	0.16201484601519
ADSS	ADSS	0.108228614069547	0.9616925555336	0.322618431659449
ADTRP	ADTRP	0.0365313120333192	0.962068780616357	0.187471690722122
AEBP2	AEBP2	0.13243783333749	0.961722915158337	0.356887235908746
AEN	AEN	0.0278698318141259	0.96178163584037	0.163721386607816
AES	AES	0.167724246792525	0.961405012632562	0.401560620089114
AFAP1L1	AFAP1L1	0.0651575269087033	0.961965916880091	0.250358383351487
AFAP1L2	AFAP1L2	0.13651777602408	0.961881326240754	0.362372597553238
AFF1	AFF1	0.368627230213269	0.961520378280209	0.595350815770876
AFF3	AFF3	0.0260065563592488	0.961740380009755	0.158150420156537
AFF4	AFF4	0.136977635531478	0.961927805605962	0.362991179457419
AFP	AFP	0.0263454135169683	0.96177812995656	0.15918053444213
AGAP1	AGAP1	0.0248016414544626	0.96177132642165	0.154445807968662
AGAP2	AGAP2	0.0721340553362243	0.961410424313734	0.26334470328501
AGAP3	AGAP3	0.0446526824043936	0.961665381908393	0.207221955587856
AGAP4	AGAP4	0.0455217332228357	0.961490787472134	0.209209768231602
AGAP5	AGAP5	0.0501162126766463	0.961997135484399	0.219571521460003
AGAP6	AGAP6	0.0467825223184548	0.961909409747794	0.212133327013597
AGER	AGER	0.0420394246305952	0.961735228182154	0.201074104846328
AGFG1	AGFG1	0.0269150162117765	0.96179083203656	0.160893181448444
AGFG2	AGFG2	0.0370716157748775	0.961475180129111	0.18879469922333
AGK	AGK	0.0800878330736353	0.961534079571878	0.277501677219011
AGO1	AGO1	0.0100702903751811	0.961872055694616	0.0984191592354719
AGO2	AGO2	0.0223936327951773	0.961899261674816	0.146766545411064
AGPAT1	AGPAT1	0.0254387051338502	0.961486453992642	0.156393639235456
AGPAT2	AGPAT2	0.0191048965663694	0.961804804773558	0.135555085895867
AGPAT3	AGPAT3	0.0787044799871242	0.961963550585733	0.275156030309019
AGRN	AGRN	0.0344260954039967	0.961737282950044	0.181958400345845
AGRP	AGRP	0.168867309168956	0.961651219023846	0.402978229828366
AGT	AGT	0.0130566027791916	0.961761577282925	0.112059532762153
AGTR1	AGTR1	0.0508482024560026	0.962121255898769	0.22118349035849
AGTR2	AGTR2	0.0113606876876203	0.962041040484776	0.104543999366874
AGTRAP	AGTRAP	0.0322953879156319	0.961805031763718	0.176243770386405
AHCTF1	AHCTF1	0.133893679810579	0.961678443956908	0.358835151087379
AHNAK	AHNAK	0.0738228598530465	0.961894996479562	0.266476714777215
AHNAK2	AHNAK2	0.186416983389927	0.961930178400006	0.423462066883284
AHR	AHR	0.0513057592313614	0.961513305068471	0.222106213617705
AHRR	AHRR	0.223624432489677	0.961372142929136	0.463666151313543
AIDA	AIDA	0.151008292559863	0.961643816724242	0.381072422006995
AIFM1	AIFM1	0.537796801985021	0.96189259033884	0.719237623416153
AIFM2	AIFM2	0.0211545243435491	0.961802822449367	0.142641092330364
AIFM3	AIFM3	0.0285363314497603	0.961887848027428	0.165676644246578
AIMP1	AIMP1	0.0604863728581893	0.961889503952957	0.241207809128306
AIP	AIP	0.0749509204734529	0.961788579218896	0.268490110270957
AIRE	AIRE	0.0230792713936934	0.961942766870705	0.148999792556263
AJUBA	AJUBA	0.012954976474845	0.961736676329868	0.11162112710795
AK1	AK1	0.0695491900399008	0.962169555441017	0.258685355716117
AKAP10	AKAP10	0.0903700237587977	0.961773793539772	0.294814383252884
AKAP11	AKAP11	0.108069175158419	0.96147145717178	0.322343647858799
AKAP12	AKAP12	0.0356845726190358	0.961632903027288	0.185244322884485
AKAP13	AKAP13	0.0628148684282604	0.961588549693338	0.245768301925022
AKAP17A	AKAP17A	0.0675225981699947	0.961461836758253	0.254794821884615
AKAP3	AKAP3	0.0536403215684172	0.961808510092285	0.227138102855048
AKAP5	AKAP5	0.0675376718047171	0.961850239097076	0.254874725646595
AKAP7	AKAP7	0.0857738270523069	0.962104668839248	0.28726886269005
AKAP8	AKAP8	0.060826869147997	0.962321996698633	0.241940145844849
AKAP9	AKAP9	0.0587400776079435	0.961602079578342	0.237664849698881
AKIRIN2	AKIRIN2	0.027025561196704	0.961802497343875	0.16122422972714
AKNA	AKNA	0.0767256104413951	0.96170329838491	0.271638128089717
AKT1	AKT1	0.0488088037715703	0.961815692027214	0.216668118043642
AKT1S1	AKT1S1	0.0158582289545312	0.961638993098636	0.123490450335899
AKT2	AKT2	0.0978116749333615	0.961869667735347	0.306728028176087
AKT3	AKT3	0.0534866849710227	0.961740111875763	0.226804520210456
AKTIP	AKTIP	0.0664096568034784	0.961725129794589	0.25272086540082
ALCAM	ALCAM	0.13017616161976	0.961680835516492	0.353819049615507
ALDH1A2	ALDH1A2	0.0194525257993443	0.961446783601319	0.13675733385344
ALDH3A1	ALDH3A1	0.0175875872327493	0.961374735344772	0.130031773121947
ALDH3B1	ALDH3B1	0.0209248743040101	0.961964645361468	0.141876669290939
ALDOB	ALDOB	0.0289143797065409	0.962271167088998	0.166803698717587
ALG10B	ALG10B	0.129449850242532	0.96162596178605	0.352820544671842
ALK	ALK	0.272703149608234	0.961858281100348	0.512154061521362
ALMS1	ALMS1	0.119570248299973	0.962010752294707	0.339157580659966
ALOX15	ALOX15	0.0319445950940019	0.961745529185236	0.175278554059785
ALOX15B	ALOX15B	0.0547157991977505	0.962116156135188	0.229440524764054
ALPI	ALPI	0.0249535348004575	0.962117956620789	0.154945938677598
ALPL	ALPL	0.0166854952634559	0.961619310697043	0.126669232467412
ALPP	ALPP	0.0529486621046814	0.96191419386029	0.225681345317697
ALS2	ALS2	0.0594522731620892	0.961406473276273	0.239076975614595
ALX1	ALX1	0.0165708838546672	0.961627969801443	0.12623401046857
ALX3	ALX3	0.0509700518755088	0.961610294619793	0.221389535888204
ALX4	ALX4	0.0222283058071485	0.961541393002666	0.146196566751394
AMBP	AMBP	0.01779986481623	0.961950159139383	0.130853287282483
AMER1	AMER1	0.0331794031561479	0.961713263599248	0.178631106175756
AMFR	AMFR	0.0208313467261654	0.961677401954373	0.141538105818997
AMHR2	AMHR2	0.216160198585759	0.961642949049428	0.455926453317987
AMIGO2	AMIGO2	0.0549020765286439	0.961709203306881	0.22978214090363
AMN	AMN	0.00878135563050331	0.961819147281643	0.091902535245267
ANG	ANG	0.0171827667640263	0.961435180957327	0.128530605200159
ANGPT1	ANGPT1	0.0920895563625577	0.961899663240399	0.297625458005699
ANGPT2	ANGPT2	0.146308896846904	0.961698408337389	0.375106695785702
ANGPTL3	ANGPTL3	0.0294559523468889	0.962167379042422	0.168349506880194
ANGPTL4	ANGPTL4	0.0326027504128417	0.961537701619777	0.177055849094141
ANGPTL6	ANGPTL6	0.126914367437198	0.962019417696396	0.349419641490343
ANK1	ANK1	0.0429508493323348	0.962086551328671	0.203279203340586
ANK2	ANK2	0.0393305958626544	0.961947634797777	0.194509572168744
ANK3	ANK3	0.0256977598419038	0.961673488493636	0.157203226282527
ANKDD1A	ANKDD1A	0.0405299581329367	0.961964625036976	0.197454769448891
ANKDD1B	ANKDD1B	0.0259651043298813	0.961818726621723	0.158030767837047
ANKH	ANKH	0.0341544183542124	0.96154016809739	0.181220432527842
ANKRD1	ANKRD1	0.020243859303624	0.961824243876691	0.139538649369464
ANKRD11	ANKRD11	0.111848612944772	0.961887429634625	0.328002705497447
ANKRD13A	ANKRD13A	0.140571266853757	0.961311722759937	0.367604144032316
ANKRD13B	ANKRD13B	0.0268927295809645	0.961801909000248	0.16082748101366
ANKRD13D	ANKRD13D	0.0341302571099788	0.961939234865018	0.181193911073522
ANKRD20A1	ANKRD20A1	0.197934484534132	0.961737261334955	0.436303757810545
ANKRD27	ANKRD27	0.0555975037781551	0.961964387273985	0.231263526428004
ANKRD30A	ANKRD30A	0.051630210893258	0.961751924029166	0.222835039131243
ANKS4B	ANKS4B	0.10583900720876	0.96167607506412	0.319034231770202
ANKZF1	ANKZF1	0.0367153382156306	0.961695257771842	0.187906803095208
ANO1	ANO1	0.0501329450957879	0.961806428178858	0.21958640407973
ANO10	ANO10	0.016629181491631	0.961678884479481	0.126459213609284
ANO2	ANO2	0.0376941871166493	0.961711441146756	0.190396772595568
ANO3	ANO3	0.0204675266188434	0.961830747199935	0.140307863005381
ANO4	ANO4	0.0587448787404246	0.962196442262382	0.237748003830046
ANO5	ANO5	0.0184824359927759	0.961595079477956	0.133313988416143
ANO6	ANO6	0.111457066934022	0.961794526752851	0.327412273662837
ANO7	ANO7	0.0194820054999682	0.961814417396509	0.136887084013312
ANO8	ANO8	0.145560658505928	0.961708485865151	0.374148260043088
ANO9	ANO9	0.0465321642874019	0.962048676789756	0.21158026155778
ANP32A	ANP32A	0.0232901450985074	0.96168497032165	0.149658887132856
ANTXR1	ANTXR1	0.327824848797388	0.962049794550334	0.561590445461834
ANTXR2	ANTXR2	0.0723159592907052	0.962002835170746	0.263757763612279
ANXA1	ANXA1	0.404397847399907	0.961561927995417	0.623581248774408
ANXA13	ANXA13	0.0161592109189564	0.961553937189473	0.124651325227603
ANXA2	ANXA2	0.0145952265764895	0.961793920173808	0.118480378902276
ANXA3	ANXA3	0.0897092437582312	0.961571399730581	0.293703665434012
ANXA4	ANXA4	0.0226106563021956	0.961724773751625	0.147462633628336
ANXA5	ANXA5	0.0288793509151947	0.961487049424741	0.166634695969214
ANXA7	ANXA7	0.0443296442726792	0.961413008199784	0.206443931014266
ANXA8	ANXA8	0.0245045093955699	0.961556720961941	0.153500735187768
ANXA9	ANXA9	0.0275271848772134	0.961931554755735	0.16272451489246
AOC1	AOC1	0.0530848995129638	0.961919748689505	0.225972151378699
AOC2	AOC2	0.066986242639427	0.962278337946677	0.25388857838107
AOC3	AOC3	0.168531558240372	0.962037324300803	0.402658228960756
AP2A1	AP2A1	0.0332697728422716	0.961662934571822	0.178869526146957
AP2A2	AP2A2	0.0152814583922356	0.961428696985937	0.121210695196801
AP2B1	AP2B1	0.0628143434298007	0.961535436057302	0.245760487264382
AP2M1	AP2M1	0.0311280935597464	0.96203436563679	0.173049980471635
AP2S1	AP2S1	0.0891737428819459	0.962044699726296	0.292897809302718
AP3S1	AP3S1	0.0377097798189658	0.961854306741586	0.190450293056086
APAF1	APAF1	0.159685379456055	0.961585072481108	0.39185593931753
APBA1	APBA1	0.0433736489122073	0.962104982075752	0.204279229754861
APBA2	APBA2	0.0678766345483228	0.961873522968556	0.255516609245357
APBA3	APBA3	0.0122006179800312	0.961942878233983	0.108334193936838
APBB1	APBB1	0.0251257485371061	0.961678466181553	0.155444174271111
APBB1IP	APBB1IP	0.0251690067737833	0.96177091091275	0.155585406036655
APBB2	APBB2	0.0410646818984971	0.961715104648116	0.198727262471345
APC	APC	0.0945301512902347	0.961655561761724	0.301505299692114
APC2	APC2	0.310213899964096	0.961622827022126	0.546176498455429
APEX1	APEX1	0.0261779878332748	0.961473137174119	0.158648769572804
APH1A	APH1A	0.110855361213066	0.961631138064146	0.326499566866226
APH1B	APH1B	0.0329581272716774	0.961813226260915	0.178043710146385
APLF	APLF	0.0190046071341133	0.961865668358576	0.135203103303682
APLNR	APLNR	0.153093368864567	0.961733545084392	0.383712168646021
APLP1	APLP1	0.0283631844474894	0.961634656610637	0.165151509640529
APLP2	APLP2	0.0586023359298476	0.96177203381079	0.237407008770408
APOA1	APOA1	0.020252943084737	0.961603063242917	0.139553903958175
APOB	APOB	0.115386218386575	0.961722279402661	0.333120844376917
APOBR	APOBR	0.149361829156026	0.961895145393256	0.379038808530523
APOE	APOE	0.0622177459583209	0.961615587537037	0.244600806079908
APOL3	APOL3	0.0417225328352042	0.962078767353553	0.200350600101326
APOLD1	APOLD1	0.0555159290980187	0.961753501672436	0.231068472987161
APP	APP	0.0609026953776045	0.961529501049013	0.241991194672385
APPL1	APPL1	0.108371973075778	0.961547068333374	0.322807609886318
APPL2	APPL2	0.0223352890077114	0.961993343696349	0.14658239783464
AQP1	AQP1	0.140391854189281	0.961775683132711	0.367458122061771
AQP10	AQP10	0.0316004141254464	0.961504027323243	0.174309854703339
AQP11	AQP11	0.0214620703220597	0.961600007978907	0.143659065126209
AQP3	AQP3	0.0180726930849561	0.961670719990394	0.131833151260126
AQP4	AQP4	0.0233737658752825	0.961601250652084	0.149920787411622
AQP5	AQP5	0.11895332782737	0.961898844828117	0.338261834420627
AQP7	AQP7	0.0492412328929838	0.961868732650062	0.217631804378176
AQP8	AQP8	0.111831377664911	0.96210217516239	0.328014041929332
AQP9	AQP9	0.0178599862799822	0.961629048472057	0.131052209489742
AR	AR	0.0353405617626415	0.961535266818087	0.184339893902385
ARAF	ARAF	0.0332367408594695	0.961793542985026	0.178792848706273
ARAP1	ARAP1	0.0254167894069362	0.961960902592972	0.156364822383143
ARAP2	ARAP2	0.0713973406985539	0.961887340508573	0.262061439673823
ARAP3	ARAP3	0.113331733477204	0.961597686693262	0.330120482158585
ARC	ARC	0.127531768943519	0.961730177256318	0.350215863078562
ARF1	ARF1	0.0342775171760125	0.96168853267935	0.181560720413009
ARF3	ARF3	0.0462042945231612	0.961749395709258	0.210800740835565
ARF4	ARF4	0.142907775896898	0.961630340965039	0.370708043158346
ARF5	ARF5	0.0620876043677128	0.961717887131583	0.244357851704377
ARF6	ARF6	0.0817612249033513	0.961876077643725	0.280435672326796
ARFGAP1	ARFGAP1	0.103554361467531	0.96173517088062	0.315581798463424
ARFGAP2	ARFGAP2	0.16302566420538	0.961583284799789	0.395932764106833
ARFGAP3	ARFGAP3	0.0268066536800313	0.961797290269623	0.160569507910594
ARFGEF1	ARFGEF1	0.10109015592276	0.961629615300061	0.311787247575374
ARFGEF2	ARFGEF2	0.132686868174805	0.961709982245405	0.357220220083621
ARFIP2	ARFIP2	0.0180800959170211	0.96171542848016	0.131863213944604
ARFRP1	ARFRP1	0.0480121504842624	0.961957772956497	0.21490849530601
ARHGAP1	ARHGAP1	0.045056208182702	0.961610211601673	0.208150209907502
ARHGAP10	ARHGAP10	0.11803521825911	0.961769717185665	0.336931296384014
ARHGAP11A	ARHGAP11A	0.084038742279584	0.961787802493275	0.284301665949005
ARHGAP12	ARHGAP12	0.0992403893296151	0.962027365226859	0.30898538844233
ARHGAP15	ARHGAP15	0.192101914739141	0.961863123832633	0.429855496423182
ARHGAP17	ARHGAP17	0.0334235710001368	0.961560498858772	0.179272936062678
ARHGAP18	ARHGAP18	0.0890040617814141	0.961881037277653	0.292594120358272
ARHGAP19	ARHGAP19	0.0337378633331614	0.961715073783595	0.180128320163022
ARHGAP20	ARHGAP20	0.0809000967227697	0.961860726102023	0.278952730360338
ARHGAP21	ARHGAP21	0.0908654684218759	0.961825461796922	0.295629364451951
ARHGAP22	ARHGAP22	0.202808749980184	0.962225822549389	0.441755380578319
ARHGAP23	ARHGAP23	0.177243902186575	0.961732436912591	0.412869482981961
ARHGAP24	ARHGAP24	0.0159512194401403	0.96213053898873	0.123883636358761
ARHGAP25	ARHGAP25	0.128494002910839	0.961909928405648	0.351567429009742
ARHGAP26	ARHGAP26	0.113708378043459	0.96143090891304	0.330639908742654
ARHGAP27	ARHGAP27	0.0708423558468848	0.961524748311259	0.260991720894462
ARHGAP28	ARHGAP28	0.065406760081608	0.961903256356975	0.250828577937719
ARHGAP29	ARHGAP29	0.144275848456218	0.961610028401446	0.37247429808193
ARHGAP30	ARHGAP30	0.278269084843809	0.961835159400667	0.517348035249988
ARHGAP31	ARHGAP31	0.154863460281505	0.961584352189025	0.38589413073088
ARHGAP32	ARHGAP32	0.0518128565412152	0.961480646492089	0.223197353935591
ARHGAP33	ARHGAP33	0.0188345770356195	0.961609995272681	0.134579038242161
ARHGAP35	ARHGAP35	0.03452652630595	0.961601863286956	0.182210790099345
ARHGAP39	ARHGAP39	0.0216433635987772	0.961971736965312	0.144292425563117
ARHGAP4	ARHGAP4	0.0239661881752839	0.961941001397945	0.151835631697649
ARHGAP40	ARHGAP40	0.0261355917848062	0.961766539571693	0.158544434372612
ARHGAP42	ARHGAP42	0.190461301025585	0.961732337881244	0.42798690670538
ARHGAP44	ARHGAP44	0.0147850064098912	0.961595134705313	0.119235859666202
ARHGAP5	ARHGAP5	0.128254573357994	0.961787331498282	0.351217345617262
ARHGAP6	ARHGAP6	0.101338895938095	0.961564702017246	0.31216006354989
ARHGAP8	ARHGAP8	0.0240073899661041	0.961889642509659	0.151962033916652
ARHGAP9	ARHGAP9	0.237256114779817	0.961863619284049	0.477711236270811
ARHGDIA	ARHGDIA	0.115082341530718	0.96167055868584	0.332672962043387
ARHGDIB	ARHGDIB	0.265977879752766	0.961674915107717	0.505751178873339
ARHGDIG	ARHGDIG	0.256344090481001	0.962157659933997	0.496632087399826
ARHGEF1	ARHGEF1	0.0557161260907034	0.961522564750252	0.231456934345639
ARHGEF10	ARHGEF10	0.229583848515656	0.9614578520583	0.469824641606994
ARHGEF10L	ARHGEF10L	0.0538778056296117	0.961896561079172	0.227650776307957
ARHGEF11	ARHGEF11	0.099188956498144	0.96185527916543	0.30887768038926
ARHGEF12	ARHGEF12	0.0755536727970618	0.961757626156085	0.269563204085194
ARHGEF15	ARHGEF15	0.151526671539966	0.961638287348168	0.381724834019561
ARHGEF16	ARHGEF16	0.026670508488967	0.961769713929123	0.160158943926894
ARHGEF17	ARHGEF17	0.050061783651856	0.961586796694927	0.219405447012199
ARHGEF18	ARHGEF18	0.0183580518279484	0.961889762261904	0.132884995798536
ARHGEF19	ARHGEF19	0.0185884617763951	0.961861175554556	0.133714321207544
ARHGEF2	ARHGEF2	0.0303920793574149	0.961810353956422	0.170971976078616
ARHGEF25	ARHGEF25	0.176758839925278	0.961861398983694	0.412331790010499
ARHGEF26	ARHGEF26	0.0374675595778805	0.96152051300218	0.189804707808482
ARHGEF28	ARHGEF28	0.0326868899218744	0.961837251600255	0.177311782930001
ARHGEF3	ARHGEF3	0.0217085929355259	0.961981394083492	0.144510423484634
ARHGEF33	ARHGEF33	0.211501712304597	0.961447135470809	0.450940922341747
ARHGEF37	ARHGEF37	0.0187332905391342	0.961712895205205	0.134223869267396
ARHGEF38	ARHGEF38	0.0221719361413231	0.961726825200393	0.14602515452394
ARHGEF39	ARHGEF39	0.0480088919849719	0.961778247863119	0.214881148580223
ARHGEF4	ARHGEF4	0.0726553364541745	0.96137659641366	0.264289878867132
ARHGEF40	ARHGEF40	0.040365641376502	0.961716110024791	0.197028646656432
ARHGEF5	ARHGEF5	0.0201606069041395	0.96168650011692	0.139241457525677
ARHGEF6	ARHGEF6	0.155061284727068	0.961721732351392	0.386168107653064
ARHGEF7	ARHGEF7	0.0636160129341609	0.962000425074847	0.247383571573033
ARHGEF9	ARHGEF9	0.0545261429255114	0.961610171067869	0.22898229980999
ARID1A	ARID1A	0.199973044800154	0.962176189227629	0.438644847449571
ARID1B	ARID1B	0.0572176085136809	0.961570131968719	0.234560745585093
ARID2	ARID2	0.132858180321725	0.961805376832278	0.357468477197064
ARID3A	ARID3A	0.0263805061317598	0.961781091331882	0.159286760207154
ARID3B	ARID3B	0.0130417114812169	0.961631396001155	0.11198803158341
ARID3C	ARID3C	0.0319815682884586	0.961706956005443	0.175376442793705
ARID4A	ARID4A	0.095726948656336	0.961974781274587	0.303458251652122
ARID4B	ARID4B	0.0721250849987028	0.961629596370125	0.263358342141394
