Symbol	Name	# SSM Affected Cases in Cohort	# SSM Affected Cases Across the GDC	# CNV Gain	# CNV Loss	# Mutations	Annotations	Survival
WTAP	Wilms tumor 1 associated protein	193 / 6,931 (2.78%)	193 / 13,035,TCGA-UCEC: 54 / 530 (10.19%),TCGA-COAD: 19 / 400 (4.75%),TCGA-BLCA: 11 / 412 (2.67%),TCGA-STAD: 10 / 440 (2.27%),TCGA-ESCA: 4 / 184 (2.17%),TCGA-ACC: 2 / 92 (2.17%),MMRF-COMMPASS: 17 / 959 (1.77%),TCGA-UCS: 1 / 57 (1.75%),TCGA-CESC: 5 / 289 (1.73%),TCGA-HNSC: 8 / 508 (1.57%),TCGA-LUAD: 8 / 567 (1.41%),TCGA-SARC: 3 / 237 (1.27%),CPTAC-2: 4 / 328 (1.22%),TCGA-MESO: 1 / 82 (1.22%),TCGA-LUSC: 6 / 495 (1.21%),CGCI-HTMCP-CC: 1 / 84 (1.19%),CMI-MBC: 2 / 174 (1.15%),TCGA-LIHC: 4 / 364 (1.10%),TCGA-PAAD: 2 / 182 (1.10%),HCMI-CMDC: 1 / 109 (0.92%),TCGA-BRCA: 9 / 986 (0.91%),CPTAC-3: 7 / 778 (0.90%),TCGA-KIRC: 3 / 336 (0.89%),TCGA-READ: 1 / 137 (0.73%),TCGA-LAML: 1 / 144 (0.69%),TCGA-SKCM: 3 / 469 (0.64%),TCGA-LGG: 3 / 510 (0.59%),TCGA-OV: 2 / 436 (0.46%),TCGA-PRAD: 1 / 498 (0.20%)	272 / 6,961 (3.91%)	643 / 6,961 (9.24%)	156		
CPSF2	cleavage and polyadenylation specific factor 2, 100kDa	186 / 6,931 (2.68%)	186 / 13,035,TCGA-UCEC: 58 / 530 (10.94%),TCGA-STAD: 16 / 440 (3.64%),TCGA-COAD: 13 / 400 (3.25%),TCGA-ESCA: 5 / 184 (2.72%),CPTAC-2: 8 / 328 (2.44%),TCGA-CESC: 7 / 289 (2.42%),TCGA-HNSC: 8 / 508 (1.57%),CPTAC-3: 12 / 778 (1.54%),TCGA-BLCA: 6 / 412 (1.46%),TCGA-LUAD: 7 / 567 (1.23%),TCGA-LUSC: 6 / 495 (1.21%),CGCI-HTMCP-CC: 1 / 84 (1.19%),TCGA-LIHC: 4 / 364 (1.10%),TCGA-PAAD: 2 / 182 (1.10%),TCGA-SKCM: 5 / 469 (1.07%),MMRF-COMMPASS: 8 / 959 (0.83%),TCGA-GBM: 3 / 393 (0.76%),TCGA-READ: 1 / 137 (0.73%),TCGA-KIRP: 2 / 281 (0.71%),TCGA-BRCA: 6 / 986 (0.61%),CMI-MBC: 1 / 174 (0.57%),TCGA-OV: 2 / 436 (0.46%),TCGA-THCA: 2 / 492 (0.41%),TCGA-LGG: 2 / 510 (0.39%),TCGA-KIRC: 1 / 336 (0.30%)	310 / 6,961 (4.45%)	411 / 6,961 (5.90%)	180		
CSTF3	cleavage stimulation factor, 3' pre-RNA, subunit 3, 77kDa	185 / 6,931 (2.67%)	185 / 13,035,TCGA-UCEC: 45 / 530 (8.49%),TCGA-COAD: 21 / 400 (5.25%),TCGA-STAD: 22 / 440 (5.00%),TCGA-DLBC: 1 / 37 (2.70%),TCGA-READ: 3 / 137 (2.19%),TCGA-ACC: 2 / 92 (2.17%),TCGA-SKCM: 10 / 469 (2.13%),TCGA-LUAD: 11 / 567 (1.94%),TCGA-UCS: 1 / 57 (1.75%),TCGA-CESC: 5 / 289 (1.73%),CPTAC-2: 5 / 328 (1.52%),TCGA-BRCA: 14 / 986 (1.42%),TCGA-MESO: 1 / 82 (1.22%),CGCI-HTMCP-CC: 1 / 84 (1.19%),TCGA-PAAD: 2 / 182 (1.10%),TCGA-OV: 4 / 436 (0.92%),TCGA-LUSC: 4 / 495 (0.81%),TCGA-PRAD: 4 / 498 (0.80%),CPTAC-3: 6 / 778 (0.77%),MMRF-COMMPASS: 7 / 959 (0.73%),TCGA-BLCA: 3 / 412 (0.73%),TCGA-LAML: 1 / 144 (0.69%),TCGA-KIRC: 2 / 336 (0.60%),TCGA-LGG: 3 / 510 (0.59%),TCGA-ESCA: 1 / 184 (0.54%),TCGA-GBM: 2 / 393 (0.51%),TCGA-HNSC: 2 / 508 (0.39%),TCGA-KIRP: 1 / 281 (0.36%),TCGA-LIHC: 1 / 364 (0.27%)	344 / 6,961 (4.94%)	123 / 6,961 (1.77%)	187		
PABPN1	poly(A) binding protein, nuclear 1	144 / 6,931 (2.08%)	144 / 13,035,TCGA-UCEC: 39 / 530 (7.36%),TCGA-STAD: 15 / 440 (3.41%),TCGA-ESCA: 5 / 184 (2.72%),TCGA-CESC: 6 / 289 (2.08%),TCGA-CHOL: 1 / 51 (1.96%),TCGA-LUAD: 11 / 567 (1.94%),HCMI-CMDC: 2 / 109 (1.83%),CPTAC-2: 6 / 328 (1.83%),TCGA-SKCM: 7 / 469 (1.49%),TCGA-GBM: 5 / 393 (1.27%),TCGA-SARC: 3 / 237 (1.27%),TCGA-BLCA: 5 / 412 (1.21%),TCGA-LIHC: 4 / 364 (1.10%),TCGA-ACC: 1 / 92 (1.09%),TCGA-KIRP: 3 / 281 (1.07%),TCGA-OV: 4 / 436 (0.92%),TCGA-THYM: 1 / 123 (0.81%),TCGA-COAD: 3 / 400 (0.75%),TCGA-READ: 1 / 137 (0.73%),TCGA-LAML: 1 / 144 (0.69%),CPTAC-3: 5 / 778 (0.64%),MMRF-COMMPASS: 6 / 959 (0.63%),TCGA-HNSC: 3 / 508 (0.59%),TCGA-PAAD: 1 / 182 (0.55%),TCGA-LUSC: 2 / 495 (0.40%),TCGA-LGG: 2 / 510 (0.39%),TCGA-BRCA: 2 / 986 (0.20%)	563 / 6,961 (8.09%)	327 / 6,961 (4.70%)	139		
METTL3	methyltransferase like 3	141 / 6,931 (2.03%)	141 / 13,035,TCGA-UCEC: 25 / 530 (4.72%),TCGA-BLCA: 19 / 412 (4.61%),CMI-ASC: 1 / 36 (2.78%),TCGA-COAD: 11 / 400 (2.75%),TCGA-DLBC: 1 / 37 (2.70%),TCGA-READ: 3 / 137 (2.19%),TCGA-OV: 7 / 436 (1.61%),TCGA-GBM: 6 / 393 (1.53%),CPTAC-3: 11 / 778 (1.41%),TCGA-CESC: 4 / 289 (1.38%),TCGA-HNSC: 7 / 508 (1.38%),TCGA-PAAD: 2 / 182 (1.10%),TCGA-ESCA: 2 / 184 (1.09%),HCMI-CMDC: 1 / 109 (0.92%),CPTAC-2: 3 / 328 (0.91%),TCGA-STAD: 4 / 440 (0.91%),TCGA-SKCM: 4 / 469 (0.85%),MMRF-COMMPASS: 8 / 959 (0.83%),TCGA-LUSC: 4 / 495 (0.81%),TCGA-LGG: 4 / 510 (0.78%),TCGA-KIRP: 2 / 281 (0.71%),TCGA-LUAD: 4 / 567 (0.71%),CMI-MBC: 1 / 174 (0.57%),TCGA-BRCA: 4 / 986 (0.41%),TCGA-KIRC: 1 / 336 (0.30%),TCGA-LIHC: 1 / 364 (0.27%),TCGA-PRAD: 1 / 498 (0.20%)	586 / 6,961 (8.42%)	355 / 6,961 (5.10%)	152		
TRMT6	tRNA methyltransferase 6	138 / 6,931 (1.99%)	138 / 13,035,TCGA-UCEC: 31 / 530 (5.85%),TCGA-COAD: 12 / 400 (3.00%),TCGA-BLCA: 10 / 412 (2.43%),TCGA-LUSC: 11 / 495 (2.22%),TCGA-STAD: 8 / 440 (1.82%),TCGA-UCS: 1 / 57 (1.75%),TCGA-CESC: 5 / 289 (1.73%),TCGA-SKCM: 8 / 469 (1.71%),TCGA-LUAD: 9 / 567 (1.59%),CPTAC-2: 4 / 328 (1.22%),TCGA-OV: 4 / 436 (0.92%),CPTAC-3: 7 / 778 (0.90%),TCGA-GBM: 3 / 393 (0.76%),TCGA-BRCA: 7 / 986 (0.71%),TCGA-TGCT: 1 / 145 (0.69%),TCGA-LIHC: 2 / 364 (0.55%),TCGA-PAAD: 1 / 182 (0.55%),TCGA-SARC: 1 / 237 (0.42%),MMRF-COMMPASS: 4 / 959 (0.42%),TCGA-PRAD: 2 / 498 (0.40%),TCGA-HNSC: 2 / 508 (0.39%),TCGA-LGG: 2 / 510 (0.39%),TCGA-KIRP: 1 / 281 (0.36%),TCGA-KIRC: 1 / 336 (0.30%),TCGA-THCA: 1 / 492 (0.20%)	296 / 6,961 (4.25%)	300 / 6,961 (4.31%)	133		
CSTF2	cleavage stimulation factor, 3' pre-RNA, subunit 2, 64kDa	135 / 6,931 (1.95%)	135 / 13,035,TCGA-UCEC: 35 / 530 (6.60%),TCGA-UCS: 2 / 57 (3.51%),CMI-ASC: 1 / 36 (2.78%),TCGA-SKCM: 13 / 469 (2.77%),TCGA-CESC: 7 / 289 (2.42%),TCGA-STAD: 8 / 440 (1.82%),TCGA-BLCA: 7 / 412 (1.70%),TCGA-LUSC: 8 / 495 (1.62%),TCGA-COAD: 6 / 400 (1.50%),TCGA-LUAD: 8 / 567 (1.41%),TCGA-GBM: 5 / 393 (1.27%),CPTAC-2: 4 / 328 (1.22%),TCGA-ESCA: 2 / 184 (1.09%),TCGA-ACC: 1 / 92 (1.09%),TCGA-LIHC: 3 / 364 (0.82%),CPTAC-3: 6 / 778 (0.77%),TCGA-READ: 1 / 137 (0.73%),TCGA-LAML: 1 / 144 (0.69%),TCGA-HNSC: 3 / 508 (0.59%),TCGA-LGG: 3 / 510 (0.59%),CMI-MBC: 1 / 174 (0.57%),TCGA-PAAD: 1 / 182 (0.55%),MMRF-COMMPASS: 5 / 959 (0.52%),TCGA-BRCA: 3 / 986 (0.30%),TCGA-OV: 1 / 436 (0.23%)	184 / 6,961 (2.64%)	125 / 6,961 (1.80%)	146		
CPSF3	cleavage and polyadenylation specific factor 3, 73kDa	129 / 6,931 (1.86%)	129 / 13,035,TCGA-UCEC: 28 / 530 (5.28%),TCGA-BLCA: 11 / 412 (2.67%),TCGA-READ: 3 / 137 (2.19%),TCGA-CESC: 6 / 289 (2.08%),TCGA-SKCM: 9 / 469 (1.92%),TCGA-COAD: 7 / 400 (1.75%),TCGA-LUSC: 7 / 495 (1.41%),TCGA-SARC: 3 / 237 (1.27%),TCGA-OV: 5 / 436 (1.15%),TCGA-ESCA: 2 / 184 (1.09%),TCGA-ACC: 1 / 92 (1.09%),HCMI-CMDC: 1 / 109 (0.92%),TCGA-LUAD: 5 / 567 (0.88%),TCGA-BRCA: 8 / 986 (0.81%),CPTAC-3: 6 / 778 (0.77%),TCGA-GBM: 3 / 393 (0.76%),TCGA-KIRP: 2 / 281 (0.71%),TCGA-STAD: 3 / 440 (0.68%),CPTAC-2: 2 / 328 (0.61%),TCGA-KIRC: 2 / 336 (0.60%),TCGA-LGG: 3 / 510 (0.59%),CMI-MBC: 1 / 174 (0.57%),TCGA-LIHC: 2 / 364 (0.55%),MMRF-COMMPASS: 4 / 959 (0.42%),TCGA-THCA: 2 / 492 (0.41%),TCGA-HNSC: 2 / 508 (0.39%),TCGA-PRAD: 1 / 498 (0.20%)	394 / 6,961 (5.66%)	327 / 6,961 (4.70%)	139		
CSTF1	cleavage stimulation factor, 3' pre-RNA, subunit 1, 50kDa	114 / 6,931 (1.64%)	114 / 13,035,TCGA-UCEC: 29 / 530 (5.47%),CMI-MPC: 1 / 30 (3.33%),TCGA-STAD: 14 / 440 (3.18%),TARGET-WT: 1 / 38 (2.63%),TCGA-COAD: 10 / 400 (2.50%),TCGA-READ: 2 / 137 (1.46%),TCGA-LUAD: 8 / 567 (1.41%),TCGA-SKCM: 6 / 469 (1.28%),TCGA-LUSC: 6 / 495 (1.21%),TCGA-PCPG: 2 / 179 (1.12%),TCGA-CESC: 3 / 289 (1.04%),TCGA-GBM: 4 / 393 (1.02%),TCGA-BLCA: 4 / 412 (0.97%),HCMI-CMDC: 1 / 109 (0.92%),CPTAC-2: 3 / 328 (0.91%),TCGA-HNSC: 4 / 508 (0.79%),TCGA-KIRP: 2 / 281 (0.71%),CMI-MBC: 1 / 174 (0.57%),TCGA-LIHC: 2 / 364 (0.55%),TCGA-PAAD: 1 / 182 (0.55%),TCGA-ESCA: 1 / 184 (0.54%),CPTAC-3: 3 / 778 (0.39%),TCGA-BRCA: 3 / 986 (0.30%),TCGA-OV: 1 / 436 (0.23%),TCGA-LGG: 1 / 510 (0.20%),MMRF-COMMPASS: 1 / 959 (0.10%)	507 / 6,961 (7.28%)	167 / 6,961 (2.40%)	115		
TRMT61B	tRNA methyltransferase 61B	114 / 6,931 (1.64%)	114 / 13,035,TCGA-UCEC: 24 / 530 (4.53%),TCGA-BLCA: 13 / 412 (3.16%),TCGA-HNSC: 9 / 508 (1.77%),TCGA-UCS: 1 / 57 (1.75%),TCGA-COAD: 7 / 400 (1.75%),TCGA-STAD: 7 / 440 (1.59%),TCGA-READ: 2 / 137 (1.46%),TCGA-LUSC: 7 / 495 (1.41%),TCGA-CESC: 4 / 289 (1.38%),TCGA-MESO: 1 / 82 (1.22%),TCGA-SKCM: 5 / 469 (1.07%),HCMI-CMDC: 1 / 109 (0.92%),CPTAC-2: 3 / 328 (0.91%),TCGA-GBM: 3 / 393 (0.76%),TCGA-LUAD: 4 / 567 (0.71%),CPTAC-3: 5 / 778 (0.64%),TCGA-KIRC: 2 / 336 (0.60%),CMI-MBC: 1 / 174 (0.57%),TCGA-LIHC: 2 / 364 (0.55%),TCGA-PAAD: 1 / 182 (0.55%),TCGA-ESCA: 1 / 184 (0.54%),TCGA-BRCA: 5 / 986 (0.51%),TCGA-LGG: 2 / 510 (0.39%),MMRF-COMMPASS: 3 / 959 (0.31%),TCGA-OV: 1 / 436 (0.23%)	380 / 6,961 (5.46%)	171 / 6,961 (2.46%)	114		
TRMT10C	tRNA methyltransferase 10 homolog C (S. cerevisiae)	108 / 6,931 (1.56%)	108 / 13,035,TCGA-UCEC: 25 / 530 (4.72%),TCGA-READ: 3 / 137 (2.19%),TCGA-UCS: 1 / 57 (1.75%),TCGA-CESC: 5 / 289 (1.73%),TCGA-STAD: 7 / 440 (1.59%),TCGA-COAD: 6 / 400 (1.50%),TCGA-SKCM: 7 / 469 (1.49%),TCGA-LIHC: 5 / 364 (1.37%),TCGA-BLCA: 5 / 412 (1.21%),TCGA-LUAD: 6 / 567 (1.06%),TCGA-GBM: 4 / 393 (1.02%),TCGA-LUSC: 5 / 495 (1.01%),HCMI-CMDC: 1 / 109 (0.92%),CPTAC-3: 6 / 778 (0.77%),TCGA-KIRP: 2 / 281 (0.71%),TCGA-LAML: 1 / 144 (0.69%),CPTAC-2: 2 / 328 (0.61%),TCGA-HNSC: 3 / 508 (0.59%),TCGA-PAAD: 1 / 182 (0.55%),TCGA-ESCA: 1 / 184 (0.54%),TARGET-NBL: 1 / 219 (0.46%),TCGA-THCA: 2 / 492 (0.41%),TCGA-BRCA: 4 / 986 (0.41%),TCGA-PRAD: 2 / 498 (0.40%),TCGA-OV: 1 / 436 (0.23%),TCGA-LGG: 1 / 510 (0.20%),MMRF-COMMPASS: 1 / 959 (0.10%)	353 / 6,961 (5.07%)	263 / 6,961 (3.78%)	110		
CLP1	cleavage and polyadenylation factor I subunit 1	107 / 6,931 (1.54%)	107 / 13,035,TCGA-UCEC: 23 / 530 (4.34%),CMI-ASC: 1 / 36 (2.78%),TCGA-COAD: 9 / 400 (2.25%),TCGA-SKCM: 9 / 469 (1.92%),TCGA-OV: 8 / 436 (1.83%),TCGA-CESC: 4 / 289 (1.38%),TCGA-STAD: 6 / 440 (1.36%),TCGA-GBM: 5 / 393 (1.27%),TCGA-UVM: 1 / 80 (1.25%),TCGA-LUAD: 7 / 567 (1.23%),TCGA-ESCA: 2 / 184 (1.09%),TCGA-BLCA: 4 / 412 (0.97%),HCMI-CMDC: 1 / 109 (0.92%),CPTAC-3: 7 / 778 (0.90%),TCGA-SARC: 2 / 237 (0.84%),TCGA-LIHC: 3 / 364 (0.82%),TCGA-LUSC: 4 / 495 (0.81%),TCGA-READ: 1 / 137 (0.73%),TCGA-LAML: 1 / 144 (0.69%),TCGA-TGCT: 1 / 145 (0.69%),CPTAC-2: 2 / 328 (0.61%),TCGA-HNSC: 2 / 508 (0.39%),TCGA-KIRP: 1 / 281 (0.36%),TCGA-PRAD: 1 / 498 (0.20%),MMRF-COMMPASS: 1 / 959 (0.10%),TCGA-BRCA: 1 / 986 (0.10%)	540 / 6,961 (7.76%)	215 / 6,961 (3.09%)	108	Cancer Gene Census	
METTL14	methyltransferase like 14	107 / 6,931 (1.54%)	107 / 13,035,TCGA-UCEC: 28 / 530 (5.28%),HCMI-CMDC: 3 / 109 (2.75%),TCGA-DLBC: 1 / 37 (2.70%),TCGA-READ: 3 / 137 (2.19%),TCGA-BLCA: 8 / 412 (1.94%),TCGA-UCS: 1 / 57 (1.75%),TCGA-LUAD: 7 / 567 (1.23%),TCGA-STAD: 5 / 440 (1.14%),TCGA-ACC: 1 / 92 (1.09%),TCGA-SKCM: 5 / 469 (1.07%),TCGA-CESC: 3 / 289 (1.04%),TCGA-COAD: 4 / 400 (1.00%),TCGA-THYM: 1 / 123 (0.81%),CPTAC-3: 6 / 778 (0.77%),TCGA-KIRP: 2 / 281 (0.71%),TCGA-LAML: 1 / 144 (0.69%),TCGA-KIRC: 2 / 336 (0.60%),TCGA-HNSC: 3 / 508 (0.59%),TCGA-LGG: 3 / 510 (0.59%),TCGA-PCPG: 1 / 179 (0.56%),TCGA-PAAD: 1 / 182 (0.55%),TCGA-ESCA: 1 / 184 (0.54%),TCGA-GBM: 2 / 393 (0.51%),TCGA-OV: 2 / 436 (0.46%),TCGA-THCA: 2 / 492 (0.41%),TCGA-LUSC: 2 / 495 (0.40%),TCGA-PRAD: 2 / 498 (0.40%),CPTAC-2: 1 / 328 (0.30%),TCGA-BRCA: 3 / 986 (0.30%),TCGA-LIHC: 1 / 364 (0.27%),MMRF-COMMPASS: 2 / 959 (0.21%)	208 / 6,961 (2.99%)	364 / 6,961 (5.23%)	106		
CPSF4	cleavage and polyadenylation specific factor 4, 30kDa	101 / 6,931 (1.46%)	101 / 13,035,TCGA-UCEC: 22 / 530 (4.15%),TCGA-CESC: 9 / 289 (3.11%),TCGA-COAD: 10 / 400 (2.50%),TCGA-BLCA: 6 / 412 (1.46%),TCGA-LAML: 2 / 144 (1.39%),CPTAC-2: 4 / 328 (1.22%),TCGA-STAD: 5 / 440 (1.14%),TCGA-OV: 4 / 436 (0.92%),HCMI-CMDC: 1 / 109 (0.92%),CPTAC-3: 7 / 778 (0.90%),TCGA-LIHC: 3 / 364 (0.82%),TCGA-LUSC: 4 / 495 (0.81%),TCGA-READ: 1 / 137 (0.73%),TCGA-BRCA: 6 / 986 (0.61%),TCGA-KIRC: 2 / 336 (0.60%),CMI-MBC: 1 / 174 (0.57%),TCGA-PCPG: 1 / 179 (0.56%),TCGA-PAAD: 1 / 182 (0.55%),TCGA-ESCA: 1 / 184 (0.54%),TCGA-GBM: 2 / 393 (0.51%),TCGA-SARC: 1 / 237 (0.42%),TCGA-KIRP: 1 / 281 (0.36%),MMRF-COMMPASS: 3 / 959 (0.31%),TCGA-SKCM: 1 / 469 (0.21%),TCGA-HNSC: 1 / 508 (0.20%),TCGA-LGG: 1 / 510 (0.20%),TCGA-LUAD: 1 / 567 (0.18%)	474 / 6,961 (6.81%)	170 / 6,961 (2.44%)	103		
NUDT21	nudix (nucleoside diphosphate linked moiety X)-type motif 21	64 / 6,931 (0.92%)	64 / 13,035,TCGA-UCEC: 11 / 530 (2.08%),TCGA-MESO: 1 / 82 (1.22%),TCGA-SKCM: 5 / 469 (1.07%),TCGA-GBM: 4 / 393 (1.02%),TCGA-COAD: 4 / 400 (1.00%),TCGA-STAD: 4 / 440 (0.91%),MMRF-COMMPASS: 8 / 959 (0.83%),TCGA-LUSC: 4 / 495 (0.81%),CPTAC-2: 2 / 328 (0.61%),TCGA-KIRC: 2 / 336 (0.60%),TCGA-PAAD: 1 / 182 (0.55%),TCGA-ESCA: 1 / 184 (0.54%),TCGA-LUAD: 3 / 567 (0.53%),TCGA-BLCA: 2 / 412 (0.49%),TCGA-SARC: 1 / 237 (0.42%),TCGA-HNSC: 2 / 508 (0.39%),CPTAC-3: 3 / 778 (0.39%),TCGA-KIRP: 1 / 281 (0.36%),TCGA-CESC: 1 / 289 (0.35%),TCGA-BRCA: 3 / 986 (0.30%),TCGA-LIHC: 1 / 364 (0.27%)	187 / 6,961 (2.69%)	241 / 6,961 (3.46%)	59		
TRMT61A	tRNA methyltransferase 61A	53 / 6,931 (0.76%)	53 / 13,035,TCGA-UCEC: 12 / 530 (2.26%),TCGA-COAD: 7 / 400 (1.75%),TCGA-PAAD: 2 / 182 (1.10%),TCGA-ACC: 1 / 92 (1.09%),CPTAC-3: 8 / 778 (1.03%),HCMI-CMDC: 1 / 109 (0.92%),CPTAC-2: 3 / 328 (0.91%),TCGA-SKCM: 3 / 469 (0.64%),TCGA-LIHC: 2 / 364 (0.55%),TCGA-ESCA: 1 / 184 (0.54%),TCGA-CESC: 1 / 289 (0.35%),MMRF-COMMPASS: 3 / 959 (0.31%),TCGA-BLCA: 1 / 412 (0.24%),TCGA-STAD: 1 / 440 (0.23%),TCGA-BRCA: 2 / 986 (0.20%),TCGA-LUSC: 1 / 495 (0.20%),TCGA-PRAD: 1 / 498 (0.20%),TCGA-HNSC: 1 / 508 (0.20%),TCGA-LGG: 1 / 510 (0.20%),TCGA-LUAD: 1 / 567 (0.18%)	469 / 6,961 (6.74%)	416 / 6,961 (5.98%)	59		
