id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	rank	B|B	B|B Activated	B|CD14 Mono	B|CD16 Mono	B|CD4 Memory T	B|CD4 Naive T	B|CD8 T	B|DC	B|Eryth	B|Mk	B|NK	B|T activated	B|pDC	B Activated|B	B Activated|B Activated	B Activated|CD14 Mono	B Activated|CD16 Mono	B Activated|CD4 Memory T	B Activated|CD4 Naive T	B Activated|CD8 T	B Activated|DC	B Activated|Eryth	B Activated|Mk	B Activated|NK	B Activated|T activated	B Activated|pDC	CD14 Mono|B	CD14 Mono|B Activated	CD14 Mono|CD14 Mono	CD14 Mono|CD16 Mono	CD14 Mono|CD4 Memory T	CD14 Mono|CD4 Naive T	CD14 Mono|CD8 T	CD14 Mono|DC	CD14 Mono|Eryth	CD14 Mono|Mk	CD14 Mono|NK	CD14 Mono|T activated	CD14 Mono|pDC	CD16 Mono|B	CD16 Mono|B Activated	CD16 Mono|CD14 Mono	CD16 Mono|CD16 Mono	CD16 Mono|CD4 Memory T	CD16 Mono|CD4 Naive T	CD16 Mono|CD8 T	CD16 Mono|DC	CD16 Mono|Eryth	CD16 Mono|Mk	CD16 Mono|NK	CD16 Mono|T activated	CD16 Mono|pDC	CD4 Memory T|B	CD4 Memory T|B Activated	CD4 Memory T|CD14 Mono	CD4 Memory T|CD16 Mono	CD4 Memory T|CD4 Memory T	CD4 Memory T|CD4 Naive T	CD4 Memory T|CD8 T	CD4 Memory T|DC	CD4 Memory T|Eryth	CD4 Memory T|Mk	CD4 Memory T|NK	CD4 Memory T|T activated	CD4 Memory T|pDC	CD4 Naive T|B	CD4 Naive T|B Activated	CD4 Naive T|CD14 Mono	CD4 Naive T|CD16 Mono	CD4 Naive T|CD4 Memory T	CD4 Naive T|CD4 Naive T	CD4 Naive T|CD8 T	CD4 Naive T|DC	CD4 Naive T|Eryth	CD4 Naive T|Mk	CD4 Naive T|NK	CD4 Naive T|T activated	CD4 Naive T|pDC	CD8 T|B	CD8 T|B Activated	CD8 T|CD14 Mono	CD8 T|CD16 Mono	CD8 T|CD4 Memory T	CD8 T|CD4 Naive T	CD8 T|CD8 T	CD8 T|DC	CD8 T|Eryth	CD8 T|Mk	CD8 T|NK	CD8 T|T activated	CD8 T|pDC	DC|B	DC|B Activated	DC|CD14 Mono	DC|CD16 Mono	DC|CD4 Memory T	DC|CD4 Naive T	DC|CD8 T	DC|DC	DC|Eryth	DC|Mk	DC|NK	DC|T activated	DC|pDC	Eryth|B	Eryth|B Activated	Eryth|CD14 Mono	Eryth|CD16 Mono	Eryth|CD4 Memory T	Eryth|CD4 Naive T	Eryth|CD8 T	Eryth|DC	Eryth|Eryth	Eryth|Mk	Eryth|NK	Eryth|T activated	Eryth|pDC	Mk|B	Mk|B Activated	Mk|CD14 Mono	Mk|CD16 Mono	Mk|CD4 Memory T	Mk|CD4 Naive T	Mk|CD8 T	Mk|DC	Mk|Eryth	Mk|Mk	Mk|NK	Mk|T activated	Mk|pDC	NK|B	NK|B Activated	NK|CD14 Mono	NK|CD16 Mono	NK|CD4 Memory T	NK|CD4 Naive T	NK|CD8 T	NK|DC	NK|Eryth	NK|Mk	NK|NK	NK|T activated	NK|pDC	T activated|B	T activated|B Activated	T activated|CD14 Mono	T activated|CD16 Mono	T activated|CD4 Memory T	T activated|CD4 Naive T	T activated|CD8 T	T activated|DC	T activated|Eryth	T activated|Mk	T activated|NK	T activated|T activated	T activated|pDC	pDC|B	pDC|B Activated	pDC|CD14 Mono	pDC|CD16 Mono	pDC|CD4 Memory T	pDC|CD4 Naive T	pDC|CD8 T	pDC|DC	pDC|Eryth	pDC|Mk	pDC|NK	pDC|T activated	pDC|pDC
CPI-SS03A0C857B	FAS_FASLG	simple:P25445	simple:P48023	FAS	FASLG	True	True	False	curated	False	0.024																																																																																																		0.262				0.47																																																													0.246				0.454		
CPI-CS0406B0B69	Cholesterol_byLIPA_RORA	complex:Cholesterol_byLIPA	simple:P35398		RORA	True	False	True	curated	False	0.024																																																																																																																																																																	0.265		0.285				0.203	0.288	
CPI-SS08B91FD2A	CCR1_CCL7	simple:P32246	simple:P80098	CCR1	CCL7	True	True	False	curated	False	0.03																													1.039						0.649							0.781																																																				0.836													0.76																																																														
CPI-SS0F8C2FA91	CCR1_CCL8	simple:P32246	simple:P80075	CCR1	CCL8	True	True	False	curated	False	0.03																													1.52	0.639												1.263																																																				1.317													1.241																																																														
CPI-SS02ACCF1F7	MIF_TNFRSF14	simple:P14174	simple:Q92956	MIF	TNFRSF14	True	False	True	I2D,IntAct	False	0.03																0.338	0.41					0.373	0.338																																																																																					0.246																																																													
CPI-SS0C93E48D7	THBS1_CD36	simple:P07996	simple:P16671	THBS1	CD36	False	False	True	curated	False	0.036																													0.44					0.56					0.418																																																							0.304					0.425					0.282																																																																	
CPI-SS087321EB5	SELL_SELPLG	simple:P14151	simple:Q14242	SELL	SELPLG	False	False	True	curated	False	0.036													0.591																																																				0.609													1.272																																																				0.8																										0.968													0.717
CPI-SS0302E8E8F	CD74_COPA	simple:P04233	simple:P53621	CD74	COPA	True	True	False	IMEx,IntAct	False	0.036													2.302													2.097													1.522													1.62																																																				2.496																																																																	2.202
CPI-SS08991B378	CD6_ALCAM	simple:P30203	simple:Q13740	CD6	ALCAM	True	False	False	curated	False	0.036																																																												0.477													0.46													0.468																										0.412													0.359																										0.455																		
CPI-SS030BB46BB	ANXA1_FPR2	simple:P04083	simple:P25090	ANXA1	FPR2	True	False	True	curated	False	0.036																														1.591													1.419													1.496																										1.482													1.606																																							1.237																																			
CPI-SS0C090A257	CCL3_CCR5	simple:P10147	simple:P51681	CCL3	CCR5	True	False	True	curated	False	0.041																0.711					0.645								0.89					0.824								0.872					0.806																																																																																						0.455																																				
CPI-SC09484F060	PTGER4_ProstaglandinE2_byPTGES2	simple:P35408	complex:ProstaglandinE2_byPTGES2	PTGER4		True	True	False	curated	False	0.047															0.232																										0.244													0.321																										0.323													0.295																										0.218													0.366													0.324																								
CPI-SS09C4FCB90	ICAM1_SPN	simple:P05362	simple:P16150	ICAM1	SPN	False	True	False	curated	False	0.047																														0.227									0.292				0.238									0.303																																											0.221									0.286																																																								0.27									0.335
CPI-SS02A0FF87F	FAM3C_CLEC2D	simple:Q92520	simple:Q9UHP7	FAM3C	CLEC2D	True	False	True	IMEx,InnateDB-All,IntAct	False	0.047														0.608	0.729			0.628	0.568	0.621	0.43		0.484		0.559																																																																																																																																																
CPI-SS067BA9202	LAIR1_LILRB4	simple:Q6GTX8	simple:Q8NHJ6	LAIR1	LILRB4	False	True	True	curated	False	0.047																													0.639	0.367				0.485					0.62			0.709	0.438				0.555					0.69																																																																																																																					
CPI-SS098EFF959	CCR7_CCL19	simple:P32248	simple:Q99731	CCR7	CCL19	True	True	False	curated	False	0.047													1.463													1.557																																							0.978													1.673																										1.237																										1.128																										1.336													0.739
CPI-SS0B01D306C	CCL5_CCR5	simple:P13501	simple:P51681	CCL5	CCR5	True	False	True	curated	False	0.047																																																							0.391																										1.71					1.644								0.438																										1.058					0.992								1.64					1.574																															
CPI-SS034D36D2F	HLA-C_FAM3C	simple:HLAC	simple:Q92520	HLA-C	FAM3C	True	True	False	InnateDB-All	False	0.053		1.93																										1.768													2.029													1.929													1.804													2.128													1.785																										1.864													2.165																																					
CPI-SS025C8F785	CLEC2B_KLRF1	simple:Q92478	simple:Q9NZS2	CLEC2B	KLRF1	False	True	True	curated	False	0.053																																					0.33													0.699													0.347													0.405													0.504																																							0.424													0.776													0.566													0.399		
CPI-SS0D1D95883	CCL4_CCR5	simple:P13236	simple:P51681	CCL4	CCR5	True	False	True	curated	False	0.059																0.648					0.582								0.746					0.68								0.754					0.688																																		0.463					0.397																																															0.693					0.628																															
CPI-SS0A4F27388	TNFRSF1A_FASLG	simple:P19438	simple:P48023	TNFRSF1A	FASLG	True	True	False	I2D,InnateDB-All	False	0.059																																	0.385				0.593									0.368				0.576																																																0.356				0.565									0.23				0.439																																																0.274				0.482		
CPI-SS0E292C126	KLRB1_CLEC2D	simple:Q12918	simple:Q9UHP7	KLRB1	CLEC2D	False	True	True	curated	False	0.065																																																																																																																																			0.724	0.845			0.743	0.683	0.737	0.545	0.454	0.6	0.43	0.674	0.404																										
CPI-SS055E061C9	LAMP1_FAM3C	simple:P11279	simple:Q92520	LAMP1	FAM3C	True	True	False	InnateDB-All	False	0.065		0.273													0.328																										0.252													0.263													0.289													0.256																										0.254													0.259													0.317													0.321													0.284											
CPI-CS0DBD5CD16	CD8_receptor_LCK	complex:CD8_receptor	simple:P06239		LCK	False	True	False	curated	False	0.065																																																																																			0.843	0.889	0.837		0.538	0.731	0.612	0.598																																0.502	0.548	0.496			0.39																																										
CPI-SS09808DEAE	CD74_APP	simple:P04233	simple:P05067	CD74	APP	False	True	False	curated	False	0.071		2.308											2.499		2.103											2.294		1.528											1.719		1.626											1.817																																									2.502											2.693																																																						2.208											2.399
CPI-SS0ABC5C1B8	CD74_MIF	simple:P04233	simple:P14174	CD74	MIF	True	True	False	I2D,InnateDB-All	False	0.071		2.458							2.294						2.253							2.089						1.678							1.514						1.776							1.612																																													2.652							2.488																																																										2.358							2.194				
CPI-SS095DCA7F7	LILRA4_BST2	simple:P59901	simple:Q10589	LILRA4	BST2	False	True	False	curated	False	0.071																																																																																																																																																													1.085	0.917	1.248	1.366	0.732	0.756	0.887	1.273	0.841	0.86	1.187		1.645
CPI-SS0A84B95C5	NR3C1_CCL2	simple:P04150	simple:P13500	NR3C1	CCL2	True	True	False	InnateDB	False	0.071			1.995													1.874																										1.791													2.07													1.843													1.991													1.791													1.861													1.846													1.955													2.007													1.926										
CPI-SS0339AE950	SIRPA_CD47	simple:P78324	simple:Q08722	SIRPA	CD47	False	True	True	curated	False	0.071																											0.643	0.687	0.659	0.823				0.689					0.946																																																					0.61	0.654	0.626	0.79				0.656					0.914																																																																	
CPI-SS03EF699C7	HLA-E_KLRC1	simple:P13747	simple:P26715	HLA-E	KLRC1	False	False	True	curated	False	0.077											1.689													1.753													1.703													1.979													1.609													1.623													1.652													1.487													1.444													1.642													1.751													1.599													1.541		
CPI-CS0715DE78D	CD94:NKG2A_HLA-E	complex:CD94:NKG2A	simple:P13747		HLA-E	False	True	False	curated	False	0.077																																																																																																																																			1.689	1.753	1.703	1.979	1.609	1.623	1.652	1.487	1.444	1.642	1.751	1.599	1.541																										
CPI-SS002DF6C31	LGALS9_SLC1A5	simple:O00182	simple:Q15758	LGALS9	SLC1A5	True	False	True	I2D,InnateDB-All	False	0.083		0.324											0.262															0.458											0.396		0.52											0.458																																									0.537											0.475		0.31													0.265													0.32											0.258															0.472											0.41
CPI-SS080683E15	CXCL10_CXCR3	simple:P02778	simple:P49682	CXCL10	CXCR3	True	False	True	curated	False	0.089							1.079				1.078									0.968				0.967									1.642				1.641		1.389							1.848				1.847		1.595																																														1.454				1.453		1.201																																																											1.071				1.07		
CPI-SS06CCF5A54	ANXA1_FPR3	simple:P04083	simple:P25089	ANXA1	FPR3	True	False	True	curated	False	0.089																													1.755					1.792								1.583					1.62								1.66					1.697																					1.646					1.683								1.77					1.807																					1.355					1.393								1.401					1.438													1.333																		
CPI-SS09FAC4977	CXCL11_CXCR3	simple:O14625	simple:P49682	CXCL11	CXCR3	True	False	True	curated	False	0.089																				0.53				0.529									1.173				1.172		0.919							1.073				1.072		0.82																																														1.123				1.122		0.87							0.606				0.605																																																0.575				0.574		
CPI-SS0A021DB6E	CCL5_CCR1	simple:P13501	simple:P32246	CCL5	CCR1	True	False	True	curated	False	0.095																0.522																																							0.566																										1.885	1.627				1.682	1.606							0.613													0.594													1.233	0.975				1.03	0.954							1.815	1.558				1.612	1.536																														
CPI-SS0C4E86714	TNFRSF1B_GRN	simple:P20333	simple:P28799	TNFRSF1B	GRN	True	True	False	IMEx,InnateDB-All,MINT	False	0.095																													0.864	0.607				0.787					0.82			0.883	0.625				0.805					0.838																																										0.805	0.547				0.728					0.76																																																							0.88	0.623				0.803					0.836
CPI-SS020734335	NR3C1_CCL7	simple:P04150	simple:P80098	NR3C1	CCL7	True	True	False	InnateDB	False	0.095			0.965						0.575							0.844																										0.761													1.04						0.65							0.813													0.961						0.571							0.761													0.831													0.816													0.925													0.977						0.587							0.896										
CPI-SS08DA48A5A	CCL3_CCR1	simple:P10147	simple:P32246	CCL3	CCR1	True	False	True	curated	False	0.095																0.887	0.629				0.683	0.608							1.065	0.807				0.862	0.786							1.048	0.79				0.844	0.768																																														0.537													0.691													0.55													0.63																																				
CPI-SS0F739D3DB	ANXA1_FPR1	simple:P04083	simple:P21462	ANXA1	FPR1	True	False	True	guidetopharmacology.org	False	0.101																													1.696	1.68				1.58								1.523	1.508				1.407								1.6	1.585				1.484																					1.586	1.571				1.47								1.71	1.695				1.594																																		1.342	1.326																																			
CPI-SS0DA033F03	TNFRSF1A_GRN	simple:P19438	simple:P28799	TNFRSF1A	GRN	True	True	False	IMEx,InnateDB-All,MINT	False	0.118																													0.914	0.657				0.837					0.87			0.897	0.64				0.82					0.853																																										0.886	0.628				0.809					0.841			0.76	0.502				0.682					0.715																																										0.803	0.546				0.726					0.759
CPI-SS09A3FA737	NAMPT_P2RY6	simple:P43490	simple:Q15077	NAMPT	P2RY6	True	False	True	IMEx,IntAct	False	0.124																0.323					0.432					0.881			0.387					0.496					0.944			0.561					0.67					1.119																																										0.446					0.555					1.003								0.334					0.783								0.341					0.789																0.274					0.383					0.832								0.346					0.795
CPI-SC0AC1EFC2A	PTGER2_ProstaglandinE2_byPTGES3	simple:P43116	complex:ProstaglandinE2_byPTGES3	PTGER2		True	True	False	curated	False	0.142																											0.623	0.849	0.577	0.603	0.558	0.588	0.572	0.704	0.564	0.581	0.529	0.903	0.661	0.473	0.699						0.555				0.754	0.511																																								0.485	0.711		0.465				0.566				0.765	0.522																																																																	
CPI-SS01946BE5C	C5AR1_RPS19	simple:P21730	simple:P39019	C5AR1	RPS19	False	True	False	guidetopharmacology.org	False	0.142																											2.583	2.499		2.316	2.567	2.616	2.539			2.371	2.291	2.146	2.243	2.463	2.378		2.196	2.446	2.495	2.418			2.25	2.17		2.122																																																					2.323	2.238			2.307	2.355	2.278																																																										
CPI-SS072F1842C	NR3C1_FASLG	simple:P04150	simple:P48023	NR3C1	FASLG	True	True	False	InnateDB-All	False	0.142							0.494				0.702									0.373				0.581																						0.289				0.498									0.569				0.777									0.341				0.55									0.49				0.698									0.29				0.498									0.36				0.568									0.345				0.553									0.454				0.662									0.506				0.714									0.424				0.633		
CPI-SS0F00D756A	CD40_TNFSF13B	simple:P25942	simple:Q9Y275	CD40	TNFSF13B	True	True	False	I2D,InnateDB	False	0.142			0.94	1.156				1.086					0.84			1.013	1.229				1.159					0.912			0.871	1.087				1.016					0.77			0.946	1.162				1.092					0.845																																										0.834	1.05				0.98					0.733																																																							0.743	0.959				0.889					0.642
CPI-SS00150FB64	HLA-F_LILRB1	simple:P30511	simple:Q8NHL6	HLA-F	LILRB1	True	False	True	curated	False	0.178			0.504	0.622				0.442								0.479	0.596				0.416								0.393	0.51												0.476	0.594				0.414								0.38	0.497												0.374	0.491												0.435	0.552												0.497	0.615				0.435									0.466												0.417	0.534												0.602	0.719				0.54									0.456												0.538	0.655				0.475					
CPI-SS0E23CEB91	LGALS9_HAVCR2	simple:O00182	simple:Q8TDQ0	LGALS9	HAVCR2	True	False	True	curated	False	0.178			0.411	0.607				0.454			0.486																		0.545	0.741				0.589			0.62					0.607	0.802				0.65			0.681																																												0.624	0.82				0.668			0.699						0.593				0.441			0.472						0.548				0.395			0.427					0.407	0.603				0.45			0.482																		0.559	0.755				0.603			0.634		
CPI-SS0A76A8E97	HLA-F_LILRB2	simple:P30511	simple:Q8N423	HLA-F	LILRB2	False	False	True	curated	False	0.231			0.656	0.88				0.595	0.491							0.631	0.855				0.569								0.545	0.769				0.484								0.628	0.852				0.567								0.532	0.756				0.47								0.526	0.75				0.464								0.587	0.811				0.525								0.649	0.873				0.588									0.724												0.569	0.793				0.507								0.754	0.978				0.692	0.588							0.491	0.715												0.69	0.913				0.628	0.524				
CPI-SS014C07723	TYROBP_CD44	simple:O43914	simple:P16070	TYROBP	CD44	False	False	True	curated	False	0.249																											2.103	2.264	2.373	2.358	2.466	2.309	2.417	2.328	2.087	2.364	2.429	2.29	2.03	2.126	2.287	2.396	2.382	2.49	2.332	2.441	2.351	2.111	2.387	2.452	2.314	2.053																																								1.798	1.959	2.068	2.053	2.161	2.004	2.112	2.023	1.782	2.059	2.124	1.985	1.725																															1.504		1.455				1.467																												
CPI-SS0CE693E3E	LGALS9_P4HB	simple:O00182	simple:P07237	LGALS9	P4HB	True	False	False	curated	False	0.26											0.387		0.416															0.45	0.42	0.388	0.428	0.421	0.462	0.458		0.426	0.521		0.55		0.511	0.482	0.449	0.489	0.483	0.524	0.52		0.487	0.583		0.612																																									0.529	0.499	0.467	0.507	0.5	0.542	0.537		0.505	0.6		0.63																																					0.383		0.412															0.464	0.434	0.402	0.442	0.435	0.476	0.472		0.44	0.535		0.564
CPI-SS0703338F5	LGALS9_CD44	simple:O00182	simple:P16070	LGALS9	CD44	True	False	True	InnateDB	False	0.26					0.82		0.771				0.783																		0.861	0.846	0.955	0.797	0.905	0.816		0.852	0.917	0.778			0.813	0.923	0.908	1.016	0.858	0.967	0.877		0.913	0.978	0.84																																										0.831	0.94	0.925	1.034	0.876	0.985	0.895		0.931	0.996	0.857																																0.816		0.767				0.779																		0.875	0.86	0.969	0.811	0.919	0.83		0.866	0.931	0.792	
CPI-SS014958F32	LGALS9_CD47	simple:O00182	simple:Q08722	LGALS9	CD47	True	False	True	InnateDB-All	False	0.284	0.686	0.73	0.702	0.866				0.732					0.99														0.82	0.864	0.836	1.0				0.866					1.124	0.882	0.926	0.897	1.062	0.662		0.706	0.928		0.707			1.185																																								0.899	0.943	0.915	1.08	0.679	0.665	0.724	0.945		0.725	0.686		1.203				0.853									0.976				0.807									0.93	0.682	0.726	0.698	0.862				0.728					0.985														0.834	0.878	0.85	1.014				0.88					1.138
CPI-SS00B1BEE64	CD2_CD58	simple:P06729	simple:P19256	CD2	CD58	False	True	False	curated	False	0.331																																																					0.815	1.127	0.911	0.955	0.827		0.878	1.125			0.892		0.768	0.569	0.881	0.665	0.709	0.581		0.632	0.878			0.645		0.522	0.905	1.217	1.001	1.045	0.917		0.969	1.215			0.982		0.858		0.508						0.505							0.654						0.652						0.529	0.841	0.625	0.669	0.541		0.593	0.839			0.606			0.57	0.882	0.666	0.71	0.582		0.634	0.88			0.647		0.523	0.53	0.842	0.626	0.67	0.541		0.593	0.839			0.606															
CPI-SS05D23BCE8	HLA-DPB1_TNFSF13B	simple:HLADPB1	simple:Q9Y275	HLA-DPB1	TNFSF13B	True	True	False	InnateDB-All	False	0.373	1.432		1.913	2.13	1.395	1.366		2.059	1.519	1.45			1.813	1.254		1.736	1.952	1.218	1.189		1.882	1.342	1.273			1.636	1.033		1.515	1.731	0.997			1.661	1.12	1.051			1.414	1.11		1.592	1.808	1.074	1.045		1.738	1.198	1.129			1.492				1.014																									1.071	1.287				1.217						2.165		2.647	2.863	2.129	2.1		2.793	2.253	2.184			2.547				1.265				1.194									1.171				1.101									1.11				1.039																			1.268		1.749	1.966	1.231	1.202		1.895	1.355	1.286			1.649
CPI-SC063B0B7DD	PTGER4_ProstaglandinE2_byPTGES3	simple:P35408	complex:ProstaglandinE2_byPTGES3	PTGER4		True	True	False	curated	False	0.402															0.666						0.522				0.721															0.452	0.678						0.534				0.732	0.49	0.529	0.755	0.483	0.509	0.464	0.494	0.478	0.611		0.487		0.809	0.567														0.531	0.757	0.485	0.511	0.466	0.496	0.48	0.612		0.489		0.811	0.569	0.503	0.729	0.457	0.483		0.468	0.452	0.585				0.783	0.541		0.621										0.675			0.652						0.508				0.707		0.573	0.8	0.527	0.553	0.509	0.539	0.523	0.655	0.514	0.532	0.48	0.854	0.611	0.532	0.758	0.486	0.512	0.468	0.498	0.481	0.614		0.49		0.813	0.57													
