gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B	B Activated	CD14 Mono	CD16 Mono	CD4 Memory T	CD4 Naive T	CD8 T	DC	Eryth	Mk	NK	T activated	pDC
KLRC1	P26715	True	NKG2A_HUMAN	CD94:NKG2A	CPI-CS0715DE78D	0.007	0.0	0.005	0.001	0.006	0.002	0.096	0.0	0.0	0.0	0.955	0.006	0.0
KLRC2	P26717	True	NKG2C_HUMAN	CD94:NKG2C	CPI-CS05AB368CE	0.0	0.0	0.0	0.0	0.001	0.0	0.045	0.003	0.0	0.0	0.15	0.0	0.0
AMN	Q9BXJ7	True	AMNLS_HUMAN	CUBN_AMN_complex	CPI-CS037E41952	0.002	0.0	0.0	0.0	0.001	0.005	0.0	0.0	0.0	0.0	0.0	0.003	0.0
CUBN	O60494	True	CUBN_HUMAN	CUBN_AMN_complex	CPI-CS037E41952	0.002	0.0	0.0	0.0	0.001	0.005	0.0	0.0	0.0	0.0	0.0	0.003	0.0
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS06C6527F4	0.008	0.043	0.001	0.0	0.024	0.022	0.021	0.003	0.0	0.036	0.016	0.043	0.064
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS086D3E39F	0.008	0.043	0.001	0.0	0.024	0.022	0.021	0.003	0.0	0.036	0.016	0.043	0.064
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS0DC57DE37	0.008	0.043	0.001	0.0	0.024	0.022	0.021	0.003	0.0	0.036	0.016	0.043	0.064
LIPA	P38571	True	LICH_HUMAN	Cholesterol_byLIPA	CPI-CS0406B0B69	0.107	0.105	0.029	0.09	0.094	0.136	0.144	0.035	0.07	0.079	0.127	0.058	0.169
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0412B081A	0.0	0.003	0.028	0.015	0.003	0.008	0.006	0.01	0.0	0.013	0.004	0.004	0.023
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0D89E7C19	0.0	0.003	0.028	0.015	0.003	0.008	0.006	0.01	0.0	0.013	0.004	0.004	0.023
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS099F73A95	0.0	0.003	0.028	0.015	0.003	0.008	0.006	0.01	0.0	0.013	0.004	0.004	0.023
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS0259A0EB4	0.0	0.009	0.01	0.007	0.001	0.007	0.003	0.006	0.026	0.0	0.004	0.0	0.011
CYP19A1	P11511	True	CP19A_HUMAN	Estradiol_byCYP19A1	CPI-CS0B87D36A1	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0
HSD17B1	P14061	True	DHB1_HUMAN	Estradiol_byHSD17B1	CPI-CS0A04F7238	0.001	0.0	0.0	0.003	0.0	0.002	0.006	0.0	0.0	0.0	0.004	0.004	0.0
LRP5	O75197	True	LRP5_HUMAN	FZD1_LRP5	CPI-CS0CD56A2CC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.012
LRP5	O75197	True	LRP5_HUMAN	FZD1_LRP5	CPI-CS07135653F	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.012
LRP5	O75197	True	LRP5_HUMAN	FZD1_LRP5	CPI-CS0711601F5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.012
LRP5	O75197	True	LRP5_HUMAN	FZD2_LRP5	CPI-CS00529A443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0
LRP5	O75197	True	LRP5_HUMAN	FZD2_LRP5	CPI-CS0B5273C72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0
LRP5	O75197	True	LRP5_HUMAN	FZD2_LRP5	CPI-CS0E68F5752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0
LRP5	O75197	True	LRP5_HUMAN	FZD3_LRP5	CPI-CS03025232D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.012
LRP5	O75197	True	LRP5_HUMAN	FZD3_LRP5	CPI-CS0A94347F7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.012
LRP5	O75197	True	LRP5_HUMAN	FZD3_LRP5	CPI-CS0B52EC069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.012
LRP5	O75197	True	LRP5_HUMAN	FZD5_LRP5	CPI-CS05FB0A7F1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0
LRP5	O75197	True	LRP5_HUMAN	FZD5_LRP5	CPI-CS035E6950E	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0
LRP5	O75197	True	LRP5_HUMAN	FZD5_LRP5	CPI-CS07AD29D6C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0
LRP5	O75197	True	LRP5_HUMAN	FZD5_LRP5	CPI-CS08BD41C01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0
LRP5	O75197	True	LRP5_HUMAN	FZD6_LRP5	CPI-CS008DA70F3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0
LRP5	O75197	True	LRP5_HUMAN	FZD6_LRP5	CPI-CS0C4B40F75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0
LRP5	O75197	True	LRP5_HUMAN	FZD6_LRP5	CPI-CS0FB43E17E	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP5	CPI-CS0CD56A2CC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.012
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP5	CPI-CS07135653F	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.012
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP5	CPI-CS0711601F5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.012
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP6	CPI-CS07B775F8D	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP6	CPI-CS0CF3656D2	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP6	CPI-CS0009D06D0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0
LRP6	O75581	True	LRP6_HUMAN	FZD1_LRP6	CPI-CS07B775F8D	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0
LRP6	O75581	True	LRP6_HUMAN	FZD1_LRP6	CPI-CS0CF3656D2	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0
LRP6	O75581	True	LRP6_HUMAN	FZD1_LRP6	CPI-CS0009D06D0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0
LRP6	O75581	True	LRP6_HUMAN	FZD2_LRP6	CPI-CS09FB07CB1	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0
LRP6	O75581	True	LRP6_HUMAN	FZD2_LRP6	CPI-CS0DB31673B	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0
LRP6	O75581	True	LRP6_HUMAN	FZD2_LRP6	CPI-CS0F53060BB	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0
LRP6	O75581	True	LRP6_HUMAN	FZD3_LRP6	CPI-CS0F06108D6	0.0	0.0	0.001	0.0	0.0	0.004	0.002	0.003	0.0	0.0	0.0	0.0	0.0
LRP6	O75581	True	LRP6_HUMAN	FZD3_LRP6	CPI-CS02B24ACED	0.0	0.0	0.001	0.0	0.0	0.004	0.002	0.003	0.0	0.0	0.0	0.0	0.0
LRP6	O75581	True	LRP6_HUMAN	FZD3_LRP6	CPI-CS096856900	0.0	0.0	0.001	0.0	0.0	0.004	0.002	0.003	0.0	0.0	0.0	0.0	0.0
LRP6	O75581	True	LRP6_HUMAN	FZD5_LRP6	CPI-CS00DEA8C12	0.0	0.0	0.001	0.0	0.0	0.002	0.0	0.004	0.0	0.0	0.0	0.0	0.0
LRP6	O75581	True	LRP6_HUMAN	FZD5_LRP6	CPI-CS06703B08B	0.0	0.0	0.001	0.0	0.0	0.002	0.0	0.004	0.0	0.0	0.0	0.0	0.0
LRP6	O75581	True	LRP6_HUMAN	FZD5_LRP6	CPI-CS05C76711D	0.0	0.0	0.001	0.0	0.0	0.002	0.0	0.004	0.0	0.0	0.0	0.0	0.0
LRP6	O75581	True	LRP6_HUMAN	FZD5_LRP6	CPI-CS0CCD8150B	0.0	0.0	0.001	0.0	0.0	0.002	0.0	0.004	0.0	0.0	0.0	0.0	0.0
LRP6	O75581	True	LRP6_HUMAN	FZD6_LRP6	CPI-CS01521EE2B	0.0	0.0	0.001	0.0	0.0	0.0	0.002	0.003	0.0	0.0	0.0	0.0	0.0
LRP6	O75581	True	LRP6_HUMAN	FZD6_LRP6	CPI-CS06F5B58EC	0.0	0.0	0.001	0.0	0.0	0.0	0.002	0.003	0.0	0.0	0.0	0.0	0.0
LRP6	O75581	True	LRP6_HUMAN	FZD6_LRP6	CPI-CS09F32EE7D	0.0	0.0	0.001	0.0	0.0	0.0	0.002	0.003	0.0	0.0	0.0	0.0	0.0
FZD2	Q14332	True	FZD2_HUMAN	FZD2_LRP5	CPI-CS00529A443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0
FZD2	Q14332	True	FZD2_HUMAN	FZD2_LRP5	CPI-CS0B5273C72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0
FZD2	Q14332	True	FZD2_HUMAN	FZD2_LRP5	CPI-CS0E68F5752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0
FZD2	Q14332	True	FZD2_HUMAN	FZD2_LRP6	CPI-CS09FB07CB1	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0
FZD2	Q14332	True	FZD2_HUMAN	FZD2_LRP6	CPI-CS0DB31673B	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0
FZD2	Q14332	True	FZD2_HUMAN	FZD2_LRP6	CPI-CS0F53060BB	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0
FZD3	Q9NPG1	True	FZD3_HUMAN	FZD3_LRP5	CPI-CS03025232D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.012
FZD3	Q9NPG1	True	FZD3_HUMAN	FZD3_LRP5	CPI-CS0A94347F7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.012
FZD3	Q9NPG1	True	FZD3_HUMAN	FZD3_LRP5	CPI-CS0B52EC069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.012
FZD3	Q9NPG1	True	FZD3_HUMAN	FZD3_LRP6	CPI-CS0F06108D6	0.0	0.0	0.001	0.0	0.0	0.004	0.002	0.003	0.0	0.0	0.0	0.0	0.0
FZD3	Q9NPG1	True	FZD3_HUMAN	FZD3_LRP6	CPI-CS02B24ACED	0.0	0.0	0.001	0.0	0.0	0.004	0.002	0.003	0.0	0.0	0.0	0.0	0.0
FZD3	Q9NPG1	True	FZD3_HUMAN	FZD3_LRP6	CPI-CS096856900	0.0	0.0	0.001	0.0	0.0	0.004	0.002	0.003	0.0	0.0	0.0	0.0	0.0
FZD5	Q13467	True	FZD5_HUMAN	FZD5_LRP5	CPI-CS05FB0A7F1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0
FZD5	Q13467	True	FZD5_HUMAN	FZD5_LRP5	CPI-CS035E6950E	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0
FZD5	Q13467	True	FZD5_HUMAN	FZD5_LRP5	CPI-CS07AD29D6C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0
FZD5	Q13467	True	FZD5_HUMAN	FZD5_LRP5	CPI-CS08BD41C01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0
FZD5	Q13467	True	FZD5_HUMAN	FZD5_LRP6	CPI-CS00DEA8C12	0.0	0.0	0.001	0.0	0.0	0.002	0.0	0.004	0.0	0.0	0.0	0.0	0.0
FZD5	Q13467	True	FZD5_HUMAN	FZD5_LRP6	CPI-CS06703B08B	0.0	0.0	0.001	0.0	0.0	0.002	0.0	0.004	0.0	0.0	0.0	0.0	0.0
FZD5	Q13467	True	FZD5_HUMAN	FZD5_LRP6	CPI-CS05C76711D	0.0	0.0	0.001	0.0	0.0	0.002	0.0	0.004	0.0	0.0	0.0	0.0	0.0
FZD5	Q13467	True	FZD5_HUMAN	FZD5_LRP6	CPI-CS0CCD8150B	0.0	0.0	0.001	0.0	0.0	0.002	0.0	0.004	0.0	0.0	0.0	0.0	0.0
FZD6	O60353	True	FZD6_HUMAN	FZD6_LRP5	CPI-CS008DA70F3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0
FZD6	O60353	True	FZD6_HUMAN	FZD6_LRP5	CPI-CS0C4B40F75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0
FZD6	O60353	True	FZD6_HUMAN	FZD6_LRP5	CPI-CS0FB43E17E	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0
FZD6	O60353	True	FZD6_HUMAN	FZD6_LRP6	CPI-CS01521EE2B	0.0	0.0	0.001	0.0	0.0	0.0	0.002	0.003	0.0	0.0	0.0	0.0	0.0
FZD6	O60353	True	FZD6_HUMAN	FZD6_LRP6	CPI-CS06F5B58EC	0.0	0.0	0.001	0.0	0.0	0.0	0.002	0.003	0.0	0.0	0.0	0.0	0.0
FZD6	O60353	True	FZD6_HUMAN	FZD6_LRP6	CPI-CS09F32EE7D	0.0	0.0	0.001	0.0	0.0	0.0	0.002	0.003	0.0	0.0	0.0	0.0	0.0
CSF2RB	P32927	True	IL3RB_HUMAN	GMCSFR	CPI-CS0210859AB	0.0	0.0	0.027	0.018	0.0	0.001	0.0	0.043	0.017	0.005	0.0	0.0	0.021
CSF2RA	P15509	True	CSF2R_HUMAN	GMCSFR	CPI-CS0210859AB	0.0	0.0	0.027	0.018	0.0	0.001	0.0	0.043	0.017	0.005	0.0	0.0	0.021
IL10RA	Q13651	True	I10R1_HUMAN	IL10_receptor	CPI-CS090610CD1	0.09	0.05	0.346	0.405	0.097	0.077	0.086	0.362	0.124	0.154	0.073	0.045	0.155
IL10RB	Q08334	True	I10R2_HUMAN	IL10_receptor	CPI-CS090610CD1	0.09	0.05	0.346	0.405	0.097	0.077	0.086	0.362	0.124	0.154	0.073	0.045	0.155
IL15RA	Q13261	True	I15RA_HUMAN	IL15_receptor	CPI-CS068959EAB	0.0	0.006	0.009	0.002	0.029	0.023	0.05	0.008	0.0	0.03	0.116	0.057	0.0
IL2RB	P14784	True	IL2RB_HUMAN	IL15_receptor	CPI-CS068959EAB	0.0	0.006	0.009	0.002	0.029	0.023	0.05	0.008	0.0	0.03	0.116	0.057	0.0
IL18R1	Q13478	True	IL18R_HUMAN	IL18_receptor	CPI-CS09E0127D2	0.002	0.005	0.001	0.0	0.013	0.004	0.05	0.0	0.0	0.0	0.057	0.01	0.025
IL18RAP	O95256	True	I18RA_HUMAN	IL18_receptor	CPI-CS09E0127D2	0.002	0.005	0.001	0.0	0.013	0.004	0.05	0.0	0.0	0.0	0.057	0.01	0.025
IL1R1	P14778	True	IL1R1_HUMAN	IL1_receptor	CPI-CS0465E25F9	0.002	0.0	0.01	0.001	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0
IL1R1	P14778	True	IL1R1_HUMAN	IL1_receptor	CPI-CS093EA33BE	0.002	0.0	0.01	0.001	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0
IL1R1	P14778	True	IL1R1_HUMAN	IL1_receptor	CPI-CS01C6805BA	0.002	0.0	0.01	0.001	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0
IL1RAP	Q9NPH3	True	IL1AP_HUMAN	IL1_receptor	CPI-CS0465E25F9	0.002	0.0	0.01	0.001	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0
IL1RAP	Q9NPH3	True	IL1AP_HUMAN	IL1_receptor	CPI-CS093EA33BE	0.002	0.0	0.01	0.001	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0
IL1RAP	Q9NPH3	True	IL1AP_HUMAN	IL1_receptor	CPI-CS01C6805BA	0.002	0.0	0.01	0.001	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0
IL1RAP	Q9NPH3	True	IL1AP_HUMAN	IL1_receptor_inhibitor	CPI-CS05F37AC7A	0.0	0.0	0.01	0.003	0.003	0.002	0.005	0.011	0.0	0.0	0.0	0.004	0.0
IL1RAP	Q9NPH3	True	IL1AP_HUMAN	IL1_receptor_inhibitor	CPI-CS09CDFC0C5	0.0	0.0	0.01	0.003	0.003	0.002	0.005	0.011	0.0	0.0	0.0	0.004	0.0
IL1RAP	Q9NPH3	True	IL1AP_HUMAN	IL1_receptor_inhibitor	CPI-CS0A13FF479	0.0	0.0	0.01	0.003	0.003	0.002	0.005	0.011	0.0	0.0	0.0	0.004	0.0
IL1R2	P27930	True	IL1R2_HUMAN	IL1_receptor_inhibitor	CPI-CS05F37AC7A	0.0	0.0	0.01	0.003	0.003	0.002	0.005	0.011	0.0	0.0	0.0	0.004	0.0
IL1R2	P27930	True	IL1R2_HUMAN	IL1_receptor_inhibitor	CPI-CS09CDFC0C5	0.0	0.0	0.01	0.003	0.003	0.002	0.005	0.011	0.0	0.0	0.0	0.004	0.0
IL1R2	P27930	True	IL1R2_HUMAN	IL1_receptor_inhibitor	CPI-CS0A13FF479	0.0	0.0	0.01	0.003	0.003	0.002	0.005	0.011	0.0	0.0	0.0	0.004	0.0
EBI3	Q14213	True	IL27B_HUMAN	IL27	CPI-CC0B5110FC9	0.004	0.008	0.01	0.094	0.0	0.0	0.0	0.144	0.025	0.01	0.0	0.007	0.0
EBI3	Q14213	True	IL27B_HUMAN	IL35	CPI-CC0D8A77C69	0.007	0.026	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009
IL27	Q8NEV9	True	IL27A_HUMAN	IL27	CPI-CC0B5110FC9	0.004	0.008	0.01	0.094	0.0	0.0	0.0	0.144	0.025	0.01	0.0	0.007	0.0
IL12A	P29459	True	IL12A_HUMAN	IL35	CPI-CC0D8A77C69	0.007	0.026	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009
IL6R	P08887	True	IL6RA_HUMAN	IL6_receptor	CPI-CS023BD53E7	0.007	0.012	0.043	0.025	0.018	0.043	0.002	0.063	0.016	0.064	0.0	0.025	0.042
IL6ST	P40189	True	IL6RB_HUMAN	IL6_receptor	CPI-CS023BD53E7	0.007	0.012	0.043	0.025	0.018	0.043	0.002	0.063	0.016	0.064	0.0	0.025	0.042
IL7R	P16871	True	IL7RA_HUMAN	IL7_receptor	CPI-CS08B606C20	0.09	0.075	0.185	0.088	1.115	1.015	0.818	1.011	0.457	0.772	0.18	1.21	0.198
