target	r	p	drug
AKT1	-0.372415027901286	0.000261324459659993	4,5,6,7-tetrabromobenzotriazole | A-674563 | adenosine-triphosphate | API-1 | arsenic-trioxide | AT13148 | AZD5363 | bisindolylmaleimide-ix | BMS-536924 | BMS-754807 | CaMKII-IN-1 | canertinib | enzastaurin | GDC-0068 | GSK2110183 | GSK690693 | hexamethylenebisacetamide | KN-62 | LY294002 | MK-2206 | PD-98059 | perifosine | SB-202190 | SB-203580 | SB-747651A | TIC10 | triciribine | U-0126 | uprosertib
CSNK2A1	0.232311778222076	0.0252487779013026	4,5,6,7-tetrabromobenzotriazole | CX-4945 | ellagic-acid | emodin | resveratrol | TTP-22
MAP2K1	0.0324520306764943	0.757071822854503	4,5,6,7-tetrabromobenzotriazole | arctigenin | AS-703026 | BI-847325 | bosutinib | MEK162 | nobiletin | PD-0325901 | PD-184352 | PD-198306 | PD-318088 | PD-98059 | refametinib | reversine | Ro-4987655 | Ro-5126766 | selumetinib | TAK-733 | trametinib | U-0126
MAPK1	0.421846557846677	3.02039689914727e-05	4,5,6,7-tetrabromobenzotriazole | arsenic-trioxide | bisindolylmaleimide-ix | BMS-536924 | CHIR-99021 | FR-180204 | GDC-0994 | isoprenaline | KN-62 | LY294002 | olomoucine | PD-98059 | purvalanol-b | ravoxertinib | SB-202190 | SB-203580 | TIC10 | U-0126 | VX-11e
MAPK14	0.27890841813136	0.00694848386485623	4,5,6,7-tetrabromobenzotriazole | 8-hydroxy-DPAT | AL-8697 | AMG-548 | bisindolylmaleimide-ix | CMPD-1 | doramapimod | EO-1428 | GW-788388 | JX-401 | KN-62 | losmapimod | LY2228820 | LY294002 | ML-3403 | PD-98059 | pexmetinib | PH-797804 | QX-314 | RWJ-67657 | SB-202190 | SB-203580 | SB-239063 | SB-242235 | SD-169 | semapimod | skepinone-l | SKF-86002 | SX-011 | TA-01 | TAK-715 | talmapimod | tie2-kinase-inhibitor | tyrphostin-AG-1478 | U-0126 | VX-702 | VX-745 | ZM-336372
PRKCA	0.0229327683447226	0.827001040278221	4,5,6,7-tetrabromobenzotriazole | 8-hydroxy-DPAT | bisindolylmaleimide-ix | C-1 | ellagic-acid | enzastaurin | go-6983 | ingenol-mebutate | KN-62 | LY294002 | myricitrin | PD-98059 | SB-202190 | SB-203580 | SC-10 | SC-9 | sotrastaurin | tamoxifen | U-0126 | vitamin-E
ROCK1	-0.255796604100146	0.0135327097868372	4,5,6,7-tetrabromobenzotriazole | AS-1892802 | AT13148 | bisindolylmaleimide-ix | fasudil | GSK269962 | GSK429286A | hydroxyfasudil | KN-62 | LX7101 | LY294002 | OXA-06 | PD-98059 | ripasudil | RKI-1447 | SAR407899 | SB-202190 | SB-203580 | SB-747651A | SB-772077B | U-0126 | Y-27632 | Y-39983
RPS6KB1	0.1502491719137	0.150351988693271	4,5,6,7-tetrabromobenzotriazole | bisindolylmaleimide-ix | KN-62 | LY2584702 | LY294002 | PD-98059 | PF-4708671 | PHA-767491 | SB-202190 | SB-203580 | SB-415286 | SB-747651A | U-0126
EIF4E	0.236564113276238	0.022641072847124	4E1RCat | 4EGI-1
EIF4G1	0.150771388499299	0.148926914356922	4E1RCat
SIGMAR1	-0.281355375846737	0.00645458995370084	4-IBP | 4-PPBP | amitriptyline | API-001 | BD-1047 | BD-1063 | cutamesine | dehydroepiandrosterone | dextromethorphan | dimemorfan | ditolylguanidine | igmesine | L-693403 | naltrexone | NE-100 | NNC-711 | nortriptyline | noscapine | PRE-084 | remoxipride | rimcazole | SK&F-10047-(+)
MIF	0.207140938796216	0.0465057657103699	4-iodo-6-phenylpyrimidine | caffeic-acid | chicago-sky-blue-6b | citric-acid | CPSI-1306-(+/-) | ISO-1 | YZ9
DPP4	-0.213586583509892	0.0399932946020896	4-iodo-L-phenylalanine | alogliptin | anagliptin | atorvastatin | DBPR108 | linagliptin | NVP-DPP728 | omarigliptin | PK-44 | saxagliptin | sitagliptin | talabostat | teneligliptin | trelagliptin | UAMC-00039 | vildagliptin
FASN	-0.18647608248038	0.0735642079355549	4-methylgenistein | cerulenin | epicatechin-gallate-(-) | epigallocatechin-gallate-(-) | fisetin | GSK2194069 | morin | orlistat | PA-824 | pyrazinamide
HDAC1	0.433245799886604	1.75286231003086e-05	4SC-202 | ACY-1215 | AR-42 | belinostat | dacinostat | entinostat | givinostat | JNJ-26481585 | mocetinostat | nexturastat-a | NSC-3852 | panobinostat | parthenolide-(-) | PCI-24781 | PCI-34051 | phenylbutyrate | pivanex | pyroxamide | resminostat | RG2833 | romidepsin | SB-939 | SBHA | scriptaid | sodium-butyrate | tacedinaline | TC-H-106 | trichostatin-a | UF-010 | valproic-acid | vorinostat
ALAD	-0.578884545373161	1.70567008356383e-09	5-aminolevulinic-acid
P2RX4	0.223613141953388	0.0313897502000189	5-BDBD
DPYD	-0.0651577094088508	0.534257635912615	5-fluorouracil | eniluracil | flavin-adenine-dinucleotide | gimeracil | NADPH | riboflavin-5-phosphate-sodium | uracil
MARK3	-0.118050789293068	0.259243461836939	7-hydroxystaurosporine
PDPK1	-0.115648592999314	0.269114446079776	7-hydroxystaurosporine | 8-hydroxy-DPAT | AR-12 | BX-795 | BX-912 | celecoxib | dexfosfoserine | GF109203X | GSK2334470 | PHT-427
PRKG1	-0.287308644922563	0.00538078387115427	8-bromo-cGMP | GDC-0068 | GSK690693
PRKCB	0.134746799558354	0.197471303609134	8-hydroxy-DPAT | CGP-53353 | ellagic-acid | enzastaurin | go-6983 | ingenol-mebutate | sotrastaurin | tamoxifen | vitamin-E
PRKCD	0.396959207424428	9.31492176542886e-05	8-hydroxy-DPAT | afimoxifene | enzastaurin | go-6983 | ingenol-mebutate | sotrastaurin | tamoxifen
PRKCE	0.0546387753275044	0.602333676545462	8-hydroxy-DPAT | afimoxifene | bryostatin-1 | ingenol-mebutate | sotrastaurin | tamoxifen | Y-27632
ANO1	-0.563710423443048	6.94625369760176e-09	9-anthracenecarboxylic-acid | eact | flufenamic-acid | fluoxetine | mibefradil | niflumic-acid | NPPB | tannic-acid
GSK3A	0.110351824773955	0.291770206941291	A-1070722 | AZD1080 | CHIR-98014 | CHIR-99021 | GSK-3-inhibitor-IX | indirubin | SB-216763 | SB-415286
RBP4	-0.23899615051774	0.0212561838456775	A-1120
PNKP	0.193951239891379	0.0625922820211205	A12B4C3
ICAM1	0.178568231327027	0.086809937802879	A205804 | BIRT-377 | BMS-688521 | hyaluronic-acid | polydatin | RWJ-50271
EHMT2	0.436140371818209	1.52220583386294e-05	A-366 | BIX-01294 | BRD4770 | UNC0224 | UNC0321 | UNC0631 | UNC0638 | UNC0642 | UNC0646 | UNC0737
PIK3CA	-0.167124227865477	0.10926840022413	A66 | alpelisib | AS-604850 | AZD6482 | AZD8835 | BGT226 | buparlisib | caffeine | CH5132799 | copanlisib | ETP-45658 | GDC-0349 | GDC-0941 | GDC-0980 | GSK2126458 | idelalisib | IPI-145 | LY294002 | MLN0128 | MLN1117 | NVP-BEZ235 | PF-04691502 | PF-05212384 | PI-103 | PIK-293 | PIK-75 | PP-121 | SB-2343 | taselisib | TG100-115 | voxtalisib | wortmannin | XL-147
PRKACA	-0.420071021455641	3.28219955687212e-05	A-674563 | AT7867 | bucladesine | CCT128930 | CW-008 | dexfosfoserine | ellagic-acid | fasudil | H-89 | hydroxyfasudil | Y-27632
DGAT1	-0.139968965414342	0.180535596555417	A922500 | A-922500 | AZD3988 | AZD7687 | hesperetin | LCQ908 | PF-04620110
MMP9	0.391423711617081	0.000118339316507376	abametapir | apratastat | beta-elemene | captopril | cipemastat | CP-471474 | CTS-1027 | curcumin | glucosamine | ilomastat | marimastat | minocycline | salvianolic-acid-B | UK-356618
SPHK2	-0.321416848199099	0.00176499697491362	ABC-294640 | K145
CDK4	0.105696636925189	0.312698130431737	abemaciclib | alvocidib | AMG-925 | arcyriaflavin-a | AT-7519 | NSC-625987 | ON123300 | P276-00 | palbociclib | PHA-793887 | PHA-848125 | purvalanol-a | purvalanol-b | R547 | RGB-286638 | ribociclib | ryuvidine | SU9516
CDK6	0.201799409149235	0.0525494261930742	abemaciclib | alvocidib | AMG-925 | aminopurvalanol-a | apigenin | AT-7519 | chrysin | fisetin | palbociclib | RGB-286638 | ribociclib
ADK	-0.392348780997284	0.000113730561486696	ABT-702 | adenosine-phosphate | ribavirin
PARP2	0.319089254274716	0.0019121330983171	AC-55541 | E7449 | olaparib | rucaparib | talazoparib | UPF-1069 | veliparib
PDGFRB	-0.211482796693623	0.0420293066529852	AC-710 | anlotinib | BMS-536924 | cediranib | CP-673451 | crenolanib | dasatinib | dovitinib | flumatinib | GTP-14564 | imatinib | KG-5 | KI-20227 | linifanib | lucitanib | masitinib | MK-2461 | nintedanib | ON123300 | orantinib | pazopanib | PD-166285 | PD-173074 | quizartinib | regorafenib | semaxanib | sorafenib | SU-16f | SU-4312 | sunitinib | tandutinib | tivozanib | toceranib | vatalanib
BTK	0.230804810360777	0.0262325413247868	acalabrutinib | AVL-292 | CNX-774 | GDC-0834 | ibrutinib | LFM-A13 | olmutinib | ONO-4059 | PCI-29732 | terreic-acid-(-)
PIK3CB	-0.14357972009191	0.169465236280304	acalisib | alpelisib | AZD6482 | AZD8186 | BGT226 | caffeine | CH5132799 | copanlisib | ETP-45658 | GDC-0941 | GDC-0980 | GSK2126458 | GSK2636771 | idelalisib | IPI-145 | LY294002 | PI-103 | PIK-293 | PIK-294 | PIK-75 | PP-121 | SB-2343 | TG100-115 | TGX-221 | ZSTK-474
PIK3CD	-0.0089672047984244	0.931937780038136	acalisib | alpelisib | AMG319 | AMG-319 | AZD6482 | AZD8186 | AZD8835 | caffeine | CH5132799 | copanlisib | ETP-45658 | GDC-0941 | GDC-0980 | GSK2126458 | idelalisib | IPI-145 | LY294002 | MLN0128 | NVP-BEZ235 | PI-103 | PIK-293 | PIK-294 | PIK-75 | PP-121 | SB-2343 | TG100-115 | TGX-221 | wortmannin | XL-147 | ZSTK-474
GAA	-0.13631344931515	0.192274314625558	acarbose | castanospermine | miglitol
AZGP1	-0.162155710065352	0.120331071438658	aceneuramic-acid
CES1	-0.322506042791919	0.00169973798683635	aceneuramic-acid | apoptosis-activator-II | avasimibe | benzoin | cholic-acid | CI-976 | cyclandelate | homatropine | oseltamivir-phosphate | probucol
MBL2	-0.337516039509415	0.000997744503210723	aceneuramic-acid
SIGLEC1	-0.0275581152457402	0.792816572544154	aceneuramic-acid
VKORC1	-0.266569186237355	0.00998476679889528	acenocoumarol | dicoumarol | menadione | menadione-bisulfite | phenindione | phenprocoumon | warfarin
CA1	-0.059562531706007	0.569988660362547	acetazolamide | amlodipine | bendroflumethiazide | benzthiazide | brinzolamide | carzenide | chlorothiazide | chlorthalidone | coumarin | curcumin | cyclothiazide | diazoxide | diclofenamide | ditiocarb-sodium-trihydrate | dorzolamide | ellagic-acid | ethoxzolamide | ferulic-acid | gallic-acid | hydrochlorothiazide | hydroflumethiazide | indisulam | levosulpiride | methazolamide | methocarbamol | methyclothiazide | phenol | quinethazone | saccharin | topiramate | trichlormethiazide | U-104 | zonisamide
CA3	-0.0334069410044463	0.750154073302667	acetazolamide | ellagic-acid | ethoxzolamide | zonisamide
HSD11B1	-0.515323326668855	1.94708027218058e-07	acetyl-11-keto-beta-boswellic-acid | adrenosterone | ammonium-glycyrrhizinate | carbenoxolone | chenodeoxycholic-acid | coenzyme-i | corosolic-acid | corticosterone | enoxolone | PF-915275 | prednisone | pyrrolidine-dithiocarbamate | ursolic-acid
ACY1	-0.607054400047745	0	acetylcysteine | L-Aspartic-Acid
CHUK	0.382754916296142	0.000170798828515995	acetylcysteine | aminosalicylate | arctigenin | BMS-345541 | mesalazine | sulfasalazine
GSS	-0.433618811733461	1.72139564254874e-05	acetylcysteine | AZD4282 | glutathione | L-cysteine
IKBKB	0.205619050461043	0.0481657493422295	acetylcysteine | arsenic-trioxide | aspirin | auranofin | AZD3264 | BMS-345541 | hypoestoxide | IKK-16 | IKK-2-inhibitor | IKK-2-inhibitor-V | mesalazine | parthenolide-(alternate-stereo) | PF-573228 | sulfasalazine | TPCA-1
RELA	-0.0401808361433559	0.701678540508703	acetylcysteine | BAY-11-7082 | bortezomib | caffeic-acid-phenethyl-ester | NFKB-activation-inhibitor-II | parthenolide-(alternate-stereo) | pyrrolidine-dithiocarbamate | triptolide
RBP1	-0.0173077496941303	0.869008122095512	acitretin | retinol
RXRA	-0.249336038912596	0.0161509695932022	acitretin | adapalene | AGN-194310 | bexarotene | BMS-649 | etodolac | etretinate | GW-9662 | PA-452 | peretinoin | retinol
RXRB	0.194055683208499	0.0624490140199233	acitretin | adapalene | AGN-194310 | bexarotene | etretinate | retinol | T-0901317 | tazarotene | tretinoin
STAT3	0.168780400465519	0.105762763533625	acitretin | alantolactone | APcK-110 | atiprimod | bardoxolone-methyl | cryptotanshinone | meisoindigo | napabucasin | niclosamide | ochromycinone | STAT3-inhibitor-VI | WP1066
CTPS1	0.305093849780669	0.00305618178191239	acivicin | glutamine-(l) | hexylene-glycol
TOP2A	0.59302915460595	1.01536359784536e-10	aclarubicin | aldoxorubicin | amonafide | amrubicin | amsacrine | ciprofloxacin | daunorubicin | dexrazoxane | doxorubicin | enoxacin | epirubicin | etoposide | etoposide-phosphate | garenoxacin | genistein | idarubicin | levofloxacin | lomefloxacin | merbarone | mitoxantrone | moxifloxacin | nemorubicin | norfloxacin | ofloxacin | pefloxacin | pirarubicin | pixantrone | podophyllotoxin | pyrazoloacridine | sparfloxacin | teniposide | trovafloxacin | valrubicin | voreloxin
HDAC2	0.382158097341172	0.000175107019899832	ACY-1215 | aminophylline | belinostat | CUDC-907 | dacinostat | entinostat | givinostat | JNJ-26481585 | lovastatin | MC1568 | mocetinostat | oxtriphylline | panobinostat | PCI-24781 | pivanex | romidepsin | scriptaid | sodium-butyrate | TC-H-106 | trichostatin-a | UF-010 | valproic-acid | vorinostat
HDAC3	0.100519232490824	0.33709259136823	ACY-1215 | belinostat | chidamide | dacinostat | entinostat | givinostat | JNJ-26481585 | mocetinostat | panobinostat | PCI-24781 | pivanex | resminostat | RG2833 | RGFP966 | romidepsin | SB-939 | SBHA | scriptaid | sodium-butyrate | TC-H-106 | trichostatin-a | UF-010 | vorinostat
HDAC6	-0.541329712631673	3.60960603305577e-08	ACY-1215 | belinostat | bufexamac | dacinostat | droxinostat | givinostat | JNJ-26481585 | nexturastat-a | panobinostat | PCI-24781 | PCI-34051 | resminostat | romidepsin | scriptaid | TCS-HDAC6-20b | trichostatin-a | tubastatin-a | vorinostat
PNP	0.196234072394139	0.0595213908696123	acyclovir | azaguanine-8 | cladribine | didanosine | forodesine | guanosine | hypoxanthine | inosine
AKR1B1	-0.0139058816508012	0.894599206997068	AD-5467 | alrestatin | apigenin | chrysin | citric-acid | coenzyme-i | EBPC | epalrestat | fidarestat | hyperin | kaempferol | ranirestat | sorbinil | sulindac | tolrestat
IGF2R	0.548998836203038	2.11312723803869e-08	adaprev
M6PR	0.252902032168542	0.0146561157375225	adaprev
GNMT	-0.489734713974516	8.90734885719955e-07	ademetionine | AZD4282 | citric-acid
MAT1A	-0.264077467100355	0.0107232168086294	ademetionine
MAT2A	-0.192280146817463	0.0649212884583125	ademetionine
ACACB	-0.367491271522783	0.00031850006047226	adenine | biotin | CP-640186 | KD-023 | metformin
ACP1	0.088717137656292	0.397077411268112	adenine
APRT	-0.248470651427889	0.0165330804742591	adenine | citric-acid
MTAP	-0.0731401629315747	0.485292077895294	adenine
PECR	-0.572215093551371	3.33552409873427e-09	adenine
SRPK2	0.434364835427173	1.66004826096564e-05	adenine | purvalanol-b | SRPIN340 | URMC-099
PI4K2A	0.224597893229089	0.0306364418257111	adenosine
PI4K2B	0.156605293784131	0.133692005504804	adenosine | PI4KIII-beta-inhibitor-1
ACSL1	-0.561263465727671	8.44776798453736e-09	adenosine-phosphate | adenosine-triphosphate
ACSS1	0.16088746978604	0.123289084724921	adenosine-phosphate | adenosine-triphosphate
ACSS2	-0.371221389991346	0.000274239578973189	adenosine-phosphate | adenosine-triphosphate
FBP1	-0.566231983527797	5.64280489970843e-09	adenosine-phosphate | CS-917 | MDL-29951
HINT1	-0.284533436781952	0.00585977762016659	adenosine-phosphate
PRKAA1	-0.415803765927606	4.00091698134435e-05	adenosine-phosphate | adenosine-triphosphate | aspirin | dorsomorphin | phenformin | ZLN-024
PRKAB1	-0.0490883590462833	0.639742056667406	adenosine-phosphate | aspirin | metformin | ZLN-024
PRKAB2	-0.478156426248098	1.70800543691216e-06	adenosine-phosphate | aspirin
PYGL	-0.646847303870371	0	adenosine-phosphate | CP-316819 | CP-91149 | dexfosfoserine | MC-1 | tagatose | uric-acid
ABCA1	0.164095371669004	0.115913543649996	adenosine-triphosphate | glyburide | probucol
ABCB1	-0.211766285697234	0.0417500021860328	adenosine-triphosphate | dofequidar | DPPE | elacridar | erythromycin-estolate | erythromycin-ethylsuccinate | Ko143 | roxithromycin | tariquidar | valspodar | zosuquidar
ABCB11	-0.568783384560294	4.53824234461489e-09	adenosine-triphosphate | cyclosporine | glyburide | probucol
ABCC2	-0.266405061024738	0.0100319943108249	adenosine-triphosphate | MK-571 | sulfinpyrazone
ABCC9	-0.208573304288144	0.0449871303443036	adenosine-triphosphate | glyburide | minoxidil | pinacidil
ABL1	-0.108576288382919	0.299639972274052	adenosine-triphosphate | bafetinib | bosutinib | dasatinib | flumatinib | GNF-2 | GNF-5 | GZD824 | imatinib | KW-2449 | LDN-212854 | metatinib | nilotinib | ponatinib | PP-121 | PP-2 | PPY-A | rebastinib | regorafenib | saracatinib
AFG3L2	-0.526767330130405	9.46709912153097e-08	adenosine-triphosphate
APAF1	0.116991435647996	0.263565548424865	adenosine-triphosphate
ARAF	-0.151756139774999	0.146267369129879	adenosine-triphosphate
ASNS	0.458864253528692	4.82015982952608e-06	adenosine-triphosphate | L-asparagine | L-Aspartic-Acid | L-glutamic-acid
ASS1	-0.411446987556325	4.88479860876231e-05	adenosine-triphosphate | L-Arginine | L-Aspartic-Acid | L-Citrulline
ITPR1	-0.0833159261138134	0.426525875832178	adenosine-triphosphate | caffeine
NAE1	0.389528811435051	0.000128327084437757	adenosine-triphosphate | pevonedistat
NT5C2	0.391572916355823	0.000117584407368919	adenosine-triphosphate | ribavirin
SLC25A4	-0.408925427471576	5.476583480217e-05	adenosine-triphosphate | clodronic-acid
ADIPOR2	-0.357822804452269	0.000465714113149681	adiporon | taxifolin
EGFR	-0.109755005818985	0.294400056387207	AEE788 | afatinib | AG-490 | alvocidib | AP26113 | AST-1306 | AV-412 | AZ5104 | AZD3759 | AZD8931 | BIBU-1361 | BIBX-1382 | BMS-599626 | BMS-690514 | brigatinib | canertinib | CGP-52411 | CGP-53353 | chrysophanic-acid | CNX-2006 | CUDC-101 | dacomitinib | dovitinib | EGF816 | erbstatin-analog | erlotinib | gefitinib | GW-583340 | HKI-357 | icotinib | lapatinib | lidocaine | mubritinib | neratinib | olmutinib | orantinib | OSI-420 | osimertinib | PD-153035 | PD-158780 | PD-166285 | PD-168393 | pelitinib | PKI-166 | poziotinib | PP-121 | rociletinib | tyrphostin-AG-1478 | tyrphostin-AG-18 | tyrphostin-AG-494 | tyrphostin-AG-835 | tyrphostin-AG-99 | vandetanib | vatalanib | WHI-P154 | WZ-3146 | WZ-4002 | WZ8040 | XL-647 | ZM-306416
