"id","species","taxonId","ensembl","entrez","name","fullname","synonym","signature","chromStart","chromEnd","chromStrand","chromName","band","goTerms","function","goFunctions","goLocalizations","cerebralLocalization","nrIntxsValidated","nrIntxsPredicted","transcripts","humanOrthologs","mouseOrthologs","bovineOrthologs","lastModified"
"31636","Homo sapiens","9606","ENSG00000148926","133","ADM","adrenomedullin ","AM|PAMP","ADM|IDBG-31636|ENSG00000148926|133","10304680","10307397","1","11","p15.4","GO:0001570|vasculogenesis|biological_process#GO:0001666|response to hypoxia|biological_process#GO:0001843|neural tube closure|biological_process#GO:0002026|regulation of the force of heart contraction|biological_process#GO:0002031|G-protein coupled receptor internalization|biological_process#GO:0005102|receptor binding|molecular_function#GO:0005179|hormone activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005576|extracellular region|cellular_component#GO:0005615|extracellular space|cellular_component#GO:0005737|cytoplasm|cellular_component#GO:0006171|cAMP biosynthetic process|biological_process#GO:0006701|progesterone biosynthetic process|biological_process#GO:0007165|signal transduction|biological_process#GO:0007204|positive regulation of cytosolic calcium ion concentration|biological_process#GO:0007267|cell-cell signaling|biological_process#GO:0007507|heart development|biological_process#GO:0007565|female pregnancy|biological_process#GO:0007568|aging|biological_process#GO:0008015|blood circulation|biological_process#GO:0008209|androgen metabolic process|biological_process#GO:0008284|positive regulation of cell proliferation|biological_process#GO:0008285|negative regulation of cell proliferation|biological_process#GO:0009409|response to cold|biological_process#GO:0009611|response to wounding|biological_process#GO:0010033|response to organic substance|biological_process#GO:0010460|positive regulation of heart rate|biological_process#GO:0019933|cAMP-mediated signaling|biological_process#GO:0030819|positive regulation of cAMP biosynthetic process|biological_process#GO:0031100|organ regeneration|biological_process#GO:0031102|neuron projection regeneration|biological_process#GO:0031623|receptor internalization|biological_process#GO:0031700|adrenomedullin receptor binding|molecular_function#GO:0032496|response to lipopolysaccharide|biological_process#GO:0032868|response to insulin|biological_process#GO:0042475|odontogenesis of dentin-containing tooth|biological_process#GO:0042594|response to starvation|biological_process#GO:0043065|positive regulation of apoptotic process|biological_process#GO:0043116|negative regulation of vascular permeability|biological_process#GO:0045766|positive regulation of angiogenesis|biological_process#GO:0045906|negative regulation of vasoconstriction|biological_process#GO:0045909|positive regulation of vasodilation|biological_process#GO:0046879|hormone secretion|biological_process#GO:0048589|developmental growth|biological_process#GO:0051384|response to glucocorticoid|biological_process#GO:0055074|calcium ion homeostasis|biological_process#GO:0060670|branching involved in labyrinthine layer morphogenesis|biological_process#GO:0060712|spongiotrophoblast layer development|biological_process#GO:0097084|vascular smooth muscle cell development|biological_process#GO:2001214|positive regulation of vasculogenesis|biological_process"," adrenomedullin receptor binding","GO:0005102: receptor binding#GO:0005179: hormone activity#GO:0005515: protein binding#GO:0031700: adrenomedullin receptor binding","GO:0005102: receptor binding,GO:0005179: hormone activity,GO:0005515: protein binding,GO:0031700: adrenomedullin receptor binding","Extracellular","0","1","31638|601972|598878|604027|589740|602127|584340|603446","","Adm|IDBG-206620|ENSMUSG00000030790|11535","ADM|IDBG-633364|ENSBTAG00000021048|280713","2017-02-20"
"31680","Homo sapiens","9606","ENSG00000106327","7036","TFR2","transferrin receptor 2 ","HFE3|TFRC2","TFR2|IDBG-31680|ENSG00000106327|7036","100620416","100642779","-1","7","q22.1","GO:0004998|transferrin receptor activity|molecular_function#GO:0005737|cytoplasm|cellular_component#GO:0005887|integral component of plasma membrane|cellular_component#GO:0006508|proteolysis|biological_process#GO:0006826|iron ion transport|biological_process#GO:0006879|cellular iron ion homeostasis|biological_process#GO:0006898|receptor-mediated endocytosis|biological_process#GO:0008233|peptidase activity|molecular_function"," peptidase activity","GO:0004998: transferrin receptor activity#GO:0008233: peptidase activity","GO:0004998: transferrin receptor activity,GO:0008233: peptidase activity","Plasma membrane","7","0","31682|383650|475325|481931","","Tfr2|IDBG-205137|ENSMUSG00000029716|50765","TFR2|IDBG-640543|ENSBTAG00000011738|617916","2017-02-20"
"31941","Homo sapiens","9606","ENSG00000130427","2056","EPO","erythropoietin ","EP|MVCD2","EPO|IDBG-31941|ENSG00000130427|2056","100720800","100723700","1","7","q22.1","GO:0001666|response to hypoxia|biological_process#GO:0005128|erythropoietin receptor binding|molecular_function#GO:0005179|hormone activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005576|extracellular region|cellular_component#GO:0005615|extracellular space|cellular_component#GO:0006357|regulation of transcription from RNA polymerase II promoter|biological_process#GO:0006915|apoptotic process|biological_process#GO:0007165|signal transduction|biological_process#GO:0007566|embryo implantation|biological_process#GO:0007568|aging|biological_process#GO:0007584|response to nutrient|biological_process#GO:0008015|blood circulation|biological_process#GO:0008284|positive regulation of cell proliferation|biological_process#GO:0009651|response to salt stress|biological_process#GO:0009986|cell surface|cellular_component#GO:0010523|negative regulation of calcium ion transport into cytosol|biological_process#GO:0018105|peptidyl-serine phosphorylation|biological_process#GO:0030218|erythrocyte differentiation|biological_process#GO:0030295|protein kinase activator activity|molecular_function#GO:0032496|response to lipopolysaccharide|biological_process#GO:0033033|negative regulation of myeloid cell apoptotic process|biological_process#GO:0033189|response to vitamin A|biological_process#GO:0033574|response to testosterone|biological_process#GO:0042523|positive regulation of tyrosine phosphorylation of Stat5 protein|biological_process#GO:0042541|hemoglobin biosynthetic process|biological_process#GO:0043066|negative regulation of apoptotic process|biological_process#GO:0043249|erythrocyte maturation|biological_process#GO:0043627|response to estrogen|biological_process#GO:0045666|positive regulation of neuron differentiation|biological_process#GO:0045740|positive regulation of DNA replication|biological_process#GO:0045860|positive regulation of protein kinase activity|biological_process#GO:0045893|positive regulation of transcription, DNA-templated|biological_process#GO:0046579|positive regulation of Ras protein signal transduction|biological_process#GO:0048678|response to axon injury|biological_process#GO:0051602|response to electrical stimulus|biological_process#GO:0055093|response to hyperoxia|biological_process#GO:0061418|regulation of transcription from RNA polymerase II promoter in response to hypoxia|biological_process#GO:0070555|response to interleukin-1|biological_process#GO:0071456|cellular response to hypoxia|biological_process#GO:0071474|cellular hyperosmotic response|biological_process#GO:1902219|negative regulation of intrinsic apoptotic signaling pathway in response to osmotic stress|biological_process#GO:1902251|negative regulation of erythrocyte apoptotic process|biological_process#GO:2001258|negative regulation of cation channel activity|biological_process"," protein kinase activator activity","GO:0005128: erythropoietin receptor binding#GO:0005179: hormone activity#GO:0005515: protein binding#GO:0030295: protein kinase activator activity","GO:0005128: erythropoietin receptor binding,GO:0005179: hormone activity,GO:0005515: protein binding,GO:0030295: protein kinase activator activity","Extracellular","8","0","31943","","Epo|IDBG-205003|ENSMUSG00000029711|13856","EPO|IDBG-640493|ENSBTAG00000003430|280784","2017-02-20"
"31974","Homo sapiens","9606","ENSG00000109320","4790","NFKB1","nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 ","EBP-1|KBF1|NF-kappa-B|NF-kappaB|NF-kB1|NFkappaB|NFKB-p105|NFKB-p50|p105|p50","NFKB1|IDBG-31974|ENSG00000109320|4790","102501329","102617302","1","4","q24","GO:0000122|negative regulation of transcription from RNA polymerase II promoter|biological_process#GO:0000975|regulatory region DNA binding|molecular_function#GO:0000976|transcription regulatory region sequence-specific DNA binding|molecular_function#GO:0001071|nucleic acid binding transcription factor activity|molecular_function#GO:0001818|negative regulation of cytokine production|biological_process#GO:0002224|toll-like receptor signaling pathway|biological_process#GO:0002755|MyD88-dependent toll-like receptor signaling pathway|biological_process#GO:0002756|MyD88-independent toll-like receptor signaling pathway|biological_process#GO:0003677|DNA binding|molecular_function#GO:0003690|double-stranded DNA binding|molecular_function#GO:0003700|sequence-specific DNA binding transcription factor activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005634|nucleus|cellular_component#GO:0005654|nucleoplasm|cellular_component#GO:0005737|cytoplasm|cellular_component#GO:0005739|mitochondrion|cellular_component#GO:0005829|cytosol|cellular_component#GO:0006355|regulation of transcription, DNA-templated|biological_process#GO:0006366|transcription from RNA polymerase II promoter|biological_process#GO:0006915|apoptotic process|biological_process#GO:0006954|inflammatory response|biological_process#GO:0006979|response to oxidative stress|biological_process#GO:0007165|signal transduction|biological_process#GO:0008134|transcription factor binding|molecular_function#GO:0009617|response to bacterium|biological_process#GO:0010744|positive regulation of macrophage derived foam cell differentiation|biological_process#GO:0010884|positive regulation of lipid storage|biological_process#GO:0010956|negative regulation of calcidiol 1-monooxygenase activity|biological_process#GO:0010957|negative regulation of vitamin D biosynthetic process|biological_process#GO:0031072|heat shock protein binding|molecular_function#GO:0031293|membrane protein intracellular domain proteolysis|biological_process#GO:0032269|negative regulation of cellular protein metabolic process|biological_process#GO:0032375|negative regulation of cholesterol transport|biological_process#GO:0032481|positive regulation of type I interferon production|biological_process#GO:0033256|I-kappaB/NF-kappaB complex|cellular_component#GO:0034134|toll-like receptor 2 signaling pathway|biological_process#GO:0034138|toll-like receptor 3 signaling pathway|biological_process#GO:0034142|toll-like receptor 4 signaling pathway|biological_process#GO:0034146|toll-like receptor 5 signaling pathway|biological_process#GO:0034162|toll-like receptor 9 signaling pathway|biological_process#GO:0034166|toll-like receptor 10 signaling pathway|biological_process#GO:0035666|TRIF-dependent toll-like receptor signaling pathway|biological_process#GO:0038095|Fc-epsilon receptor signaling pathway|biological_process#GO:0038123|toll-like receptor TLR1:TLR2 signaling pathway|biological_process#GO:0038124|toll-like receptor TLR6:TLR2 signaling pathway|biological_process#GO:0042803|protein homodimerization activity|molecular_function#GO:0043066|negative regulation of apoptotic process|biological_process#GO:0043234|protein complex|cellular_component#GO:0043565|sequence-specific DNA binding|molecular_function#GO:0044212|transcription regulatory region DNA binding|molecular_function#GO:0045083|negative regulation of interleukin-12 biosynthetic process|biological_process#GO:0045087|innate immune response|biological_process#GO:0045892|negative regulation of transcription, DNA-templated|biological_process#GO:0045893|positive regulation of transcription, DNA-templated|biological_process#GO:0045944|positive regulation of transcription from RNA polymerase II promoter|biological_process#GO:0046688|response to copper ion|biological_process#GO:0048011|neurotrophin TRK receptor signaling pathway|biological_process#GO:0050728|negative regulation of inflammatory response|biological_process#GO:0050852|T cell receptor signaling pathway|biological_process#GO:0051092|positive regulation of NF-kappaB transcription factor activity|biological_process#GO:0071222|cellular response to lipopolysaccharide|biological_process#GO:0071260|cellular response to mechanical stimulus|biological_process#GO:0071316|cellular response to nicotine|biological_process#GO:0071347|cellular response to interleukin-1|biological_process#GO:0071354|cellular response to interleukin-6|biological_process#GO:0071375|cellular response to peptide hormone stimulus|biological_process#GO:0090263|positive regulation of canonical Wnt signaling pathway|biological_process#GO:1900127|positive regulation of hyaluronan biosynthetic process|biological_process#GO:2000630|positive regulation of miRNA metabolic process|biological_process"," transcription regulatory region DNA binding","GO:0000975: regulatory region DNA binding#GO:0000976: transcription regulatory region sequence-specific DNA binding#GO:0001071: nucleic acid binding transcription factor activity#GO:0003677: DNA binding#GO:0003690: double-stranded DNA binding#GO:0003700: sequence-specific DNA binding transcription factor activity#GO:0005515: protein binding#GO:0008134: transcription factor binding#GO:0031072: heat shock protein binding#GO:0042803: protein homodimerization activity#GO:0043565: sequence-specific DNA binding#GO:0044212: transcription regulatory region DNA binding","GO:0000975: regulatory region DNA binding,GO:0000976: transcription regulatory region sequence-specific DNA binding,GO:0001071: nucleic acid binding transcription factor activity,GO:0003677: DNA binding,GO:0003690: double-stranded DNA binding,GO:0003700: sequence-specific DNA binding transcription factor activity,GO:0005515: protein binding,GO:0008134: transcription factor binding,GO:0031072: heat shock protein binding,GO:0042803: protein homodimerization activity,GO:0043565: sequence-specific DNA binding,GO:0044212: transcription regulatory region DNA binding","Nucleus","322","62","31976|240803|477358|481194|481312|480266|483959|713144","","Nfkb1|IDBG-195445|ENSMUSG00000028163|18033","BT.60919|IDBG-640840|ENSBTAG00000020270|616115","2017-02-20"
"32021","Homo sapiens","9606","ENSG00000164935","81501","DCSTAMP","dendrocyte expressed seven transmembrane protein ","","DCSTAMP|IDBG-32021|ENSG00000164935|81501","104339087","104356689","1","8","q22.3","GO:0005515|protein binding|molecular_function#GO:0005524|ATP binding|molecular_function#GO:0005789|endoplasmic reticulum membrane|cellular_component#GO:0005887|integral component of plasma membrane|cellular_component#GO:0006810|transport|biological_process#GO:0009986|cell surface|cellular_component#GO:0010008|endosome membrane|cellular_component#GO:0016021|integral component of membrane|cellular_component#GO:0030176|integral component of endoplasmic reticulum membrane|cellular_component#GO:0030308|negative regulation of cell growth|biological_process#GO:0030316|osteoclast differentiation|biological_process#GO:0033116|endoplasmic reticulum-Golgi intermediate compartment membrane|cellular_component#GO:0034241|positive regulation of macrophage fusion|biological_process#GO:0036006|cellular response to macrophage colony-stimulating factor stimulus|biological_process#GO:0042626|ATPase activity, coupled to transmembrane movement of substances|molecular_function#GO:0043011|myeloid dendritic cell differentiation|biological_process#GO:0045657|positive regulation of monocyte differentiation|biological_process#GO:0045780|positive regulation of bone resorption|biological_process#GO:0055085|transmembrane transport|biological_process#GO:0061025|membrane fusion|biological_process#GO:0071353|cellular response to interleukin-4|biological_process#GO:0071356|cellular response to tumor necrosis factor|biological_process#GO:0072675|osteoclast fusion|biological_process"," ATPase activity","GO:0005515: protein binding#GO:0005524: ATP binding#GO:0042626: ATPase activity, coupled to transmembrane movement of substances","GO:0005515: protein binding,GO:0005524: ATP binding,GO:0042626: ATPase activity, coupled to transmembrane movement of substances","Cell surface","2","0","32023|480696|810697","","Dcstamp|IDBG-137202|ENSMUSG00000022303|75766","TM7SF4|IDBG-644962|ENSBTAG00000021240|512133","2017-02-20"
"32154","Homo sapiens","9606","ENSG00000125148","4502","MT2A","metallothionein 2A ","MT2","MT2A|IDBG-32154|ENSG00000125148|4502","56608199","56609497","1","16","q13","GO:0005515|protein binding|molecular_function#GO:0005634|nucleus|cellular_component#GO:0005737|cytoplasm|cellular_component#GO:0005829|cytosol|cellular_component#GO:0006878|cellular copper ion homeostasis|biological_process#GO:0008144|drug binding|molecular_function#GO:0008270|zinc ion binding|molecular_function#GO:0019221|cytokine-mediated signaling pathway|biological_process#GO:0035690|cellular response to drug|biological_process#GO:0036016|cellular response to interleukin-3|biological_process#GO:0036018|cellular response to erythropoietin|biological_process#GO:0045926|negative regulation of growth|biological_process#GO:0046872|metal ion binding|molecular_function#GO:0048471|perinuclear region of cytoplasm|cellular_component#GO:0060333|interferon-gamma-mediated signaling pathway|biological_process#GO:0071294|cellular response to zinc ion|biological_process"," metal ion binding","GO:0005515: protein binding#GO:0008144: drug binding#GO:0008270: zinc ion binding#GO:0046872: metal ion binding","GO:0005515: protein binding,GO:0008144: drug binding,GO:0008270: zinc ion binding,GO:0046872: metal ion binding","Nucleus","27","0","32156|751263","","","","2017-02-20"
"32341","Homo sapiens","9606","ENSG00000164047","820","CAMP","cathelicidin antimicrobial peptide ","CAP-18|CAP18|CRAMP|FALL-39|FALL39|LL37","CAMP|IDBG-32341|ENSG00000164047|820","48223347","48225491","1","3","p21.31","GO:0001934|positive regulation of protein phosphorylation|biological_process#GO:0002227|innate immune response in mucosa|biological_process#GO:0005515|protein binding|molecular_function#GO:0005576|extracellular region|cellular_component#GO:0005615|extracellular space|cellular_component#GO:0005618|cell wall|cellular_component#GO:0005737|cytoplasm|cellular_component#GO:0005829|cytosol|cellular_component#GO:0006952|defense response|biological_process#GO:0008284|positive regulation of cell proliferation|biological_process#GO:0019731|antibacterial humoral response|biological_process#GO:0042581|specific granule|cellular_component#GO:0042742|defense response to bacterium|biological_process#GO:0042995|cell projection|cellular_component#GO:0044130|negative regulation of growth of symbiont in host|biological_process#GO:0044140|negative regulation of growth of symbiont on or near host surface|biological_process#GO:0045087|innate immune response|biological_process#GO:0045766|positive regulation of angiogenesis|biological_process#GO:0050829|defense response to Gram-negative bacterium|biological_process#GO:0050830|defense response to Gram-positive bacterium|biological_process#GO:0051701|interaction with host|biological_process#GO:0051873|killing by host of symbiont cells|biological_process#GO:0070062|extracellular vesicular exosome|cellular_component#GO:0071222|cellular response to lipopolysaccharide|biological_process#GO:0071224|cellular response to peptidoglycan|biological_process#GO:0071347|cellular response to interleukin-1|biological_process#GO:0071354|cellular response to interleukin-6|biological_process#GO:0071356|cellular response to tumor necrosis factor|biological_process#GO:0090382|phagosome maturation|biological_process"," protein binding","GO:0005515: protein binding","GO:0005515: protein binding","Extracellular","20","0","32343","","Camp|IDBG-201591|ENSMUSG00000038357|12796","","2017-02-20"
"32481","Homo sapiens","9606","ENSG00000164050","5364","PLXNB1","plexin B1 ","PLEXIN-B1|PLXN5|SEP","PLXNB1|IDBG-32481|ENSG00000164050|5364","48403854","48430051","-1","3","p21.31","GO:0002116|semaphorin receptor complex|cellular_component#GO:0004872|receptor activity|molecular_function#GO:0004888|transmembrane signaling receptor activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005576|extracellular region|cellular_component#GO:0005622|intracellular|cellular_component#GO:0005886|plasma membrane|cellular_component#GO:0005887|integral component of plasma membrane|cellular_component#GO:0007162|negative regulation of cell adhesion|biological_process#GO:0007165|signal transduction|biological_process#GO:0007275|multicellular organismal development|biological_process#GO:0007411|axon guidance|biological_process#GO:0008360|regulation of cell shape|biological_process#GO:0014068|positive regulation of phosphatidylinositol 3-kinase signaling|biological_process#GO:0016020|membrane|cellular_component#GO:0016477|cell migration|biological_process#GO:0017154|semaphorin receptor activity|molecular_function#GO:0030215|semaphorin receptor binding|molecular_function#GO:0032321|positive regulation of Rho GTPase activity|biological_process#GO:0032794|GTPase activating protein binding|molecular_function#GO:0033689|negative regulation of osteoblast proliferation|biological_process#GO:0035556|intracellular signal transduction|biological_process#GO:0043931|ossification involved in bone maturation|biological_process#GO:0048812|neuron projection morphogenesis|biological_process#GO:0050772|positive regulation of axonogenesis|biological_process#GO:0051493|regulation of cytoskeleton organization|biological_process#GO:0071526|semaphorin-plexin signaling pathway|biological_process#GO:1900220|semaphorin-plexin signaling pathway involved in bone trabecula morphogenesis|biological_process"," GTPase activating protein binding","GO:0004872: receptor activity#GO:0004888: transmembrane signaling receptor activity#GO:0005515: protein binding#GO:0017154: semaphorin receptor activity#GO:0030215: semaphorin receptor binding#GO:0032794: GTPase activating protein binding","GO:0004872: receptor activity,GO:0004888: transmembrane signaling receptor activity,GO:0005515: protein binding,GO:0017154: semaphorin receptor activity,GO:0030215: semaphorin receptor binding,GO:0032794: GTPase activating protein binding","Extracellular","26","2","32485|32487|375920|375926","","Plxnb1|IDBG-201210|ENSMUSG00000053646|235611","PLXNB1|IDBG-646138|ENSBTAG00000013407|616798","2017-02-20"
"32573","Homo sapiens","9606","ENSG00000108516","","TNFRSF13B","tumor necrosis factor receptor superfamily, member 13B","","TNFRSF13B|IDBG-32573|ENSG00000108516|","41334632","41335733","1","17","q21.2","","","","","Unknown","0","0","","","","","2017-02-20"
"32641","Homo sapiens","9606","ENSG00000169894","100996844,102725320,102725337,4584","MUC3A","mucin 3A, cell surface associated ","MUC-3A|MUC3","MUC3A|IDBG-32641|ENSG00000169894|100996844,102725320,102725337,4584","100949555","100968346","1","7","q22.1","GO:0005201|extracellular matrix structural constituent|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005576|extracellular region|cellular_component#GO:0005796|Golgi lumen|cellular_component#GO:0016021|integral component of membrane|cellular_component#GO:0016266|O-glycan processing|biological_process#GO:0030197|extracellular matrix constituent, lubricant activity|molecular_function#GO:0043687|post-translational protein modification|biological_process#GO:0044267|cellular protein metabolic process|biological_process"," extracellular matrix constituent","GO:0005201: extracellular matrix structural constituent#GO:0005515: protein binding#GO:0030197: extracellular matrix constituent, lubricant activity","GO:0005201: extracellular matrix structural constituent,GO:0005515: protein binding,GO:0030197: extracellular matrix constituent, lubricant activity","Extracellular","2","0","384070|813554","","A630081J09RIK|IDBG-723764|ENSMUSG00000094840|619309","MUC3A|IDBG-640405|ENSBTAG00000047767|","2017-02-20"
"32668","Homo sapiens","9606","ENSG00000132005","5989","RFX1","regulatory factor X, 1 (influences HLA class II expression) ","EFC|RFX","RFX1|IDBG-32668|ENSG00000132005|5989","13961538","14007039","-1","19","p13.12","GO:0003677|DNA binding|molecular_function#GO:0003705|RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005634|nucleus|cellular_component#GO:0006355|regulation of transcription, DNA-templated|biological_process#GO:0006357|regulation of transcription from RNA polymerase II promoter|biological_process#GO:0006366|transcription from RNA polymerase II promoter|biological_process#GO:0006955|immune response|biological_process"," protein binding","GO:0003677: DNA binding#GO:0003705: RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity#GO:0005515: protein binding","GO:0003677: DNA binding,GO:0003705: RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity,GO:0005515: protein binding","Nucleus","22","1","32670|759808","","Rfx1|IDBG-173386|ENSMUSG00000031706|19724","RFX1|IDBG-642740|ENSBTAG00000008854|","2017-02-20"
"32723","Homo sapiens","9606","ENSG00000104998","9466","IL27RA","interleukin 27 receptor, alpha ","CRL1|IL-27RA|IL27R|TCCR|WSX1|zcytor1","IL27RA|IDBG-32723|ENSG00000104998|9466","14031748","14053216","1","19","p13.12","GO:0002827|positive regulation of T-helper 1 type immune response|biological_process#GO:0002829|negative regulation of type 2 immune response|biological_process#GO:0004888|transmembrane signaling receptor activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005887|integral component of plasma membrane|cellular_component#GO:0006955|immune response|biological_process#GO:0007166|cell surface receptor signaling pathway|biological_process#GO:0032729|positive regulation of interferon-gamma production|biological_process#GO:0045509|interleukin-27 receptor activity|molecular_function#GO:0048302|regulation of isotype switching to IgG isotypes|biological_process#GO:0050830|defense response to Gram-positive bacterium|biological_process#GO:0070106|interleukin-27-mediated signaling pathway|biological_process"," interleukin-27 receptor activity","GO:0004888: transmembrane signaling receptor activity#GO:0005515: protein binding#GO:0045509: interleukin-27 receptor activity","GO:0004888: transmembrane signaling receptor activity,GO:0005515: protein binding,GO:0045509: interleukin-27 receptor activity","Plasma membrane","6","2","32725","","Il27ra|IDBG-173273|ENSMUSG00000005465|50931","IL27RA|IDBG-642732|ENSBTAG00000016933|100850612,514529","2017-02-20"
"32792","Homo sapiens","9606","ENSG00000152207","57105","CYSLTR2","cysteinyl leukotriene receptor 2 ","","CYSLTR2|IDBG-32792|ENSG00000152207|57105","48653711","48711226","1","13","q14.2","GO:0001631|cysteinyl leukotriene receptor activity|molecular_function#GO:0004930|G-protein coupled receptor activity|molecular_function#GO:0004974|leukotriene receptor activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005575|cellular_component|cellular_component#GO:0005886|plasma membrane|cellular_component#GO:0006955|immune response|biological_process#GO:0007186|G-protein coupled receptor signaling pathway|biological_process#GO:0010942|positive regulation of cell death|biological_process#GO:0016020|membrane|cellular_component#GO:0016021|integral component of membrane|cellular_component#GO:0045766|positive regulation of angiogenesis|biological_process#GO:0050909|sensory perception of taste|biological_process#GO:0070374|positive regulation of ERK1 and ERK2 cascade|biological_process"," protein binding","GO:0001631: cysteinyl leukotriene receptor activity#GO:0004930: G-protein coupled receptor activity#GO:0004974: leukotriene receptor activity#GO:0005515: protein binding","GO:0001631: cysteinyl leukotriene receptor activity,GO:0004930: G-protein coupled receptor activity,GO:0004974: leukotriene receptor activity,GO:0005515: protein binding","Plasma membrane","2","1","32794|810842|810846|810847|810848","","Cysltr2|IDBG-179703|ENSMUSG00000033470|70086","CYSLTR2|IDBG-629103|ENSBTAG00000017508|540387","2017-02-20"
"32833","Homo sapiens","9606","ENSG00000205277","10071","MUC12","mucin 12, cell surface associated ","MUC-11|MUC-12|MUC11","MUC12|IDBG-32833|ENSG00000205277|10071","100969623","101018949","1","7","q22.1","GO:0001558|regulation of cell growth|biological_process#GO:0003674|molecular_function|molecular_function#GO:0005796|Golgi lumen|cellular_component#GO:0005887|integral component of plasma membrane|cellular_component#GO:0016266|O-glycan processing|biological_process#GO:0043687|post-translational protein modification|biological_process#GO:0044267|cellular protein metabolic process|biological_process"," molecular_function","GO:0003674: molecular_function","GO:0003674: molecular_function","Plasma membrane","2","0","32837|32865|593621","","Muc3|IDBG-204826|ENSMUSG00000037390|666339","MUC22|IDBG-640425|ENSBTAG00000031247|","2017-02-20"
"32838","Homo sapiens","9606","ENSG00000123268","466","ATF1","activating transcription factor 1 ","EWS-ATF1|FUS/ATF-1|TREB36","ATF1|IDBG-32838|ENSG00000123268|466","50763710","50821122","1","12","q13.12","GO:0000977|RNA polymerase II regulatory region sequence-specific DNA binding|molecular_function#GO:0001228|RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription|molecular_function#GO:0002224|toll-like receptor signaling pathway|biological_process#GO:0002755|MyD88-dependent toll-like receptor signaling pathway|biological_process#GO:0002756|MyD88-independent toll-like receptor signaling pathway|biological_process#GO:0003677|DNA binding|molecular_function#GO:0003700|sequence-specific DNA binding transcription factor activity|molecular_function#GO:0003705|RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005634|nucleus|cellular_component#GO:0005654|nucleoplasm|cellular_component#GO:0005667|transcription factor complex|cellular_component#GO:0006355|regulation of transcription, DNA-templated|biological_process#GO:0006366|transcription from RNA polymerase II promoter|biological_process#GO:0010976|positive regulation of neuron projection development|biological_process#GO:0014070|response to organic cyclic compound|biological_process#GO:0032025|response to cobalt ion|biological_process#GO:0032403|protein complex binding|molecular_function#GO:0034134|toll-like receptor 2 signaling pathway|biological_process#GO:0034138|toll-like receptor 3 signaling pathway|biological_process#GO:0034142|toll-like receptor 4 signaling pathway|biological_process#GO:0034146|toll-like receptor 5 signaling pathway|biological_process#GO:0034162|toll-like receptor 9 signaling pathway|biological_process#GO:0034166|toll-like receptor 10 signaling pathway|biological_process#GO:0035666|TRIF-dependent toll-like receptor signaling pathway|biological_process#GO:0038123|toll-like receptor TLR1:TLR2 signaling pathway|biological_process#GO:0038124|toll-like receptor TLR6:TLR2 signaling pathway|biological_process#GO:0043565|sequence-specific DNA binding|molecular_function#GO:0043623|cellular protein complex assembly|biological_process#GO:0045087|innate immune response|biological_process#GO:0045740|positive regulation of DNA replication|biological_process#GO:0045944|positive regulation of transcription from RNA polymerase II promoter|biological_process#GO:0046982|protein heterodimerization activity|molecular_function#GO:0048011|neurotrophin TRK receptor signaling pathway|biological_process#GO:0051403|stress-activated MAPK cascade|biological_process"," protein heterodimerization activity","GO:0000977: RNA polymerase II regulatory region sequence-specific DNA binding#GO:0001228: RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription#GO:0003677: DNA binding#GO:0003700: sequence-specific DNA binding transcription factor activity#GO:0003705: RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity#GO:0005515: protein binding#GO:0032403: protein complex binding#GO:0043565: sequence-specific DNA binding#GO:0046982: protein heterodimerization activity","GO:0000977: RNA polymerase II regulatory region sequence-specific DNA binding,GO:0001228: RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription,GO:0003677: DNA binding,GO:0003700: sequence-specific DNA binding transcription factor activity,GO:0003705: RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity,GO:0005515: protein binding,GO:0032403: protein complex binding,GO:0043565: sequence-specific DNA binding,GO:0046982: protein heterodimerization activity","Nucleus","29","0","32840|587807|587184|602320|594100","","Atf1|IDBG-184326|ENSMUSG00000023027|100040260,11908","ATF1|IDBG-632380|ENSBTAG00000018131|506967","2017-02-20"
