Interactor	Canonical Name	Naming Convention	Major Loc With Loc Score	Minor Loc	Loc Experimental System Type	Loc Source DB	Interaction Source DB	Taxonomy ID
P56524	Histone deacetylase 4	UniProtKB/Swiss-Prot/P	Cytosol(0.997)|Nucleus(1)|Membrane(0.3)	GO:0005737|GO:0005829|GO:0005829|GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0005654|GO:0005654|GO:0017053|GO:0000118|GO:0030018|GO:0031672|GO:0042641|GO:0031594	Experimental: inferred from direct assay|Experimental: inferred from direct assay|Experimental: annotated protein expression (APE)|Predicted: SVM decision tree|Experimental: inferred from direct assay|Predicted: pTarget method|Experimental: experimental|Predicted: PAML algorithm|Experimental: inferred from direct assay|Experimental: annotated protein expression (APE)|Experimental: inferred from direct assay|Experimental: inferred from direct assay|Unknown: inferred from electronic annotation|Unknown: inferred from electronic annotation|Unknown: inferred from electronic annotation|Unknown: inferred from electronic annotation	GO|GO|The Human Protein Atlas|eSLDB|GO|LOCATE|Organelle|PA-GOSUB|GO|The Human Protein Atlas|GO|GO|GO|GO|GO|GO	BioGRID	9606
P23771	Trans-acting T-cell-specific transcription factor GATA-3	UniProtKB/Swiss-Prot/P	Nucleus(1)	GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0005654|GO:0005654|GO:0005667|GO:0000790	Experimental: experimental|Experimental: inferred from direct assay|Experimental: experimental|Predicted: pTarget method|Predicted: PAML algorithm|Experimental: inferred from direct assay|Experimental: annotated protein expression (APE)|Predicted: inferred from biological aspect of ancestor|Experimental: inferred from direct assay	eSLDB|GO|Human Proteinpedia|LOCATE|PA-GOSUB|GO|The Human Protein Atlas|GO|GO	BioGRID	9606
Q8WUM0	Nuclear pore complex protein Nup133	UniProtKB/Swiss-Prot/P	Cytosol(0.958)|Mitochondrion(0.8)|Nucleus(1)|Extracellular(0.8)|Membrane(0.3)	GO:0012505|GO:0005737|GO:0005829|GO:0046930|GO:0005634|GO:0005634|GO:0031965|GO:0031965|GO:0005635|GO:0005643|GO:0031080|GO:0000777|GO:0000940|GO:0005576|GO:0016020	Experimental: experimental|Predicted: SVM decision tree|Unknown: traceable author statement|Experimental: experimental|Predicted: pTarget method|Experimental: experimental|Experimental: inferred from direct assay|Experimental: annotated protein expression (APE)|Unknown: traceable author statement|Experimental: inferred from direct assay|Experimental: inferred from direct assay|Experimental: inferred from direct assay|Experimental: inferred from direct assay|Experimental: experimental|Unknown: HDA	Organelle|eSLDB|GO|Organelle|LOCATE|Organelle|GO|The Human Protein Atlas|GO|GO|GO|GO|GO|MatrixDB|GO	BioGRID	9606
P07199	Major centromere autoantigen B	UniProtKB/Swiss-Prot/P	Nucleus(1)	GO:0005634|GO:0005634|GO:0005634|GO:0016604|GO:0016604|GO:0005694|GO:0005694|GO:0000780|GO:0031618|GO:0000775	Experimental: experimental|Predicted: pTarget method|Predicted: PAML algorithm|Experimental: inferred from direct assay|Experimental: annotated protein expression (APE)|Experimental: inferred from direct assay|Experimental: experimental|Unknown: inferred from electronic annotation|Unknown: inferred from electronic annotation|Experimental: inferred from direct assay	eSLDB|LOCATE|PA-GOSUB|GO|The Human Protein Atlas|GO|Organelle|GO|GO|GO	BioGRID	9606
P57740	Nuclear pore complex protein Nup107	UniProtKB/Swiss-Prot/P	Cytosol(0.98)|Mitochondrion(0.8)|Nucleus(1)|Extracellular(0.8)|Membrane(0.3)	GO:0012505|GO:0005737|GO:0005829|GO:0046930|GO:0005634|GO:0005634|GO:0005634|GO:0034399|GO:0031965|GO:0031965|GO:0005635|GO:0005643|GO:0031080|GO:0005654|GO:0005813|GO:0000777|GO:0000776|GO:0005576|GO:0016020	Experimental: experimental|Experimental: experimental|Unknown: traceable author statement|Experimental: experimental|Experimental: experimental|Predicted: pTarget method|Experimental: experimental|Experimental: inferred from direct assay|Experimental: inferred from direct assay|Unknown: unspecified method|Unknown: traceable author statement|Experimental: inferred from direct assay|Unknown: non-traceable author statement|Unknown: unspecified method|Unknown: unspecified method|Unknown: inferred from electronic annotation|Experimental: inferred from direct assay|Experimental: experimental|Unknown: HDA	Organelle|eSLDB|GO|Organelle|eSLDB|LOCATE|Organelle|GO|GO|The Human Protein Atlas|GO|GO|GO|The Human Protein Atlas|The Human Protein Atlas|GO|GO|MatrixDB|GO	BioGRID	9606
Q9H2S9	Zinc finger protein Eos	UniProtKB/Swiss-Prot/P	Nucleus(1)	GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0005654|GO:0005654|GO:0016604|GO:0016604|GO:0032991	Predicted: SVM decision tree|Unknown: traceable author statement|Experimental: experimental|Predicted: PAML algorithm|Experimental: inferred from direct assay|Experimental: annotated protein expression (APE)|Experimental: inferred from direct assay|Experimental: annotated protein expression (APE)|Experimental: inferred from mutant phenotype	eSLDB|GO|Organelle|PA-GOSUB|GO|The Human Protein Atlas|GO|The Human Protein Atlas|GO	BioGRID	9606
Q04206	Transcription factor p65	UniProtKB/Swiss-Prot/P	Cytosol(1)|Nucleus(1)	GO:0005737|GO:0005737|GO:0005829|GO:0005829|GO:0033256|GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0005730|GO:0005654|GO:0005667|GO:0000790	Experimental: experimental|Experimental: inferred from direct assay|Experimental: inferred from direct assay|Experimental: annotated protein expression (APE)|Predicted: inferred from biological aspect of ancestor|Experimental: experimental|Experimental: inferred from direct assay|Predicted: pTarget method|Experimental: experimental|Predicted: PAML algorithm|Experimental: inferred from direct assay|Unknown: traceable author statement|Experimental: inferred from direct assay|Experimental: inferred from direct assay	eSLDB|GO|GO|The Human Protein Atlas|GO|eSLDB|GO|LOCATE|Organelle|PA-GOSUB|GO|GO|GO|GO	BioGRID	9606
Q09472	Histone acetyltransferase p300	UniProtKB/Swiss-Prot/P	Cytosol(0.8)|Nucleus(1)	GO:0005829|GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0005654|GO:0005654|GO:0005667|GO:0000123|GO:0032993|GO:0005694	Experimental: inferred from direct assay|Predicted: SVM decision tree|Experimental: inferred from direct assay|Predicted: pTarget method|Experimental: experimental|Predicted: PAML algorithm|Experimental: inferred from direct assay|Experimental: annotated protein expression (APE)|Unknown: inferred from electronic annotation|Unknown: inferred from electronic annotation|Predicted: inferred from sequence or structural similarity|Unknown: inferred from electronic annotation	GO|eSLDB|GO|LOCATE|Organelle|PA-GOSUB|GO|The Human Protein Atlas|GO|GO|GO|GO	BioGRID	9606
Q8N163	Cell cycle and apoptosis regulator protein 2	UniProtKB/Swiss-Prot/P	Cytosol(0.988)|Mitochondrion(0.8)|Nucleus(1)	GO:0005737|GO:0005737|GO:0044609|GO:0005759|GO:0005634|GO:0005634|GO:0005634|GO:0005654|GO:0005654|GO:0016604|GO:0005681|GO:0000790	Predicted: SVM decision tree|Experimental: inferred from direct assay|Experimental: inferred from direct assay|Experimental: inferred from direct assay|Experimental: inferred from direct assay|Predicted: pTarget method|Predicted: PAML algorithm|Experimental: inferred from direct assay|Experimental: annotated protein expression (APE)|Experimental: annotated protein expression (APE)|Experimental: inferred from direct assay|Experimental: inferred from direct assay	eSLDB|GO|GO|GO|GO|LOCATE|PA-GOSUB|GO|The Human Protein Atlas|The Human Protein Atlas|GO|GO	BioGRID	9606
Q9UKV0	Histone deacetylase 9	UniProtKB/Swiss-Prot/P	Cytosol(0.8)|Nucleus(1)	GO:0005737|GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0005654|GO:0005654|GO:0035097|GO:0005667|GO:0000118	Experimental: inferred from direct assay|Predicted: SVM decision tree|Experimental: inferred from direct assay|Predicted: pTarget method|Experimental: experimental|Predicted: PAML algorithm|Unknown: traceable author statement|Experimental: annotated protein expression (APE)|Predicted: inferred from sequence or structural similarity|Experimental: inferred from direct assay|Unknown: traceable author statement	GO|eSLDB|GO|LOCATE|Organelle|PA-GOSUB|GO|The Human Protein Atlas|GO|GO|GO	BioGRID	9606
P39748	Flap endonuclease 1	UniProtKB/Swiss-Prot/P	Mitochondrion(0.8)|Nucleus(1)|Extracellular(0.8)|Membrane(0.3)	GO:0005739|GO:0005634|GO:0005634|GO:0005634|GO:0005730|GO:0005730|GO:0005654|GO:0005654|GO:0032991|GO:0000784|GO:0005576|GO:0016020	Experimental: inferred from direct assay|Experimental: experimental|Experimental: inferred from direct assay|Predicted: PAML algorithm|Experimental: inferred from direct assay|Experimental: annotated protein expression (APE)|Unknown: traceable author statement|Experimental: annotated protein expression (APE)|Experimental: inferred from direct assay|Unknown: HDA|Experimental: experimental|Unknown: HDA	GO|eSLDB|GO|PA-GOSUB|GO|The Human Protein Atlas|GO|The Human Protein Atlas|GO|GO|MatrixDB|GO	BioGRID	9606
O95644	Nuclear factor of activated T-cells, cytoplasmic 1	UniProtKB/Swiss-Prot/P	Cytosol(0.937)|Nucleus(1)	GO:0005737|GO:0005737|GO:0005829|GO:0005634|GO:0005634|GO:0005654|GO:0005654|GO:0016604|GO:0016604|GO:0000790	Predicted: SVM decision tree|Predicted: inferred from sequence or structural similarity|Unknown: traceable author statement|Experimental: inferred from direct assay|Predicted: PAML algorithm|Experimental: inferred from direct assay|Experimental: annotated protein expression (APE)|Experimental: inferred from direct assay|Experimental: annotated protein expression (APE)|Experimental: inferred from direct assay	eSLDB|GO|GO|GO|PA-GOSUB|GO|The Human Protein Atlas|GO|The Human Protein Atlas|GO	BioGRID	9606
Q86T24	Transcriptional regulator Kaiso	UniProtKB/Swiss-Prot/P	Cytosol(0.998)|Nucleus(1)|Membrane(0.96)	GO:0005737|GO:0005737|GO:0005829|GO:0005829|GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0005730|GO:0005654|GO:0005886|GO:0005886	Experimental: experimental|Predicted: pTarget method|Experimental: inferred from direct assay|Experimental: annotated protein expression (APE)|Experimental: experimental|Experimental: inferred from direct assay|Experimental: experimental|Predicted: PAML algorithm|Experimental: annotated protein expression (APE)|Experimental: inferred from direct assay|Experimental: inferred from direct assay|Experimental: inferred from direct assay|Experimental: annotated protein expression (APE)	eSLDB|LOCATE|GO|The Human Protein Atlas|eSLDB|GO|Organelle|PA-GOSUB|The Human Protein Atlas|GO|GO|GO|The Human Protein Atlas	BioGRID	9606
P30260	Cell division cycle protein 27 homolog	UniProtKB/Swiss-Prot/P	Cytosol(1)|Nucleus(1)	GO:0000151|GO:0005737|GO:0005737|GO:0005829|GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0005654|GO:0005654|GO:0005680|GO:0005856|GO:0005819|GO:0005876|GO:0005813	Experimental: experimental|Experimental: inferred from direct assay|Experimental: experimental|Unknown: traceable author statement|Experimental: experimental|Experimental: inferred from direct assay|Experimental: experimental|Predicted: PAML algorithm|Experimental: inferred from direct assay|Experimental: annotated protein expression (APE)|Experimental: inferred from direct assay|Experimental: experimental|Unknown: traceable author statement|Experimental: inferred from direct assay|Experimental: inferred from direct assay	Organelle|GO|Human Proteinpedia|GO|eSLDB|GO|Organelle|PA-GOSUB|GO|The Human Protein Atlas|GO|Organelle|GO|GO|GO	BioGRID	9606
P16401	Histone H1.5	UniProtKB/Swiss-Prot/P	Cytosol(0.7)|Nucleus(1)	GO:0005737|GO:0005634|GO:0005634|GO:0005634|GO:0005654|GO:0005694|GO:0000790|GO:0005720|GO:0000786	Predicted: SVM decision tree|Experimental: inferred from direct assay|Predicted: pTarget method|Predicted: PAML algorithm|Experimental: annotated protein expression (APE)|Experimental: experimental|Experimental: inferred from direct assay|Experimental: inferred from direct assay|Unknown: inferred from electronic annotation	eSLDB|GO|LOCATE|PA-GOSUB|The Human Protein Atlas|Organelle|GO|GO|GO	BioGRID	9606
Q01196	Runt-related transcription factor 1	UniProtKB/Swiss-Prot/P	Cytosol(0.992)|Nucleus(1)	GO:0005829|GO:0043231|GO:0043231|GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0005654|GO:0005654|GO:0016513	Experimental: inferred from direct assay|Experimental: inferred from direct assay|Experimental: annotated protein expression (APE)|Predicted: SVM decision tree|Experimental: inferred from direct assay|Predicted: pTarget method|Experimental: experimental|Predicted: PAML algorithm|Experimental: inferred from direct assay|Experimental: annotated protein expression (APE)|Unknown: traceable author statement	GO|GO|The Human Protein Atlas|eSLDB|GO|LOCATE|Organelle|PA-GOSUB|GO|The Human Protein Atlas|GO	BioGRID	9606
O43823	A-kinase anchor protein 8	UniProtKB/Swiss-Prot/P	Mitochondrion(0.3)|Nucleus(1)|Secretory-pathway(0.3)|Extracellular(0.8)|Membrane(0.3)	GO:0005739|GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0001939|GO:0005730|GO:0016363|GO:0005654|GO:0005654|GO:0005794|GO:0000793|GO:0005576|GO:0016020	Unknown: inferred from electronic annotation|Experimental: experimental|Unknown: traceable author statement|Experimental: experimental|Predicted: PAML algorithm|Unknown: inferred from electronic annotation|Unknown: inferred from electronic annotation|Predicted: inferred from sequence or structural similarity|Experimental: inferred from direct assay|Experimental: annotated protein expression (APE)|Unknown: inferred from electronic annotation|Unknown: inferred from electronic annotation|Experimental: experimental|Unknown: HDA	GO|eSLDB|GO|Organelle|PA-GOSUB|GO|GO|GO|GO|The Human Protein Atlas|GO|GO|MatrixDB|GO	BioGRID	9606
P55318	Hepatocyte nuclear factor 3-gamma	UniProtKB/Swiss-Prot/P	Nucleus(1)|Cytosol(0.8)	GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0005654|GO:0005654|GO:0015629	Experimental: experimental|Predicted: inferred from biological aspect of ancestor|Predicted: pTarget method|Experimental: experimental|Predicted: PAML algorithm|Experimental: inferred from direct assay|Experimental: annotated protein expression (APE)|Experimental: inferred from direct assay	eSLDB|GO|LOCATE|Organelle|PA-GOSUB|GO|The Human Protein Atlas|GO	BioGRID	9606
Q8IX01	SURP and G-patch domain-containing protein 2	UniProtKB/Swiss-Prot/P	Nucleus(1)	GO:0005634|GO:0005634|GO:0005634|GO:0005654|GO:0005654|GO:0016604|GO:0016604	Predicted: SVM decision tree|Predicted: pTarget method|Predicted: PAML algorithm|Experimental: inferred from direct assay|Experimental: annotated protein expression (APE)|Experimental: inferred from direct assay|Experimental: annotated protein expression (APE)	eSLDB|LOCATE|PA-GOSUB|GO|The Human Protein Atlas|GO|The Human Protein Atlas	BioGRID	9606
Q12800	Alpha-globin transcription factor CP2	UniProtKB/Swiss-Prot/P	Cytosol(0.988)|Nucleus(1)	GO:0005737|GO:0005829|GO:0005829|GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0005654|GO:0005654|GO:0032991	Predicted: SVM decision tree|Experimental: inferred from direct assay|Experimental: annotated protein expression (APE)|Experimental: experimental|Predicted: inferred from biological aspect of ancestor|Predicted: pTarget method|Predicted: PAML algorithm|Experimental: inferred from direct assay|Experimental: annotated protein expression (APE)|Experimental: inferred from direct assay	eSLDB|GO|The Human Protein Atlas|eSLDB|GO|LOCATE|PA-GOSUB|GO|The Human Protein Atlas|GO	BioGRID	9606
Q5BKZ1	DBIRD complex subunit ZNF326	UniProtKB/Swiss-Prot/P	Secretory-pathway(0.94)|Cytosol(0.992)|Nucleus(1)	GO:secretory_pathway|GO:0044609|GO:0043231|GO:0043231|GO:0005634|GO:0005634|GO:0005634|GO:0016363|GO:0005654|GO:0005654|GO:0005681|GO:0005794	Predicted: SVM decision tree|Experimental: inferred from direct assay|Experimental: inferred from direct assay|Experimental: annotated protein expression (APE)|Experimental: experimental|Predicted: pTarget method|Predicted: PAML algorithm|Predicted: inferred from biological aspect of ancestor|Experimental: inferred from direct assay|Experimental: annotated protein expression (APE)|Experimental: inferred from direct assay|Experimental: annotated protein expression (APE)	eSLDB|GO|GO|The Human Protein Atlas|eSLDB|LOCATE|PA-GOSUB|GO|GO|The Human Protein Atlas|GO|The Human Protein Atlas	BioGRID	9606
P0DMV8	Heat shock 70 kDa protein 1A	UniProtKB/Swiss-Prot/P	Cytosol(1)|Mitochondrion(0.86)|Nucleus(1)|Secretory-pathway(0.86)|Extracellular(0.51)|Membrane(0.86)	GO:0000151|GO:0016234|GO:0016235|GO:0005737|GO:0005737|GO:0005737|GO:0005737|GO:0005829|GO:0048471|GO:0043231|GO:0005739|GO:0005739|GO:0005634|GO:0005634|GO:0008180|GO:0005654|GO:0005654|GO:0016607|GO:0032991|GO:0005783|GO:0005783|GO:0005813|GO:0005814|GO:0005576|GO:0072562|GO:0016020|GO:0031982|GO:0070062|GO:0005925	Experimental: inferred from direct assay|Experimental: inferred from direct assay|Experimental: inferred from direct assay|Predicted: SVM decision tree|Experimental: inferred from direct assay|Experimental: experimental|Predicted: PAML algorithm|Experimental: inferred from direct assay|Experimental: inferred from direct assay|Experimental: annotated protein expression (APE)|Unknown: traceable author statement|Experimental: experimental|Experimental: inferred from direct assay|Experimental: experimental|Experimental: inferred from direct assay|Unknown: traceable author statement|Experimental: annotated protein expression (APE)|Experimental: inferred from direct assay|Experimental: inferred from direct assay|Unknown: traceable author statement|Experimental: experimental|Experimental: inferred from direct assay|Experimental: inferred from direct assay|Unknown: traceable author statement|Unknown: HDA|Experimental: experimental|Unknown: HDA|Unknown: HDA|Unknown: HDA	GO|GO|GO|eSLDB|GO|Human Proteinpedia|PA-GOSUB|GO|GO|The Human Protein Atlas|GO|Organelle|GO|Organelle|GO|GO|The Human Protein Atlas|GO|GO|GO|Organelle|GO|GO|GO|GO|MatrixDB|GO|GO|GO	BioGRID	9606
Q13469	Nuclear factor of activated T-cells, cytoplasmic 2	UniProtKB/Swiss-Prot/P	Cytosol(0.998)|Nucleus(1)	GO:0005737|GO:0005737|GO:0005829|GO:0005829|GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0005654|GO:0005654|GO:0044798|GO:0000790	Predicted: SVM decision tree|Experimental: inferred from direct assay|Experimental: inferred from direct assay|Experimental: annotated protein expression (APE)|Experimental: inferred from direct assay|Predicted: pTarget method|Experimental: experimental|Predicted: PAML algorithm|Experimental: inferred from direct assay|Experimental: annotated protein expression (APE)|Unknown: inferred from electronic annotation|Unknown: inferred from electronic annotation	eSLDB|GO|GO|The Human Protein Atlas|GO|LOCATE|Organelle|PA-GOSUB|GO|The Human Protein Atlas|GO|GO	BioGRID	9606
Q9UPW6	DNA-binding protein SATB2	UniProtKB/Swiss-Prot/P	Nucleus(1)	GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0016363|GO:0005654|GO:0005654|GO:0005667|GO:0000118	Predicted: SVM decision tree|Predicted: inferred from biological aspect of ancestor|Predicted: pTarget method|Predicted: PAML algorithm|Unknown: inferred from electronic annotation|Experimental: inferred from direct assay|Experimental: annotated protein expression (APE)|Unknown: inferred from electronic annotation|Unknown: inferred from electronic annotation	eSLDB|GO|LOCATE|PA-GOSUB|GO|GO|The Human Protein Atlas|GO|GO	BioGRID	9606
