"gene_id"	"gene_type"	"gene_name"
"ENSG00000272004"	"antisense"	"RP11-345P4.10"
"ENSG00000269737"	"antisense"	"RP11-345P4.7"
"ENSG00000268575"	"processed_transcript"	"RP1-283E3.8"
"ENSG00000231050"	"antisense"	"RP1-140A9.1"
"ENSG00000233542"	"antisense"	"RP11-547D24.1"
"ENSG00000226969"	"antisense"	"RP11-547D24.3"
"ENSG00000271806"	"antisense"	"RP5-892K4.1"
"ENSG00000182873"	"antisense"	"RP11-181G12.2"
"ENSG00000234396"	"lincRNA"	"RP11-181G12.4"
"ENSG00000272161"	"sense_intronic"	"RP4-713A8.1"
"ENSG00000272420"	"sense_intronic"	"RP4-740C4.7"
"ENSG00000224387"	"antisense"	"RP3-395M20.2"
"ENSG00000229393"	"antisense"	"RP3-395M20.3"
"ENSG00000272449"	"lincRNA"	"RP3-395M20.12"
"ENSG00000238164"	"antisense"	"RP3-395M20.8"
"ENSG00000225931"	"TEC"	"RP3-395M20.7"
"ENSG00000228037"	"lincRNA"	"RP3-395M20.9"
"ENSG00000237058"	"antisense"	"RP13-436F16.1"
"ENSG00000233234"	"lincRNA"	"RP11-740P5.2"
"ENSG00000231630"	"lincRNA"	"RP11-740P5.3"
"ENSG00000177133"	"antisense"	"LINC00982"
"ENSG00000226286"	"antisense"	"RP1-163G9.2"
"ENSG00000279839"	"TEC"	"RP11-193J6.1"
"ENSG00000272235"	"lincRNA"	"RP11-22L13.1"
"ENSG00000272088"	"lincRNA"	"RP11-168F9.2"
"ENSG00000238260"	"antisense"	"RP11-46F15.2"
"ENSG00000227589"	"antisense"	"RP5-1092A11.5"
"ENSG00000235131"	"antisense"	"RP5-1092A11.2"
"ENSG00000227372"	"antisense"	"TP73-AS1"
"ENSG00000272153"	"antisense"	"RP1-286D6.5"
"ENSG00000236423"	"lincRNA"	"LINC01134"
"ENSG00000233304"	"lincRNA"	"LINC01346"
"ENSG00000226374"	"lincRNA"	"RP13-614K11.2"
"ENSG00000235054"	"lincRNA"	"RP5-1166F10.1"
"ENSG00000227169"	"lincRNA"	"RP1-37J18.1"
"ENSG00000232596"	"lincRNA"	"RP1-37J18.2"
"ENSG00000231510"	"lincRNA"	"RP11-542C10.1"
"ENSG00000260972"	"lincRNA"	"RP1-58B11.1"
"ENSG00000236948"	"lincRNA"	"RP11-154H17.1"
"ENSG00000226944"	"antisense"	"RP1-120G22.11"
"ENSG00000225077"	"lincRNA"	"LINC00337"
"ENSG00000271746"	"antisense"	"RP1-202O8.3"
"ENSG00000231868"	"antisense"	"RP1-202O8.2"
"ENSG00000228750"	"lincRNA"	"RP11-242F24.1"
"ENSG00000237436"	"antisense"	"RP11-312B8.1"
"ENSG00000237365"	"antisense"	"RP11-334N17.1"
"ENSG00000237402"	"sense_intronic"	"CAMTA1-IT1"
"ENSG00000237728"	"antisense"	"RP3-453P22.2"
"ENSG00000225126"	"antisense"	"RP4-549F15.1"
"ENSG00000270171"	"lincRNA"	"RP11-338N10.1"
"ENSG00000270035"	"lincRNA"	"RP11-338N10.2"
"ENSG00000269978"	"lincRNA"	"RP11-338N10.3"
"ENSG00000269925"	"sense_intronic"	"RP3-467L1.6"
"ENSG00000236266"	"antisense"	"RP3-467L1.4"
"ENSG00000238290"	"lincRNA"	"RP11-431K24.1"
"ENSG00000227634"	"lincRNA"	"RP11-431K24.3"
"ENSG00000233645"	"lincRNA"	"RP11-431K24.4"
"ENSG00000232912"	"antisense"	"RP5-1115A15.1"
"ENSG00000228423"	"lincRNA"	"RP4-633I8.4"
"ENSG00000236269"	"sense_intronic"	"ENO1-IT1"
"ENSG00000230679"	"antisense"	"ENO1-AS1"
"ENSG00000228526"	"lincRNA"	"RP3-510D11.1"
"ENSG00000234546"	"lincRNA"	"RP3-510D11.2"
"ENSG00000235263"	"lincRNA"	"RP13-392I16.1"
"ENSG00000179840"	"antisense"	"PIK3CD-AS1"
"ENSG00000231789"	"antisense"	"PIK3CD-AS2"
"ENSG00000223989"	"antisense"	"RP11-84A14.5"
"ENSG00000228150"	"sense_intronic"	"RP11-84A14.4"
"ENSG00000241326"	"sense_intronic"	"RP11-807G9.2"
"ENSG00000271989"	"antisense"	"RP4-736L20.3"
"ENSG00000203469"	"antisense"	"RP5-1113E3.3"
"ENSG00000272078"	"antisense"	"RP4-734G22.3"
"ENSG00000271895"	"antisense"	"RP4-635E18.8"
"ENSG00000226849"	"antisense"	"RP4-635E18.7"
"ENSG00000230337"	"antisense"	"RP4-635E18.6"
"ENSG00000225602"	"antisense"	"MTOR-AS1"
"ENSG00000235643"	"lincRNA"	"RP1-69M21.2"
"ENSG00000177553"	"antisense"	"RP11-56N19.5"
"ENSG00000242349"	"antisense"	"NPPA-AS1"
"ENSG00000229484"	"lincRNA"	"RP5-888M10.2"
"ENSG00000272482"	"lincRNA"	"RP11-474O21.5"
"ENSG00000228338"	"lincRNA"	"RP5-845O24.8"
"ENSG00000233336"	"lincRNA"	"RP13-221M14.2"
"ENSG00000228229"	"lincRNA"	"RP11-219C24.10"
"ENSG00000259961"	"antisense"	"RP4-597A16.2"
"ENSG00000237445"	"lincRNA"	"CTA-520D8.2"
"ENSG00000231606"	"lincRNA"	"RP11-344F13.1"
"ENSG00000234593"	"lincRNA"	"RP4-704D23.1"
"ENSG00000175147"	"antisense"	"TMEM51-AS1"
"ENSG00000233485"	"antisense"	"RP3-467K16.2"
"ENSG00000236045"	"antisense"	"RP3-467K16.7"
"ENSG00000228140"	"lincRNA"	"RP3-467K16.4"
"ENSG00000272510"	"antisense"	"RP4-680D5.8"
"ENSG00000237301"	"antisense"	"RP4-680D5.2"
"ENSG00000271742"	"lincRNA"	"RP4-680D5.9"
"ENSG00000237938"	"antisense"	"RP11-288I21.1"
"ENSG00000224459"	"antisense"	"RP11-169K16.4"
"ENSG00000179743"	"antisense"	"FLJ37453"
"ENSG00000233078"	"antisense"	"RP11-5P18.5"
"ENSG00000227959"	"antisense"	"RP11-276H7.2"
"ENSG00000224621"	"antisense"	"RP11-276H7.3"
"ENSG00000234166"	"antisense"	"ARHGEF19-AS1"
"ENSG00000226029"	"lincRNA"	"RP4-798A10.2"
"ENSG00000261135"	"lincRNA"	"RP4-798A10.7"
"ENSG00000224174"	"lincRNA"	"RP4-798A10.4"
"ENSG00000233421"	"lincRNA"	"RP5-875O13.1"
"ENSG00000271732"	"lincRNA"	"RP5-1182A14.5"
"ENSG00000215908"	"lincRNA"	"CROCCP2"
"ENSG00000279151"	"lincRNA"	"RP1-163M9.7"
"ENSG00000223643"	"lincRNA"	"RP11-108M9.1"
"ENSG00000230239"	"lincRNA"	"RP11-108M9.2"
"ENSG00000228549"	"lincRNA"	"RP11-108M9.3"
"ENSG00000238142"	"lincRNA"	"RP11-108M9.4"
"ENSG00000272426"	"lincRNA"	"RP11-108M9.6"
"ENSG00000226526"	"antisense"	"RP1-37C10.3"
"ENSG00000204362"	"lincRNA"	"RP11-380J14.1"
"ENSG00000227751"	"antisense"	"RP1-20B21.4"
"ENSG00000236648"	"lincRNA"	"RP11-473A10.2"
"ENSG00000261781"	"lincRNA"	"RP11-174G17.2"
"ENSG00000280222"	"TEC"	"RP11-174G17.3"
"ENSG00000230035"	"antisense"	"RP11-174G17"
"ENSG00000225387"	"lincRNA"	"RP11-422P22.1"
"ENSG00000272084"	"3prime_overlapping_ncrna"	"RP5-1126H10.2"
"ENSG00000230424"	"antisense"	"RP1-43E13.2"
"ENSG00000235185"	"antisense"	"RP5-1056L3.1"
"ENSG00000235434"	"antisense"	"RP11-91K11.2"
"ENSG00000227066"	"lincRNA"	"RP3-340N1.2"
"ENSG00000225986"	"antisense"	"UBXN10-AS1"
"ENSG00000228105"	"lincRNA"	"RP3-340N1.6"
"ENSG00000226664"	"antisense"	"RP4-745E8.2"
"ENSG00000236963"	"lincRNA"	"LINC01141"
"ENSG00000226487"	"lincRNA"	"RP4-749H3.2"
"ENSG00000117242"	"antisense"	"PINK1-AS"
"ENSG00000233069"	"antisense"	"RP5-930J4.2"
"ENSG00000236936"	"antisense"	"RP3-329E20.2"
"ENSG00000231105"	"antisense"	"RP5-1071N3.1"
"ENSG00000236009"	"lincRNA"	"RP11-293F5.1"
"ENSG00000233431"	"antisense"	"RP11-63N8.3"
"ENSG00000228397"	"lincRNA"	"RP1-224A6.3"
"ENSG00000218510"	"lincRNA"	"LINC00339"
"ENSG00000230068"	"sense_intronic"	"CDC42-IT1"
"ENSG00000271840"	"lincRNA"	"RP1-224A6.9"
"ENSG00000279625"	"TEC"	"RP11-415K20.2"
"ENSG00000237200"	"sense_intronic"	"ZBTB40-IT1"
"ENSG00000225952"	"antisense"	"RP11-69E9.1"
"ENSG00000240553"	"antisense"	"RP1-184J9.2"
"ENSG00000261326"	"lincRNA"	"LINC01355"
"ENSG00000249087"	"antisense"	"ZNF436-AS1"
"ENSG00000271420"	"lincRNA"	"RP5-1057J7.7"
"ENSG00000235052"	"lincRNA"	"RP1-150O5.3"
"ENSG00000236810"	"antisense"	"TCEB3-AS1"
"ENSG00000232557"	"antisense"	"RP11-4M23.3"
"ENSG00000225315"	"antisense"	"RP11-293P20.2"
"ENSG00000230703"	"antisense"	"RP11-293P20.4"
"ENSG00000230023"	"lincRNA"	"RP11-10N16.2"
"ENSG00000232298"	"antisense"	"RP11-10N16.3"
"ENSG00000264443"	"lincRNA"	"RP4-594I10.3"
"ENSG00000229162"	"antisense"	"RP11-84D1.1"
"ENSG00000261025"	"lincRNA"	"RP11-84D1.2"
"ENSG00000233755"	"lincRNA"	"RP4-799D16.1"
"ENSG00000231953"	"antisense"	"RP4-706G24.1"
"ENSG00000272432"	"lincRNA"	"RP3-465N24.6"
"ENSG00000225643"	"lincRNA"	"RP11-70P17.1"
"ENSG00000233478"	"antisense"	"RP1-187B23.1"
"ENSG00000228172"	"antisense"	"RP1-317E23.3"
"ENSG00000272478"	"antisense"	"RP1-317E23.7"
"ENSG00000236528"	"antisense"	"RP1-125I3.2"
"ENSG00000236782"	"antisense"	"RP11-96L14.7"
"ENSG00000225891"	"antisense"	"RP3-476K8.3"
"ENSG00000260063"	"antisense"	"RP5-968P14.2"
"ENSG00000226698"	"antisense"	"RP1-50O24.6"
"ENSG00000224311"	"antisense"	"RP11-40H20.4"
"ENSG00000241169"	"lincRNA"	"RP4-752I6.1"
"ENSG00000237429"	"antisense"	"RP1-159A19.4"
"ENSG00000233975"	"lincRNA"	"RP11-288L9.1"
"ENSG00000225886"	"antisense"	"RP11-288L9.4"
"ENSG00000269971"	"sense_intronic"	"RP3-426I6.5"
"ENSG00000270031"	"sense_intronic"	"RP3-426I6.6"
"ENSG00000227050"	"antisense"	"RP11-460I13.2"
"ENSG00000270605"	"antisense"	"RP5-1092A3.4"
"ENSG00000271398"	"lincRNA"	"RP5-1092A3.5"
"ENSG00000242125"	"sense_intronic"	"SNHG3"
"ENSG00000279443"	"TEC"	"RP4-669K10.8"
"ENSG00000197989"	"antisense"	"SNHG12"
"ENSG00000229388"	"lincRNA"	"RP11-442N24__B.1"
"ENSG00000270103"	"lincRNA"	"RNU11"
"ENSG00000233427"	"antisense"	"RP1-212P9.3"
"ENSG00000225750"	"lincRNA"	"RP11-242O24.3"
"ENSG00000237934"	"antisense"	"RP11-467D18.2"
"ENSG00000230523"	"lincRNA"	"RP3-437I16.1"
"ENSG00000228176"	"lincRNA"	"RP4-656G21.1"
"ENSG00000233399"	"lincRNA"	"RP11-111I12.1"
"ENSG00000233372"	"lincRNA"	"RP5-893G23.1"
"ENSG00000236335"	"lincRNA"	"RP4-591L5.1"
"ENSG00000231949"	"lincRNA"	"RP4-591L5.2"
"ENSG00000186056"	"antisense"	"MATN1-AS1"
"ENSG00000229607"	"lincRNA"	"RP5-1125N11.1"
"ENSG00000223382"	"lincRNA"	"RP1-65J11.1"
"ENSG00000235143"	"antisense"	"RP1-65J11.5"
"ENSG00000229044"	"antisense"	"RP11-266K22.2"
"ENSG00000223907"	"lincRNA"	"LINC01226"
"ENSG00000260636"	"sense_intronic"	"RP11-439L8.5"
"ENSG00000229167"	"antisense"	"RP11-73M7.1"
"ENSG00000235790"	"antisense"	"RP11-73M7.6"
"ENSG00000264078"	"antisense"	"RP11-73M7.9"
"ENSG00000254545"	"antisense"	"RP11-84A19.3"
"ENSG00000203620"	"lincRNA"	"RP11-84A19.2"
"ENSG00000269967"	"lincRNA"	"RP11-84A19.4"
"ENSG00000228634"	"lincRNA"	"RP4-534N18.2"
"ENSG00000203325"	"antisense"	"RP11-277A4.4"
"ENSG00000250135"	"sense_intronic"	"RP4-622L5.2"
"ENSG00000224066"	"antisense"	"RP4-622L5.7"
"ENSG00000233775"	"lincRNA"	"RP4-811H24.9"
"ENSG00000224409"	"antisense"	"RP11-114B7.6"
"ENSG00000236065"	"antisense"	"RP1-117O3.2"
"ENSG00000278997"	"TEC"	"RP11-131M11.2"
"ENSG00000279179"	"TEC"	"RP11-131M11.3"
"ENSG00000270115"	"lincRNA"	"RP11-415J8.7"
"ENSG00000225313"	"antisense"	"RP11-415J8.3"
"ENSG00000233246"	"antisense"	"RP11-415J8.5"
"ENSG00000231163"	"antisense"	"CSMD2-AS1"
"ENSG00000255811"	"antisense"	"RP1-34M23.5"
"ENSG00000230163"	"antisense"	"RP5-997D16.2"
"ENSG00000241014"	"processed_transcript"	"RP11-244H3.1"
"ENSG00000227409"	"antisense"	"ZMYM4-AS1"
"ENSG00000239636"	"antisense"	"RP4-728D4.2"
"ENSG00000232335"	"antisense"	"RP11-435D7.3"
"ENSG00000280133"	"TEC"	"RP4-789D17.3"
"ENSG00000271914"	"lincRNA"	"RP4-789D17.5"
"ENSG00000271554"	"antisense"	"RP4-665N4.8"
"ENSG00000116883"	"antisense"	"RP11-268J15.5"
"ENSG00000234481"	"antisense"	"RP4-614N24.1"
"ENSG00000223944"	"lincRNA"	"RP5-1180C18.1"
"ENSG00000233621"	"antisense"	"LINC01137"
"ENSG00000233728"	"antisense"	"RP11-109P14.9"
"ENSG00000230955"	"antisense"	"RP11-109P14.10"
"ENSG00000224592"	"lincRNA"	"RP5-884C9.2"
"ENSG00000237290"	"lincRNA"	"LINC01343"
"ENSG00000238063"	"lincRNA"	"RP11-329N22.1"
"ENSG00000273637"	"processed_transcript"	"RP5-864K19.7"
"ENSG00000228436"	"antisense"	"RP5-864K19.4"
"ENSG00000270040"	"sense_intronic"	"RP11-416A14.1"
"ENSG00000226438"	"antisense"	"RP11-420K8.1"
"ENSG00000182109"	"antisense"	"RP11-69E11.4"
"ENSG00000228060"	"antisense"	"RP11-69E11.8"
"ENSG00000225903"	"antisense"	"RP1-144F13.3"
"ENSG00000261798"	"antisense"	"RP1-118J21.25"
"ENSG00000236546"	"antisense"	"RP1-118J21.5"
"ENSG00000259943"	"antisense"	"RP1-39G22.7"
"ENSG00000260920"	"sense_overlapping"	"RP1-228H13.5"
"ENSG00000279667"	"TEC"	"RP11-656D10.7"
"ENSG00000238287"	"antisense"	"RP11-656D10.3"
"ENSG00000227278"	"antisense"	"RP11-656D10.5"
"ENSG00000238186"	"antisense"	"RP11-656D10.6"
"ENSG00000237899"	"lincRNA"	"RP4-739H11.3"
"ENSG00000272145"	"antisense"	"NFYC-AS1"
"ENSG00000229528"	"antisense"	"RP5-1066H13.4"
"ENSG00000281207"	"antisense"	"SLFNL1-AS1"
"ENSG00000235358"	"lincRNA"	"RP11-399E6.1"
"ENSG00000229901"	"antisense"	"RP11-399E6.4"
"ENSG00000230881"	"antisense"	"RP11-486B10.3"
"ENSG00000227527"	"sense_overlapping"	"RP11-223A3.1"
"ENSG00000234917"	"lincRNA"	"RP5-994D16.3"
"ENSG00000228452"	"antisense"	"RP5-994D16.9"
"ENSG00000274386"	"lincRNA"	"RP5-994D16.11"
"ENSG00000228192"	"antisense"	"RP11-342M1.3"
"ENSG00000227533"	"lincRNA"	"SLC2A1-AS1"
"ENSG00000234694"	"antisense"	"RP1-92O14.3"
"ENSG00000229431"	"antisense"	"RP1-92O14.6"
"ENSG00000229372"	"antisense"	"SZT2-AS1"
"ENSG00000229348"	"antisense"	"HYI-AS1"
"ENSG00000236200"	"antisense"	"KDM4A-AS1"
"ENSG00000229444"	"antisense"	"RP11-184I16.4"
"ENSG00000237950"	"antisense"	"RP11-7O11.3"
"ENSG00000230615"	"lincRNA"	"RP5-1198O20.4"
"ENSG00000233602"	"sense_intronic"	"ERI3-IT1"
"ENSG00000225721"	"antisense"	"RP11-269F19.2"
"ENSG00000281912"	"lincRNA"	"LINC01144"
"ENSG00000230896"	"sense_intronic"	"RP11-767N6.7"
"ENSG00000226957"	"antisense"	"RP4-533D7.4"
"ENSG00000227857"	"antisense"	"RP4-533D7.5"
"ENSG00000224863"	"lincRNA"	"LINC01398"
"ENSG00000225667"	"lincRNA"	"LINC00505"
"ENSG00000269956"	"antisense"	"MKNK1-AS1"
"ENSG00000228237"	"antisense"	"EFCAB14-AS1"
"ENSG00000225506"	"lincRNA"	"CYP4A22-AS1"
"ENSG00000224805"	"antisense"	"LINC00853"
"ENSG00000226252"	"antisense"	"RP1-18D14.7"
"ENSG00000225762"	"antisense"	"LINC01389"
"ENSG00000237424"	"antisense"	"FOXD2-AS1"
"ENSG00000227947"	"lincRNA"	"RP11-543D5.1"
"ENSG00000223814"	"lincRNA"	"RP11-543D5.2"
"ENSG00000225028"	"lincRNA"	"RP11-330M19.1"
"ENSG00000226133"	"lincRNA"	"RP4-683M8.2"
"ENSG00000231413"	"lincRNA"	"RP11-193P11.3"
"ENSG00000223720"	"lincRNA"	"RP5-1024N4.2"
"ENSG00000272491"	"antisense"	"RP5-1024N4.4"
"ENSG00000229846"	"antisense"	"RP11-141A19.1"
"ENSG00000230114"	"antisense"	"RP11-141A19.2"
"ENSG00000225623"	"sense_intronic"	"AGBL4-IT1"
"ENSG00000279324"	"TEC"	"RP11-93G23.2"
"ENSG00000237337"	"antisense"	"RP11-567C20.2"
"ENSG00000233407"	"antisense"	"RP11-567C20.3"
"ENSG00000225767"	"antisense"	"RP5-850O15.3"
"ENSG00000203356"	"lincRNA"	"LINC01562"
"ENSG00000236434"	"antisense"	"RP11-296A18.6"
"ENSG00000261664"	"antisense"	"TTC39A-AS1"
"ENSG00000238140"	"antisense"	"RP11-253A20.1"
"ENSG00000227070"	"antisense"	"RP11-191G24.1"
"ENSG00000266993"	"antisense"	"RP4-657D16.3"
"ENSG00000272175"	"antisense"	"RP4-657D16.6"
"ENSG00000223390"	"antisense"	"RP11-91A18.4"
"ENSG00000228369"	"antisense"	"TXNDC12-AS1"
"ENSG00000272100"	"antisense"	"RP11-155O18.6"
"ENSG00000272371"	"lincRNA"	"RP11-25O10.2"
"ENSG00000242391"	"antisense"	"RP4-631H13.2"
"ENSG00000232993"	"antisense"	"RP11-334A14.5"
"ENSG00000235563"	"antisense"	"RP11-334A14.8"
"ENSG00000236723"	"antisense"	"RP5-1024G6.2"
"ENSG00000259818"	"antisense"	"RP5-1024G6.7"
"ENSG00000226754"	"antisense"	"RP5-1024G6.5"
"ENSG00000234578"	"antisense"	"RP4-784A16.1"
"ENSG00000228838"	"antisense"	"RP4-784A16.2"
"ENSG00000225030"	"sense_intronic"	"RP4-784A16.3"
"ENSG00000232762"	"antisense"	"RP4-784A16.4"
"ENSG00000225675"	"lincRNA"	"RP4-784A16.5"
"ENSG00000226938"	"lincRNA"	"RP11-117D22.1"
"ENSG00000230138"	"lincRNA"	"RP11-117D22.2"
"ENSG00000280378"	"TEC"	"RP4-758J24.6"
"ENSG00000280425"	"TEC"	"RP11-446E24.3"
"ENSG00000198711"	"antisense"	"SSBP3-AS1"
"ENSG00000225632"	"antisense"	"RP5-997D24.3"
"ENSG00000232245"	"lincRNA"	"RP4-705F19.1"
"ENSG00000235741"	"lincRNA"	"RP5-866L20.1"
"ENSG00000230728"	"sense_overlapping"	"RP11-240D10.4"
"ENSG00000237453"	"antisense"	"RP11-67L3.2"
"ENSG00000242396"	"antisense"	"RP11-67L3.5"
"ENSG00000233203"	"antisense"	"RP11-67L3.4"
"ENSG00000233271"	"antisense"	"RP11-12C17.2"
"ENSG00000231090"	"lincRNA"	"RP11-101C11.1"
"ENSG00000234810"	"lincRNA"	"RP11-466L17.1"
"ENSG00000233147"	"lincRNA"	"RP11-90C4.1"
"ENSG00000230250"	"lincRNA"	"RP11-90C4.2"
"ENSG00000233079"	"lincRNA"	"RP11-90C4.3"
"ENSG00000235612"	"lincRNA"	"RP1-158P9.1"
"ENSG00000260971"	"lincRNA"	"RP11-504A18.1"
"ENSG00000223956"	"lincRNA"	"RP4-710M16.2"
"ENSG00000229913"	"antisense"	"RP11-378I13.1"
"ENSG00000236341"	"antisense"	"RP5-1103B4.3"
"ENSG00000227935"	"lincRNA"	"RP6-102O10.1"
"ENSG00000226759"	"antisense"	"DAB1-AS1"
"ENSG00000235038"	"lincRNA"	"RP11-393I23.4"
"ENSG00000234807"	"lincRNA"	"LINC01135"
"ENSG00000272226"	"lincRNA"	"RP11-63G10.3"
"ENSG00000231740"	"lincRNA"	"RP11-63G10.2"
"ENSG00000232453"	"lincRNA"	"RP4-794H19.1"
"ENSG00000230812"	"lincRNA"	"LINC01358"
"ENSG00000241042"	"lincRNA"	"RP11-145M4.1"
"ENSG00000235215"	"lincRNA"	"RP11-145M4.2"
"ENSG00000237352"	"lincRNA"	"RP11-145M4.3"
"ENSG00000224609"	"processed_transcript"	"HSD52"
"ENSG00000281041"	"lincRNA"	"RP11-470E16.2"
"ENSG00000270457"	"lincRNA"	"RP11-467C18.1"
"ENSG00000226883"	"antisense"	"RP4-782L23.2"
"ENSG00000231816"	"lincRNA"	"RP4-782L23.1"
"ENSG00000238242"	"lincRNA"	"RP11-575B7.3"
"ENSG00000226476"	"lincRNA"	"RP11-776H12.1"
"ENSG00000231252"	"lincRNA"	"RP11-436K8.1"
"ENSG00000237928"	"antisense"	"NFIA-AS2"
"ENSG00000270742"	"sense_intronic"	"RP4-802A10.1"
"ENSG00000237853"	"processed_transcript"	"NFIA-AS1"
"ENSG00000271200"	"lincRNA"	"RP11-430G17.3"
"ENSG00000278967"	"TEC"	"RP5-849H19.3"
"ENSG00000235545"	"antisense"	"RP11-230B22.1"
"ENSG00000234318"	"lincRNA"	"RP4-771M4.3"
"ENSG00000229537"	"lincRNA"	"RP11-5P4.1"
"ENSG00000227485"	"lincRNA"	"RP11-5P4.2"
"ENSG00000229225"	"lincRNA"	"RP11-5P4.3"
"ENSG00000203605"	"lincRNA"	"RP11-335E6.2"
"ENSG00000271593"	"lincRNA"	"RP11-335E6.4"
"ENSG00000224209"	"lincRNA"	"LINC00466"
"ENSG00000228734"	"lincRNA"	"RP11-335E6.3"
"ENSG00000230798"	"antisense"	"FOXD3-AS1"
"ENSG00000116652"	"sense_intronic"	"DLEU2L"
"ENSG00000223949"	"antisense"	"ROR1-AS1"
"ENSG00000226891"	"lincRNA"	"LINC01359"
"ENSG00000272506"	"lincRNA"	"RP4-535B20.4"
"ENSG00000231485"	"lincRNA"	"RP4-535B20.1"
"ENSG00000229294"	"antisense"	"RP5-1044H5.1"
"ENSG00000237852"	"sense_intronic"	"RP4-630A11.3"
"ENSG00000227466"	"antisense"	"RP11-397C12.1"
"ENSG00000248458"	"antisense"	"RP4-598P13.1"
"ENSG00000231080"	"antisense"	"RP11-342H21.2"
"ENSG00000275678"	"sense_intronic"	"RP4-547N15.3"
"ENSG00000235200"	"lincRNA"	"RP4-763G1.2"
"ENSG00000232284"	"antisense"	"GNG12-AS1"
"ENSG00000233589"	"antisense"	"RP4-694A7.2"
"ENSG00000234264"	"antisense"	"DEPDC1-AS1"
"ENSG00000223883"	"lincRNA"	"RP11-424D14.1"
"ENSG00000235446"	"lincRNA"	"RP11-74K19.1"
"ENSG00000229639"	"lincRNA"	"RP3-380B4.1"
"ENSG00000237919"	"antisense"	"RP11-181B18.1"
"ENSG00000228988"	"antisense"	"RP4-677H15.4"
"ENSG00000226088"	"antisense"	"RP11-180O5.2"
"ENSG00000271992"	"lincRNA"	"RP11-42O15.3"
"ENSG00000229051"	"lincRNA"	"RP5-952N6.1"
"ENSG00000226208"	"lincRNA"	"RP11-99H8.1"
"ENSG00000235782"	"antisense"	"RP3-333A15.1"
"ENSG00000269933"	"sense_intronic"	"RP3-333A15.2"
"ENSG00000235079"	"antisense"	"ZRANB2-AS1"
"ENSG00000229956"	"processed_transcript"	"ZRANB2-AS2"
"ENSG00000237726"	"lincRNA"	"RP11-386O9.2"
"ENSG00000231985"	"antisense"	"RP11-82L20.1"
"ENSG00000228853"	"sense_intronic"	"NEGR1-IT1"
"ENSG00000225087"	"lincRNA"	"RP4-660H19.1"
"ENSG00000227016"	"lincRNA"	"RP11-262K1.1"
"ENSG00000280317"	"TEC"	"RP11-25L19.1"
"ENSG00000233973"	"lincRNA"	"LINC01360"
"ENSG00000223479"	"lincRNA"	"RP4-788P17.1"
"ENSG00000237324"	"antisense"	"RP11-439H8.4"
"ENSG00000233894"	"antisense"	"RP4-650F12.2"
"ENSG00000234497"	"antisense"	"ERICH3-AS1"
