EnsemblId,GeneName,Description,Entrez,Genbank,UniGene
ENSG00000213492,AC092661.2,,,,
ENSG00000138061,CYP1B1,"cytochrome P450, family 1, subfamily B, polypeptide 1 [Source:HGNC Symbol;Acc:2597]",1545,ACL81474,Hs.721112
ENSG00000181381,DDX60L,DEAD (Asp-Glu-Ala-Asp) box polypeptide 60-like [Source:HGNC Symbol;Acc:26429],91351,,Hs.535011
ENSG00000162777,DENND2D,DENN/MADD domain containing 2D [Source:HGNC Symbol;Acc:26192],79961,CAD28535,Hs.557850
ENSG00000120738,EGR1,early growth response 1 [Source:HGNC Symbol;Acc:3238],1958,CAB46678,Hs.326035
ENSG00000055332,EIF2AK2,eukaryotic translation initiation factor 2-alpha kinase 2 [Source:HGNC Symbol;Acc:9437],5610,,Hs.738069
ENSG00000163412,EIF4E3,eukaryotic translation initiation factor 4E family member 3 [Source:HGNC Symbol;Acc:31837],317649,,Hs.714561
ENSG00000262523,ENDOD1,endonuclease domain containing 1 [Source:HGNC Symbol;Acc:29129],23052,BAA74853,Hs.167115
ENSG00000133106,EPSTI1,epithelial stromal interaction 1 (breast) [Source:HGNC Symbol;Acc:16465],94240,,Hs.613034
ENSG00000155744,FAM126B,"family with sequence similarity 126, member B [Source:HGNC Symbol;Acc:28593]",285172,,Hs.710758
ENSG00000122378,FAM213A,"family with sequence similarity 213, member A [Source:HGNC Symbol;Acc:28651]",84293,AAQ89418,Hs.500333
ENSG00000188820,FAM26F,"family with sequence similarity 26, member F [Source:HGNC Symbol;Acc:33391]",441168,CAI23412,Hs.381220
ENSG00000150337,FCGR1A,"Fc fragment of IgG, high affinity Ia, receptor (CD64) [Source:HGNC Symbol;Acc:3613]",2209,CAA32537,Hs.739894
ENSG00000198019,FCGR1B,"Fc fragment of IgG, high affinity Ib, receptor (CD64) [Source:HGNC Symbol;Acc:3614]",2209,AAA35825,
ENSG00000265531,FCGR1C,Putative high affinity immunoglobulin gamma Fc receptor IC  [Source:UniProtKB/Swiss-Prot;Acc:A6NKC4],,,
ENSG00000162747,FCGR3B,"Fc fragment of IgG, low affinity IIIb, receptor (CD16b) [Source:HGNC Symbol;Acc:3620]",2215,,Hs.736230
ENSG00000099860,GADD45B,"growth arrest and DNA-damage-inducible, beta [Source:HGNC Symbol;Acc:4096]",4616,,Hs.110571
ENSG00000117228,GBP1,"guanylate binding protein 1, interferon-inducible [Source:HGNC Symbol;Acc:4182]",2633,AAA35871,Hs.443527
ENSG00000225492,GBP1P1,"guanylate binding protein 1, interferon-inducible pseudogene 1 [Source:HGNC Symbol;Acc:39561]",400759,,Hs.661968
ENSG00000115271,GCA,"grancalcin, EF-hand calcium binding protein [Source:HGNC Symbol;Acc:15990]",25801,AAA58498,Hs.706006
ENSG00000137198,GMPR,guanosine monophosphate reductase [Source:HGNC Symbol;Acc:4376],2766,AAA52503,Hs.484741
ENSG00000101336,HCK,hemopoietic cell kinase [Source:HGNC Symbol;Acc:4840],3055,BAF83617,Hs.655210
ENSG00000138646,HERC5,HECT and RLD domain containing E3 ubiquitin protein ligase 5 [Source:HGNC Symbol;Acc:24368],51191,,Hs.26663
ENSG00000180573,HIST1H2AC,"histone cluster 1, H2ac [Source:HGNC Symbol;Acc:4733]",8334,AAB53429,Hs.725428
ENSG00000241106,HLA-DOB,"major histocompatibility complex, class II, DO beta [Source:HGNC Symbol;Acc:4937]",3112,AAV97948,Hs.1802
ENSG00000250011,HMGB1P3,high mobility group box 1 pseudogene 3 [Source:HGNC Symbol;Acc:4995],,,
ENSG00000166598,HSP90B1,"heat shock protein 90kDa beta (Grp94), member 1 [Source:HGNC Symbol;Acc:12028]",7184,BAG58251,Hs.656611
ENSG00000204389,HSPA1A,heat shock 70kDa protein 1A [Source:HGNC Symbol;Acc:5232],3303,BAF83984,Hs.274402
ENSG00000163565,IFI16,"interferon, gamma-inducible protein 16 [Source:HGNC Symbol;Acc:5395]",3428,AAA58683,Hs.629190
ENSG00000165949,IFI27,"interferon, alpha-inducible protein 27 [Source:HGNC Symbol;Acc:5397]",3429,CAA47739,Hs.670794
ENSG00000216490,IFI30,"interferon, gamma-inducible protein 30 [Source:HGNC Symbol;Acc:5398]",10437,AAA36105,Hs.708970
ENSG00000137965,IFI44,interferon-induced protein 44 [Source:HGNC Symbol;Acc:16938],10561,BAH14649,Hs.605995
ENSG00000137959,IFI44L,interferon-induced protein 44-like [Source:HGNC Symbol;Acc:17817],10964,BAG64281,Hs.744918
ENSG00000126709,IFI6,"interferon, alpha-inducible protein 6 [Source:HGNC Symbol;Acc:4054]",2537,CAA26322,
ENSG00000185745,IFIT1,interferon-induced protein with tetratricopeptide repeats 1 [Source:HGNC Symbol;Acc:5407],3434,EAW50137,Hs.20315
ENSG00000119922,IFIT2,interferon-induced protein with tetratricopeptide repeats 2 [Source:HGNC Symbol;Acc:5409],3433,AAA59191,Hs.437609
ENSG00000119917,IFIT3,interferon-induced protein with tetratricopeptide repeats 3 [Source:HGNC Symbol;Acc:5411],3437,BAG59639,Hs.744072
ENSG00000185885,IFITM1,interferon induced transmembrane protein 1 [Source:HGNC Symbol;Acc:5412],8519,AAA35494,
ENSG00000185201,IFITM2,interferon induced transmembrane protein 2 [Source:HGNC Symbol;Acc:5413],10581,CAA40625,Hs.709321
ENSG00000136689,IL1RN,interleukin 1 receptor antagonist [Source:HGNC Symbol;Acc:6000],3557,AAC13499,Hs.734203
ENSG00000144711,IQSEC1,IQ motif and Sec7 domain 1 [Source:HGNC Symbol;Acc:29112],9922,,Hs.475506
ENSG00000185507,IRF7,interferon regulatory factor 7 [Source:HGNC Symbol;Acc:6122],3665,,Hs.166120
ENSG00000187608,ISG15,ISG15 ubiquitin-like modifier [Source:HGNC Symbol;Acc:4053],9636,AAA36038,
ENSG00000172183,ISG20,interferon stimulated exonuclease gene 20kDa [Source:HGNC Symbol;Acc:6130],3669,,Hs.459265
ENSG00000096968,JAK2,Janus kinase 2 [Source:HGNC Symbol;Acc:6192],3717,,Hs.656213
ENSG00000177606,JUN,jun proto-oncogene [Source:HGNC Symbol;Acc:6204],3725,AAA59197,Hs.696684
ENSG00000002549,LAP3,leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:18449],51056,,Hs.570791
ENSG00000168961,LGALS9,"lectin, galactoside-binding, soluble, 9 [Source:HGNC Symbol;Acc:6570]",3965,BAG63109,Hs.81337
ENSG00000100600,LGMN,legumain [Source:HGNC Symbol;Acc:9472],5641,CAD61872,Hs.18069
ENSG00000239998,LILRA2,"leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 2 [Source:HGNC Symbol;Acc:6603]",11027,AAB87665,
ENSG00000187116,LILRA5,"leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 5 [Source:HGNC Symbol;Acc:16309]",353514,AAF73849,Hs.710986
ENSG00000104972,LILRB1,"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1 [Source:HGNC Symbol;Acc:6605]",10859,,Hs.667388
ENSG00000135363,LMO2,LIM domain only 2 (rhombotin-like 1) [Source:HGNC Symbol;Acc:6642],4005,CAA43430,Hs.34560
ENSG00000254087,LYN,v-yes-1 Yamaguchi sarcoma viral related oncogene homolog [Source:HGNC Symbol;Acc:6735],4067,,
ENSG00000155130,MARCKS,myristoylated alanine-rich protein kinase C substrate [Source:HGNC Symbol;Acc:6759],4082,AAH28284,Hs.713390
ENSG00000125952,MAX,MYC associated factor X [Source:HGNC Symbol;Acc:6913],4149,AAQ57210,Hs.712926
ENSG00000143384,MCL1,myeloid cell leukemia sequence 1 (BCL2-related) [Source:HGNC Symbol;Acc:6943],4170,BAG57694,Hs.632486
ENSG00000163563,MNDA,myeloid cell nuclear differentiation antigen [Source:HGNC Symbol;Acc:7183],4332,,Hs.153837
ENSG00000110079,MS4A4A,"membrane-spanning 4-domains, subfamily A, member 4A [Source:HGNC Symbol;Acc:13371]",51338,,Hs.595417
ENSG00000157601,MX1,"myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse) [Source:HGNC Symbol;Acc:7532]",4599,,Hs.679475
ENSG00000183486,MX2,myxovirus (influenza virus) resistance 2 (mouse) [Source:HGNC Symbol;Acc:7533],4600,BAH12869,Hs.737342
ENSG00000102921,N4BP1,NEDD4 binding protein 1 [Source:HGNC Symbol;Acc:29850],9683,,Hs.511839
ENSG00000124357,NAGK,N-acetylglucosamine kinase [Source:HGNC Symbol;Acc:17174],55577,,Hs.7036
ENSG00000105835,NAMPT,nicotinamide phosphoribosyltransferase [Source:HGNC Symbol;Acc:30092],10135,,Hs.641730
ENSG00000229644,NAMPTL,nicotinamide phosphoribosyltransferase-like [Source:HGNC Symbol;Acc:17633],,CAH56351,
ENSG00000187109,NAP1L1,nucleosome assembly protein 1-like 1 [Source:HGNC Symbol;Acc:7637],4673,BAG51450,Hs.695185
ENSG00000158517,NCF1,neutrophil cytosolic factor 1 [Source:HGNC Symbol;Acc:7660],653361,,Hs.647047
ENSG00000182487,NCF1B,neutrophil cytosolic factor 1B pseudogene [Source:HGNC Symbol;Acc:32522],654816,,Hs.733135
ENSG00000162614,NEXN,nexilin (F actin binding protein) [Source:HGNC Symbol;Acc:29557],91624,BAG56741,Hs.612385
ENSG00000165030,NFIL3,"nuclear factor, interleukin 3 regulated [Source:HGNC Symbol;Acc:7787]",4783,AAA93067,Hs.79334
ENSG00000123609,NMI,N-myc (and STAT) interactor [Source:HGNC Symbol;Acc:7854],9111,,Hs.54483
ENSG00000122643,NT5C3A,"5'-nucleotidase, cytosolic IIIA [Source:HGNC Symbol;Acc:17820]",51251,AAG33630,Hs.487933
ENSG00000070081,NUCB2,nucleobindin 2 [Source:HGNC Symbol;Acc:8044],4925,CAA54148,Hs.654599
ENSG00000272325,NUDT3,nudix (nucleoside diphosphate linked moiety X)-type motif 3 [Source:HGNC Symbol;Acc:8050],11165,AAC83224,Hs.743967
ENSG00000089127,OAS1,"2'-5'-oligoadenylate synthetase 1, 40/46kDa [Source:HGNC Symbol;Acc:8086]",4938,,Hs.524760
ENSG00000123240,OPTN,optineurin [Source:HGNC Symbol;Acc:17142],10133,,Hs.713120
ENSG00000151883,PARP8,"poly (ADP-ribose) polymerase family, member 8 [Source:HGNC Symbol;Acc:26124]",79668,,Hs.369581
ENSG00000138496,PARP9,"poly (ADP-ribose) polymerase family, member 9 [Source:HGNC Symbol;Acc:24118]",83666,,Hs.634988
ENSG00000160209,PDXK,"pyridoxal (pyridoxine, vitamin B6) kinase [Source:HGNC Symbol;Acc:8819]",8566,,Hs.735882
ENSG00000139289,PHLDA1,"pleckstrin homology-like domain, family A, member 1 [Source:HGNC Symbol;Acc:8933]",22822,AAI30428,Hs.644898
ENSG00000268173,PIK3R2,PIK3R2 protein  [Source:UniProtKB/TrEMBL;Acc:Q96CK7],5296,AAH14170,Hs.708970
ENSG00000085514,PILRA,paired immunoglobin-like type 2 receptor alpha [Source:HGNC Symbol;Acc:20396],29992,AAD52964,
ENSG00000123739,PLA2G12A,"phospholipase A2, group XIIA [Source:HGNC Symbol;Acc:18554]",81579,EAX06246,Hs.389452
ENSG00000145287,PLAC8,placenta-specific 8 [Source:HGNC Symbol;Acc:19254],51316,EAX05924,Hs.653720
ENSG00000188313,PLSCR1,phospholipid scramblase 1 [Source:HGNC Symbol;Acc:9092],5359,BAG61960,Hs.130759
ENSG00000163644,PPM1K,"protein phosphatase, Mg2+/Mn2+ dependent, 1K [Source:HGNC Symbol;Acc:25415]",152926,,Hs.709966
ENSG00000150687,PRSS23,"protease, serine, 23 [Source:HGNC Symbol;Acc:14370]",11098,BAG65155,Hs.729257
ENSG00000240065,PSMB9,"proteasome (prosome, macropain) subunit, beta type, 9 [Source:HGNC Symbol;Acc:9546]",5698,BAG64224,Hs.606560
ENSG00000166128,RAB8B,"RAB8B, member RAS oncogene family [Source:HGNC Symbol;Acc:30273]",51762,,Hs.718109
ENSG00000152061,RABGAP1L,RAB GTPase activating protein 1-like [Source:HGNC Symbol;Acc:24663],9910,BAH14726,Hs.744937
ENSG00000133321,RARRES3,retinoic acid receptor responder (tazarotene induced) 3 [Source:HGNC Symbol;Acc:9869],5920,,
ENSG00000169385,RNASE2,"ribonuclease, RNase A family, 2 (liver, eosinophil-derived neurotoxin) [Source:HGNC Symbol;Acc:10045]",6036,AAC82505,Hs.728
ENSG00000169413,RNASE6,"ribonuclease, RNase A family, k6 [Source:HGNC Symbol;Acc:10048]",6039,BAG36350,Hs.23262
ENSG00000163162,RNF149,ring finger protein 149 [Source:HGNC Symbol;Acc:23137],284996,AAY15089,Hs.142074
ENSG00000173821,RNF213,ring finger protein 213 [Source:HGNC Symbol;Acc:14539],57674,,Hs.745415
ENSG00000188846,RPL14,ribosomal protein L14 [Source:HGNC Symbol;Acc:10305],9045,,
ENSG00000134321,RSAD2,radical S-adenosyl methionine domain containing 2 [Source:HGNC Symbol;Acc:30908],91543,AAY14802,Hs.17518
ENSG00000163221,S100A12,S100 calcium binding protein A12 [Source:HGNC Symbol;Acc:10489],6283,BAA12036,Hs.19413
ENSG00000143546,S100A8,S100 calcium binding protein A8 [Source:HGNC Symbol;Acc:10498],6279,CAA29580,
ENSG00000163220,S100A9,S100 calcium binding protein A9 [Source:HGNC Symbol;Acc:10499],6280,CAA29579,
ENSG00000205413,SAMD9,sterile alpha motif domain containing 9 [Source:HGNC Symbol;Acc:1348],54809,,Hs.65641
ENSG00000177409,SAMD9L,sterile alpha motif domain containing 9-like [Source:HGNC Symbol;Acc:1349],219285,BAG65533,Hs.489118
ENSG00000101347,SAMHD1,SAM domain and HD domain 1 [Source:HGNC Symbol;Acc:15925],25939,BAG65545,Hs.580681
ENSG00000121064,SCPEP1,serine carboxypeptidase 1 [Source:HGNC Symbol;Acc:29507],59342,,Hs.514950
ENSG00000188404,SELL,selectin L [Source:HGNC Symbol;Acc:10720],6402,AAQ67701,Hs.728756
ENSG00000107290,SETX,senataxin [Source:HGNC Symbol;Acc:445],23064,CAD97857,Hs.460317
ENSG00000104205,SGK3,"serum/glucocorticoid regulated kinase family, member 3 [Source:HGNC Symbol;Acc:10812]",23678,,Hs.718900
ENSG00000072858,SIDT1,"SID1 transmembrane family, member 1 [Source:HGNC Symbol;Acc:25967]",54847,,Hs.591291
ENSG00000088827,SIGLEC1,"sialic acid binding Ig-like lectin 1, sialoadhesin [Source:HGNC Symbol;Acc:11127]",6614,AAK00757,Hs.619237
ENSG00000141526,SLC16A3,"solute carrier family 16 (monocarboxylate transporter), member 3 [Source:HGNC Symbol;Acc:10924]",9123,AAC52015,Hs.641748
ENSG00000155465,SLC7A7,"solute carrier family 7 (amino acid transporter light chain, y+L system), member 7 [Source:HGNC Symbol;Acc:11065]",9056,,Hs.513147
ENSG00000166750,SLFN5,schlafen family member 5 [Source:HGNC Symbol;Acc:28286],162394,BAG64640,Hs.709347
ENSG00000101596,SMCHD1,structural maintenance of chromosomes flexible hinge domain containing 1 [Source:HGNC Symbol;Acc:29090],23347,,Hs.8118
ENSG00000112096,SOD2,"superoxide dismutase 2, mitochondrial [Source:HGNC Symbol;Acc:11180]",6648,EAW47629,Hs.731637
ENSG00000067066,SP100,SP100 nuclear antigen [Source:HGNC Symbol;Acc:11206],6672,,Hs.369056
ENSG00000135899,SP110,SP110 nuclear body protein [Source:HGNC Symbol;Acc:5401],3431,,Hs.145150
ENSG00000129128,SPCS3,signal peptidase complex subunit 3 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:26212],60559,BAB15437,Hs.613487
ENSG00000100596,SPTLC2,"serine palmitoyltransferase, long chain base subunit 2 [Source:HGNC Symbol;Acc:11278]",9517,,Hs.435661
ENSG00000113532,ST8SIA4,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4 [Source:HGNC Symbol;Acc:10871]",7903,,Hs.308628
ENSG00000115415,STAT1,"signal transducer and activator of transcription 1, 91kDa [Source:HGNC Symbol;Acc:11362]",6772,ADA59517,Hs.743244
ENSG00000170581,STAT2,"signal transducer and activator of transcription 2, 113kDa [Source:HGNC Symbol;Acc:11363]",6773,,Hs.530595
ENSG00000135604,STX11,syntaxin 11 [Source:HGNC Symbol;Acc:11429],8676,AAD02107,Hs.118958
ENSG00000168394,TAP1,"transporter 1, ATP-binding cassette, sub-family B (MDR/TAP) [Source:HGNC Symbol;Acc:43]",6890,AAD14054,
ENSG00000250264,TAP2,Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:E7ENX8],,CAR92541,
ENSG00000148737,TCF7L2,"transcription factor 7-like 2 (T-cell specific, HMG-box) [Source:HGNC Symbol;Acc:11641]",6934,ADK35187,Hs.706243
ENSG00000105967,TFEC,transcription factor EC [Source:HGNC Symbol;Acc:11754],22797,BAH13493,Hs.734939
ENSG00000106829,TLE4,"transducin-like enhancer of split 4 (E(sp1) homolog, Drosophila) [Source:HGNC Symbol;Acc:11840]",7091,BAG59027,Hs.628997
ENSG00000174125,TLR1,toll-like receptor 1 [Source:HGNC Symbol;Acc:11847],7096,,Hs.654532
ENSG00000137462,TLR2,toll-like receptor 2 [Source:HGNC Symbol;Acc:11848],7097,ACS88975,Hs.623716
ENSG00000086598,TMED2,transmembrane emp24 domain trafficking protein 2 [Source:HGNC Symbol;Acc:16996],10959,,Hs.741649
ENSG00000146859,TMEM140,transmembrane protein 140 [Source:HGNC Symbol;Acc:21870],55281,EAL24065,Hs.521213
ENSG00000183726,TMEM50A,transmembrane protein 50A [Source:HGNC Symbol;Acc:30590],23585,AAH66908,Hs.730840
ENSG00000137842,TMEM62,transmembrane protein 62 [Source:HGNC Symbol;Acc:26269],80021,AAH09981,Hs.511175
ENSG00000185215,TNFAIP2,"tumor necrosis factor, alpha-induced protein 2 [Source:HGNC Symbol;Acc:11895]",7127,BAH14867,Hs.732246
ENSG00000121858,TNFSF10,"tumor necrosis factor (ligand) superfamily, member 10 [Source:HGNC Symbol;Acc:11925]",8743,,Hs.619712
ENSG00000102524,TNFSF13B,"tumor necrosis factor (ligand) superfamily, member 13b [Source:HGNC Symbol;Acc:11929]",10673,AAD29421,Hs.525157
ENSG00000132274,TRIM22,tripartite motif containing 22 [Source:HGNC Symbol;Acc:16379],10346,,Hs.660856
ENSG00000112343,TRIM38,tripartite motif containing 38 [Source:HGNC Symbol;Acc:10059],10475,AAB53425,Hs.584851
ENSG00000025708,TYMP,thymidine phosphorylase [Source:HGNC Symbol;Acc:3148],1890,,Hs.685254
ENSG00000156587,UBE2L6,ubiquitin-conjugating enzyme E2L 6 [Source:HGNC Symbol;Acc:12490],9246,,Hs.623506
ENSG00000110057,UNC93B1,unc-93 homolog B1 (C. elegans) [Source:HGNC Symbol;Acc:13481],81622,CAC19791,Hs.502989
ENSG00000140105,WARS,tryptophanyl-tRNA synthetase [Source:HGNC Symbol;Acc:12729],7453,,Hs.736264
ENSG00000132530,XAF1,XIAP associated factor 1 [Source:HGNC Symbol;Acc:30932],54739,CAA68030,
ENSG00000114127,XRN1,5'-3' exoribonuclease 1 [Source:HGNC Symbol;Acc:30654],54464,BAG65165,Hs.629790
ENSG00000105939,ZC3HAV1,"zinc finger CCCH-type, antiviral 1 [Source:HGNC Symbol;Acc:23721]",56829,,Hs.609466
ENSG00000124201,ZNFX1,"zinc finger, NFX1-type containing 1 [Source:HGNC Symbol;Acc:29271]",57169,BAA92642,Hs.735918
